family,organism,fasta_path,uniprot_accession,reference_gene_symbol,gene_id,gene_symbol,gene_name,transcript_id,transcript_name,seqid,strand,exon_number,exon_start,exon_end,exon_length
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_001650571.2,XM_001650571.2,NC_035107.1,-,1,3043323,3043868,546
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_001650571.2,XM_001650571.2,NC_035107.1,-,2,3043931,3044194,264
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_001650571.2,XM_001650571.2,NC_035107.1,-,3,3044249,3044406,158
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_001650571.2,XM_001650571.2,NC_035107.1,-,4,3044472,3044675,204
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_001650571.2,XM_001650571.2,NC_035107.1,-,5,3044916,3045020,105
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_001650571.2,XM_001650571.2,NC_035107.1,-,6,3045081,3045328,248
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_001650571.2,XM_001650571.2,NC_035107.1,-,7,3045384,3045988,605
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_001650571.2,XM_001650571.2,NC_035107.1,-,8,3046046,3046326,281
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_001650571.2,XM_001650571.2,NC_035107.1,-,9,3046803,3047296,494
innexin,Aedes aegypti,project/data/references/innexins/Aedes_aegypti/shakB__Q1DH70.fasta,Q1DH70,shakB,gene-LOC5566218,LOC5566218,LOC5566218,rna-XM_001650571.2,XM_001650571.2,NC_035107.1,-,10,3070827,3071456,630
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/ZPG__Q7Q5R9.fasta,Q7Q5R9,ZPG,gene-LOC1276902,LOC1276902,innexin inx4,rna-XM_316309.4,XM_316309.4,NC_064601.1,+,1,97475570,97476280,711
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/ZPG__Q7Q5R9.fasta,Q7Q5R9,ZPG,gene-LOC1276902,LOC1276902,innexin inx4,rna-XM_316309.4,XM_316309.4,NC_064601.1,+,2,97476389,97476580,192
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/ZPG__Q7Q5R9.fasta,Q7Q5R9,ZPG,gene-LOC1276902,LOC1276902,innexin inx4,rna-XM_316309.4,XM_316309.4,NC_064601.1,+,3,97476651,97477901,1251
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766551.1,XR_009766551.1,NC_064600.1,+,1,455514,455652,139
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766551.1,XR_009766551.1,NC_064600.1,+,2,459218,459316,99
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766551.1,XR_009766551.1,NC_064600.1,+,3,460594,461368,775
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766551.1,XR_009766551.1,NC_064600.1,+,4,461452,461885,434
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766551.1,XR_009766551.1,NC_064600.1,+,5,462386,462461,76
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766551.1,XR_009766551.1,NC_064600.1,+,6,463284,465514,2231
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766551.1,XR_009766551.1,NC_064600.1,+,7,465627,467046,1420
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766551.1,XR_009766551.1,NC_064600.1,+,8,467248,469765,2518
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766563.1,XR_009766563.1,NC_064600.1,+,1,455523,457361,1839
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766563.1,XR_009766563.1,NC_064600.1,+,2,459218,459316,99
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766563.1,XR_009766563.1,NC_064600.1,+,3,460594,461368,775
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766563.1,XR_009766563.1,NC_064600.1,+,4,461452,461885,434
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766563.1,XR_009766563.1,NC_064600.1,+,5,462386,462461,76
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766563.1,XR_009766563.1,NC_064600.1,+,6,463284,465514,2231
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766563.1,XR_009766563.1,NC_064600.1,+,7,465627,467046,1420
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766563.1,XR_009766563.1,NC_064600.1,+,8,467248,469765,2518
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766557.1,XR_009766557.1,NC_064600.1,+,1,455523,456613,1091
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766557.1,XR_009766557.1,NC_064600.1,+,2,459218,459316,99
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766557.1,XR_009766557.1,NC_064600.1,+,3,460594,461368,775
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766557.1,XR_009766557.1,NC_064600.1,+,4,461452,461885,434
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766557.1,XR_009766557.1,NC_064600.1,+,5,462386,462461,76
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766557.1,XR_009766557.1,NC_064600.1,+,6,463284,465514,2231
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766557.1,XR_009766557.1,NC_064600.1,+,7,465627,467046,1420
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766557.1,XR_009766557.1,NC_064600.1,+,8,467248,469765,2518
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766552.1,XR_009766552.1,NC_064600.1,+,1,455523,455885,363
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766552.1,XR_009766552.1,NC_064600.1,+,2,459218,459316,99
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766552.1,XR_009766552.1,NC_064600.1,+,3,460594,461368,775
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766552.1,XR_009766552.1,NC_064600.1,+,4,461452,461885,434
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766552.1,XR_009766552.1,NC_064600.1,+,5,462386,462461,76
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766552.1,XR_009766552.1,NC_064600.1,+,6,463284,465514,2231
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766552.1,XR_009766552.1,NC_064600.1,+,7,465627,467046,1420
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766552.1,XR_009766552.1,NC_064600.1,+,8,467248,469765,2518
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766553.1,XR_009766553.1,NC_064600.1,+,1,455523,455723,201
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766553.1,XR_009766553.1,NC_064600.1,+,2,459218,459316,99
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766553.1,XR_009766553.1,NC_064600.1,+,3,460594,461368,775
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766553.1,XR_009766553.1,NC_064600.1,+,4,461452,461885,434
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766553.1,XR_009766553.1,NC_064600.1,+,5,462386,462461,76
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766553.1,XR_009766553.1,NC_064600.1,+,6,463284,465514,2231
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766553.1,XR_009766553.1,NC_064600.1,+,7,465627,467046,1420
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766553.1,XR_009766553.1,NC_064600.1,+,8,467248,469765,2518
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766554.1,XR_009766554.1,NC_064600.1,+,1,455524,459316,3793
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766554.1,XR_009766554.1,NC_064600.1,+,2,460594,461368,775
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766554.1,XR_009766554.1,NC_064600.1,+,3,461452,461885,434
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766554.1,XR_009766554.1,NC_064600.1,+,4,462386,462461,76
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766554.1,XR_009766554.1,NC_064600.1,+,5,463284,465514,2231
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766554.1,XR_009766554.1,NC_064600.1,+,6,465627,467046,1420
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766554.1,XR_009766554.1,NC_064600.1,+,7,467248,469765,2518
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766558.1,XR_009766558.1,NC_064600.1,+,1,455524,455885,362
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766558.1,XR_009766558.1,NC_064600.1,+,2,458576,459316,741
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766558.1,XR_009766558.1,NC_064600.1,+,3,460594,461368,775
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766558.1,XR_009766558.1,NC_064600.1,+,4,461452,461885,434
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766558.1,XR_009766558.1,NC_064600.1,+,5,462386,462461,76
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766558.1,XR_009766558.1,NC_064600.1,+,6,463284,465514,2231
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766558.1,XR_009766558.1,NC_064600.1,+,7,465627,467046,1420
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766558.1,XR_009766558.1,NC_064600.1,+,8,467248,469765,2518
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766562.1,XR_009766562.1,NC_064600.1,+,1,455524,455885,362
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766562.1,XR_009766562.1,NC_064600.1,+,2,459072,459316,245
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766562.1,XR_009766562.1,NC_064600.1,+,3,460594,461368,775
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766562.1,XR_009766562.1,NC_064600.1,+,4,461452,461885,434
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766562.1,XR_009766562.1,NC_064600.1,+,5,462386,462461,76
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766562.1,XR_009766562.1,NC_064600.1,+,6,463284,465514,2231
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766562.1,XR_009766562.1,NC_064600.1,+,7,465627,467046,1420
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766562.1,XR_009766562.1,NC_064600.1,+,8,467248,469765,2518
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766561.1,XR_009766561.1,NC_064600.1,+,1,455524,455723,200
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766561.1,XR_009766561.1,NC_064600.1,+,2,458572,459316,745
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766561.1,XR_009766561.1,NC_064600.1,+,3,460594,461368,775
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766561.1,XR_009766561.1,NC_064600.1,+,4,461452,461885,434
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766561.1,XR_009766561.1,NC_064600.1,+,5,462386,462461,76
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766561.1,XR_009766561.1,NC_064600.1,+,6,463284,465514,2231
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766561.1,XR_009766561.1,NC_064600.1,+,7,465627,467046,1420
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766561.1,XR_009766561.1,NC_064600.1,+,8,467248,469765,2518
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766564.1,XR_009766564.1,NC_064600.1,+,1,455524,455723,200
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766564.1,XR_009766564.1,NC_064600.1,+,2,459072,459316,245
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766564.1,XR_009766564.1,NC_064600.1,+,3,460594,461368,775
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766564.1,XR_009766564.1,NC_064600.1,+,4,461452,461885,434
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766564.1,XR_009766564.1,NC_064600.1,+,5,462386,462461,76
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766564.1,XR_009766564.1,NC_064600.1,+,6,463284,465514,2231
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766564.1,XR_009766564.1,NC_064600.1,+,7,465627,467046,1420
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766564.1,XR_009766564.1,NC_064600.1,+,8,467248,469765,2518
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766550.1,XR_009766550.1,NC_064600.1,+,1,455525,455652,128
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766550.1,XR_009766550.1,NC_064600.1,+,2,458572,459316,745
innexin,Anopheles gambiae,project/data/references/innexins/Anopheles_gambiae/shakB__Q7PXN1.fasta,Q7PXN1,shakB,gene-LOC1272246,LOC1272246,protein retinal degeneration B,rna-XR_009766550.1,XR_009766550.1,NC_064600.1,+,3,460594,461368,775
