family,organism,fasta_path,uniprot_accession,reference_gene_symbol,gene_id,gene_symbol,gene_name,seqid,strand,gene_start,gene_end,gene_span,transcript_count,mean_exon_count,max_exon_count,min_exon_count
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-17__O61788.fasta,O61788,inx-17,gene-CELE_C54G6.5,spp-17,spp-17,NC_003279.8,+,1016405,1017176,772,1,2.0,2,2
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-19__O61715.fasta,O61715,inx-19,gene-CELE_T16H5.1,inx-19,inx-19,NC_003279.8,-,2451898,2463461,11564,2,5.5,6,5
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-2__Q9U3K5.fasta,Q9U3K5,inx-2,gene-CELE_F08G12.10,inx-2,inx-2,NC_003284.9,-,11295007,11296733,1727,1,4.0,4,4
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-3__Q19746.fasta,Q19746,inx-3,gene-CELE_F22F4.2,inx-3,inx-3,NC_003284.9,+,5996156,5998243,2088,1,3.0,3,3
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-5__Q23027.fasta,Q23027,inx-5,gene-CELE_R09F10.4,inx-5,inx-5,NC_003284.9,-,8300027,8302399,2373,1,6.0,6,6
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-6__Q9U3N4.fasta,Q9U3N4,inx-6,gene-CELE_C36H8.2,inx-6,inx-6,NC_003282.8,+,12746584,12749721,3138,1,8.0,8,8
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-7__Q21123.fasta,Q21123,inx-7,gene-CELE_K02B2.4,inx-7,inx-7,NC_003282.8,-,5943981,5946638,2658,2,6.0,7,5
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/inx-8__Q23593.fasta,Q23593,inx-8,gene-CELE_ZK792.2,inx-8,inx-8,NC_003282.8,+,11673844,11675635,1792,1,4.0,4,4
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/unc-7__Q03412.fasta,Q03412,unc-7,gene-CELE_Y74C9A.1,txt-7,txt-7,NC_003279.8,+,43733,44677,945,1,5.0,5,5
innexin,Caenorhabditis elegans,project/data/references/innexins/Caenorhabditis_elegans/unc-9__O01393.fasta,O01393,unc-9,gene-CELE_R12H7.1,unc-9,unc-9,NC_003284.9,+,13212390,13216725,4336,2,7.0,8,6
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx2__Q9V427.fasta,Q9V427,Inx2,gene-Dmel_CG4590,Inx2,Innexin 2,NC_004354.4,+,6998672,7004151,5480,4,2.0,3,1
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx3__Q9VAS7.fasta,Q9VAS7,Inx3,gene-Dmel_CG1448,Inx3,Innexin 3,NT_033777.3,-,28853606,28859497,5892,3,6.0,6,6
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx5__Q9VWL5.fasta,Q9VWL5,Inx5,gene-Dmel_CG7537,Inx5,Innexin 5,NC_004354.4,-,19168777,19170883,2107,1,2.0,2,2
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx6__Q9VR82.fasta,Q9VR82,Inx6,gene-Dmel_CG17063,Inx6,Innexin 6,NC_004354.4,-,20267821,20269769,1949,1,2.0,2,2
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/Inx7__Q9V3W6.fasta,Q9V3W6,Inx7,gene-Dmel_CG2977,Inx7,Innexin 7,NC_004354.4,-,6991612,6993612,2001,1,3.0,3,3
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/ogre__P27716.fasta,P27716,ogre,gene-Dmel_CG3039,ogre,optic ganglion reduced,NC_004354.4,-,6973620,6991318,17699,6,6.5,8,6
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/shakB__P33085.fasta,P33085,shakB,gene-Dmel_CG3827,sc,scute,NC_004354.4,+,396060,397497,1438,1,1.0,1,1
innexin,Drosophila melanogaster,project/data/references/innexins/Drosophila_melanogaster/zpg__Q9VRX6.fasta,Q9VRX6,zpg,gene-Dmel_CG10125,zpg,zero population growth,NT_037436.4,-,6604366,6606032,1667,2,3.0,3,3
innexin,Schistocerca americana,project/data/references/innexins/Schistocerca_americana/inx1__Q9XYN0.fasta,Q9XYN0,inx1,gene-LOC124554761,LOC124554761,LOC124554761,NC_060130.1,+,721132091,721160894,28804,1,2.0,2,2
innexin,Schistocerca americana,project/data/references/innexins/Schistocerca_americana/inx2__Q9XYN1.fasta,Q9XYN1,inx2,gene-LOC124594079,LOC124594079,LOC124594079,NC_060120.1,+,444867854,444933148,65295,1,6.0,6,6
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJA1__P18246.fasta,P18246,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,NC_037336.1,-,29748655,29761667,13013,1,2.0,2,2
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJA3__P41987.fasta,P41987,GJA3,gene-GJA3,GJA3,gap junction protein alpha 3,NC_037339.1,+,36103532,36116554,13023,2,1.5,2,1
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJA4__A4IFL1.fasta,A4IFL1,GJA4,gene-GJA4,GJA4,gap junction protein alpha 4,NC_037330.1,-,110888194,110890928,2735,2,2.0,2,2
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJA5__Q0VCR2.fasta,Q0VCR2,GJA5,gene-GJA5,GJA5,gap junction protein alpha 5,NC_037330.1,+,21877817,21895373,17557,2,2.0,2,2
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJB1__O18968.fasta,O18968,GJB1,gene-GJB1,GJB1,gap junction protein beta 1,NC_037357.1,-,79421765,79428791,7027,1,2.0,2,2
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJB2__A2VE67.fasta,A2VE67,GJB2,gene-KCNE2,KCNE2,potassium voltage-gated channel subfamily E regulatory subunit 2,NC_037328.1,-,1123941,1131748,7808,1,2.0,2,2
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJB3__Q58D78.fasta,Q58D78,GJB3,gene-GJB3,GJB3,gap junction protein beta 3,NC_037330.1,-,110900180,110905849,5670,2,2.0,2,2
connexin,Bos taurus,project/data/references/connexins/Bos_taurus/GJD2__Q866T7.fasta,Q866T7,GJD2,gene-KCNE2,KCNE2,potassium voltage-gated channel subfamily E regulatory subunit 2,NC_037328.1,-,1123941,1131748,7808,1,2.0,2,2
connexin,Canis lupus familiaris,project/data/references/connexins/Canis_lupus_familiaris/GJA1__Q6S9C0.fasta,Q6S9C0,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,NC_049222.1,+,61515138,61518103,2966,1,2.0,2,2
connexin,Canis lupus familiaris,project/data/references/connexins/Canis_lupus_familiaris/GJA5__P33725.fasta,P33725,GJA5,gene-GJA5,GJA5,gap junction protein alpha 5,NC_049238.1,-,58946248,58962243,15996,1,2.0,2,2
connexin,Canis lupus familiaris,project/data/references/connexins/Canis_lupus_familiaris/GJC1__P28228.fasta,P28228,GJC1,gene-GJC1,GJC1,gap junction protein gamma 1,NC_049230.1,+,18573413,18574603,1191,1,1.0,1,1
connexin,Chlorocebus sabaeus,project/data/references/connexins/Chlorocebus_sabaeus/GJA1__Q6TYA9.fasta,Q6TYA9,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,NC_132916.1,+,45597815,45611779,13965,1,2.0,2,2
connexin,Cricetulus griseus,project/data/references/connexins/Cricetulus_griseus/GJC1__Q6R4A8.fasta,Q6R4A8,GJC1,gene-Gjc1,Gjc1,gap junction protein gamma 1,NC_048600.1,+,115323716,115325011,1296,1,1.0,1,1
connexin,Danio rerio,project/data/references/connexins/Danio_rerio/cx23__U3JA75.fasta,U3JA75,cx23,gene-rad23aa,rad23aa,RAD23 homolog A%2C nucleotide excision repair protein a,NC_133176.1,-,55435053,55452453,17401,1,9.0,9,9
connexin,Danio rerio,project/data/references/connexins/Danio_rerio/cx32.2__Q7T047.fasta,Q7T047,cx32.2,gene-gja13.2,gja13.2,gap junction protein alpha 13.2,NC_133195.1,-,44013146,44020990,7845,2,2.5,3,2
connexin,Danio rerio,project/data/references/connexins/Danio_rerio/gja1__O57474.fasta,O57474,gja1,gene-gja1b,gja1b,gap junction protein alpha 1b,NC_133195.1,-,44006780,44012070,5291,1,2.0,2,2
connexin,Danio rerio,project/data/references/connexins/Danio_rerio/gjc1__Q92052.fasta,Q92052,gjc1,gene-gjc1,gjc1,gap junction protein gamma 1,NC_133178.1,-,14973075,15041394,68320,2,2.0,2,2
connexin,Equus caballus,project/data/references/connexins/Equus_caballus/GJB1__Q6WGK6.fasta,Q6WGK6,GJB1,gene-GJB1,GJB1,gap junction protein beta 1,NC_091715.1,+,67714869,67724472,9604,6,1.8333333333333333,2,1
connexin,Erinaceus europaeus,project/data/references/connexins/Erinaceus_europaeus/GJA1__Q6TYA8.fasta,Q6TYA8,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,NC_080165.1,-,130451756,130468150,16395,1,2.0,2,2
connexin,Gallus gallus,project/data/references/connexins/Gallus_gallus/GJA1__P14154.fasta,P14154,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,NC_052534.1,-,61409929,61419060,9132,3,2.0,2,2
connexin,Gallus gallus,project/data/references/connexins/Gallus_gallus/GJA3__P29415.fasta,P29415,GJA3,gene-GJA3,GJA3,gap junction protein alpha 3,NC_052532.1,+,178850882,178864581,13700,2,2.0,2,2
connexin,Gallus gallus,project/data/references/connexins/Gallus_gallus/GJA5__P18860.fasta,P18860,GJA5,gene-GJA5,GJA5,gap junction protein alpha 5,NC_052532.1,-,92598058,92618897,20840,5,2.4,3,2
connexin,Gallus gallus,project/data/references/connexins/Gallus_gallus/GJA8__P36381.fasta,P36381,GJA8,gene-GJA8,GJA8,gap junction protein alpha 8,NC_052532.1,+,92655355,92665699,10345,1,1.0,1,1
connexin,Gallus gallus,project/data/references/connexins/Gallus_gallus/GJB6__O93533.fasta,O93533,GJB6,gene-GJB6,GJB6,gap junction protein beta 6,NC_052532.1,+,178811318,178820870,9553,10,2.4,3,2
connexin,Gallus gallus,project/data/references/connexins/Gallus_gallus/GJC1__P18861.fasta,P18861,GJC1,gene-GJC3,GJC3,gap junction protein gamma 3,NC_052558.1,-,890768,903741,12974,24,4.375,6,3
connexin,Gorilla gorilla gorilla,project/data/references/connexins/Gorilla_gorilla_gorilla/GJB2__Q8MHW5.fasta,Q8MHW5,GJB2,gene-LOC101144634,LOC101144634,piggyBac transposable element-derived protein 2,NC_073224.2,-,5567034,5584530,17497,4,3.75,5,3
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJA10__Q969M2.fasta,Q969M2,GJA10,gene-GJA9,GJA9,gap junction protein alpha 9,NC_000001.11,-,38874069,38881587,7519,1,2.0,2,2
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJA1__P17302.fasta,P17302,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,NC_000006.12,+,121435646,121449727,14082,1,2.0,2,2
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJA3__Q9Y6H8.fasta,Q9Y6H8,GJA3,gene-GJA3,GJA3,gap junction protein alpha 3,NC_000013.11,-,20138255,20161565,23311,2,2.0,2,2
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJA4__P35212.fasta,P35212,GJA4,gene-GJA4,GJA4,gap junction protein alpha 4,NC_000001.11,+,34792999,34795747,2749,3,2.0,2,2
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJA5__P36382.fasta,P36382,GJA5,gene-GJA5,GJA5,gap junction protein alpha 5,NC_000001.11,-,147756199,147773351,17153,2,2.0,2,2
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJA8__P48165.fasta,P48165,GJA8,gene-GJA8,GJA8,gap junction protein alpha 8,NC_000001.11,+,147902795,147914486,11692,2,2.0,2,2
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJA9__P57773.fasta,P57773,GJA9,gene-GJA9,GJA9,gap junction protein alpha 9,NC_000001.11,-,38874069,38881587,7519,1,2.0,2,2
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJB1__P08034.fasta,P08034,GJB1,gene-GJB1,GJB1,gap junction protein beta 1,NC_000023.11,+,71215239,71225516,10278,3,2.3333333333333335,3,2
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJB2__P29033.fasta,P29033,GJB2,gene-NOC2L,NOC2L,NOC2 like nucleolar associated transcriptional repressor,NC_000001.11,-,944203,959256,15054,1,19.0,19,19
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJB3__O75712.fasta,O75712,GJB3,gene-GJB3,GJB3,gap junction protein beta 3,NC_000001.11,+,34781214,34786364,5151,2,2.0,2,2
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJB4__Q9NTQ9.fasta,Q9NTQ9,GJB4,gene-GJB4,GJB4,gap junction protein beta 4,NC_000001.11,+,34759740,34762327,2588,2,2.0,2,2
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJB5__O95377.fasta,O95377,GJB5,gene-OR4F5,OR4F5,olfactory receptor family 4 subfamily F member 5,NC_000001.11,+,65419,71585,6167,1,3.0,3,3
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJB6__O95452.fasta,O95452,GJB6,gene-GJB6,GJB6,gap junction protein beta 6,NC_000013.11,-,20221962,20232319,10358,9,4.0,5,3
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJB7__Q6PEY0.fasta,Q6PEY0,GJB7,gene-GJB7,GJB7,gap junction protein beta 7,NC_000006.12,-,87282980,87329278,46299,1,3.0,3,3
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJC1__P36383.fasta,P36383,GJC1,gene-GJD3,GJD3,gap junction protein delta 3,NC_000017.11,-,40360652,40364737,4086,1,1.0,1,1
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJC2__Q5T442.fasta,Q5T442,GJC2,gene-NOC2L,NOC2L,NOC2 like nucleolar associated transcriptional repressor,NC_000001.11,-,944203,959256,15054,1,19.0,19,19
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJC3__Q8NFK1.fasta,Q8NFK1,GJC3,gene-GJC3,GJC3,gap junction protein gamma 3,NC_000007.14,-,99923266,99930747,7482,2,2.5,3,2
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJD2__Q9UKL4.fasta,Q9UKL4,GJD2,gene-NOC2L,NOC2L,NOC2 like nucleolar associated transcriptional repressor,NC_000001.11,-,944203,959256,15054,1,19.0,19,19
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJD3__Q8N144.fasta,Q8N144,GJD3,gene-ACAP3,ACAP3,ArfGAP with coiled-coil%2C ankyrin repeat and PH domains 3,NC_000001.11,-,1292391,1307930,15540,8,22.125,24,12
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJD4__Q96KN9.fasta,Q96KN9,GJD4,gene-GJD4,GJD4,gap junction protein delta 4,NC_000010.11,+,35605341,35608935,3595,1,2.0,2,2
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/GJE1__A6NN92.fasta,A6NN92,GJE1,gene-GJE1,GJE1,gap junction protein epsilon 1,NC_000006.12,+,142132925,142135358,2434,1,3.0,3,3
connexin,Homo sapiens,project/data/references/connexins/Homo_sapiens/RIC1__Q4ADV7.fasta,Q4ADV7,RIC1,gene-LOC124901373,LOC124901373,guanine nucleotide exchange factor subunit RIC1-like,NC_000006.12,+,108876357,108879500,3144,1,1.0,1,1
connexin,Hylobates moloch,project/data/references/connexins/Hylobates_moloch/GJB2__Q7JGL3.fasta,Q7JGL3,GJB2,gene-GAL3ST2,GAL3ST2,galactose-3-O-sulfotransferase 2,NW_026652276.1,-,127313,138003,10691,1,5.0,5,5
connexin,Leucoraja erinaceus,project/data/references/connexins/Leucoraja_erinaceus/P69998__P69998.fasta,P69998,,gene-foxi2,foxi2,forkhead box I2,NC_073377.1,-,2570590,2583206,12617,1,2.0,2,2
connexin,Macaca fascicularis,project/data/references/connexins/Macaca_fascicularis/GJA1__Q4R4S7.fasta,Q4R4S7,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,NC_088378.1,+,25375264,25389148,13885,1,2.0,2,2
connexin,Macaca fascicularis,project/data/references/connexins/Macaca_fascicularis/GJB1__Q60HF7.fasta,Q60HF7,GJB1,gene-GJB1,GJB1,gap junction protein beta 1,NC_088395.1,+,77917988,77929725,11738,3,2.3333333333333335,3,2
connexin,Macaca fascicularis,project/data/references/connexins/Macaca_fascicularis/GJD4__Q9N0B3.fasta,Q9N0B3,GJD4,gene-GJD4,GJD4,gap junction protein delta 4,NC_088383.1,+,36373830,36377755,3926,2,3.0,3,3
connexin,Macaca mulatta,project/data/references/connexins/Macaca_mulatta/GJB2__Q8MIT8.fasta,Q8MIT8,GJB2,gene-PGBD2,PGBD2,piggyBac transposable element derived 2,NC_133406.1,-,53679,73341,19663,3,3.3333333333333335,4,3
connexin,Mesocricetus auratus,project/data/references/connexins/Mesocricetus_auratus/GJC1__Q6PYT3.fasta,Q6PYT3,GJC1,gene-Gjc1,Gjc1,gap junction protein gamma 1,NW_024429191.1,+,79768402,79792121,23720,6,3.0,3,3
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gja10__Q9WUS4.fasta,Q9WUS4,Gja10,gene-Gja10,Gja10,gap junction protein%2C alpha 10,NC_000070.7,-,32594595,32607382,12788,1,3.0,3,3
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gja1__P23242.fasta,P23242,Gja1,gene-Gja1,Gja1,gap junction protein%2C alpha 1,NC_000076.7,+,56253297,56266519,13223,2,2.0,2,2
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gja3__Q64448.fasta,Q64448,Gja3,gene-Gja3,Gja3,gap junction protein%2C alpha 3,NC_000080.7,-,57271917,57295487,23571,3,2.3333333333333335,3,2
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gja4__P28235.fasta,P28235,Gja4,gene-Gja4,Gja4,gap junction protein%2C alpha 4,NC_000070.7,-,127205213,127207832,2620,1,2.0,2,2
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gja5__Q01231.fasta,Q01231,Gja5,gene-Gja5,Gja5,gap junction protein%2C alpha 5,NC_000069.7,+,96939718,96960950,21233,2,2.5,3,2
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gja6__Q6S5G4.fasta,Q6S5G4,Gja6,gene-Gja6,Gja6,gap junction protein%2C alpha 6,NC_000086.8,-,159685112,159690048,4937,1,2.0,2,2
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gja8__P28236.fasta,P28236,Gja8,gene-Gja8,Gja8,gap junction protein%2C alpha 8,NC_000069.7,-,96820882,96833367,12486,1,2.0,2,2
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gjb1__P28230.fasta,P28230,Gjb1,gene-Gjb1,Gjb1,gap junction protein%2C beta 1,NC_000086.8,+,100419982,100429235,9254,5,2.2,3,2
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gjb2__Q00977.fasta,Q00977,Gjb2,gene-Oprk1,Oprk1,opioid receptor%2C kappa 1,NC_000067.7,+,5658673,5676357,17685,4,3.75,4,3
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gjb3__P28231.fasta,P28231,Gjb3,gene-Gjb3,Gjb3,gap junction protein%2C beta 3,NC_000070.7,-,127219028,127224633,5606,2,2.0,2,2
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gjb4__Q02738.fasta,Q02738,Gjb4,gene-Gjb4,Gjb4,gap junction protein%2C beta 4,NC_000070.7,-,127234892,127247929,13038,4,2.5,3,2
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gjb5__Q02739.fasta,Q02739,Gjb5,gene-Cops5,Cops5,COP9 signalosome subunit 5,NC_000067.7,-,10094825,10108384,13560,3,8.0,8,8
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gjb6__P70689.fasta,P70689,Gjb6,gene-Gjb6,Gjb6,gap junction protein%2C beta 6,NC_000080.7,-,57360760,57370764,10005,5,3.0,3,3
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gjc1__P28229.fasta,P28229,Gjc1,gene-Gjd3,Gjd3,gap junction protein%2C delta 3,NC_000077.7,-,98870773,98873846,3074,1,1.0,1,1
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gjc2__Q8BQU6.fasta,Q8BQU6,Gjc2,gene-Oprk1,Oprk1,opioid receptor%2C kappa 1,NC_000067.7,+,5658673,5676357,17685,4,3.75,4,3
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gjc3__Q921C1.fasta,Q921C1,Gjc3,gene-Gjc3,Gjc3,gap junction protein%2C gamma 3,NC_000071.7,-,137949254,137961360,12107,2,3.5,4,3
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gjd2__O54851.fasta,O54851,Gjd2,gene-Oprk1,Oprk1,opioid receptor%2C kappa 1,NC_000067.7,+,5658673,5676357,17685,4,3.75,4,3
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gjd3__Q91YD1.fasta,Q91YD1,Gjd3,gene-Rp1,Rp1,retinitis pigmentosa 1 (human),NC_000067.7,-,4185896,4479508,293613,4,14.0,25,4
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gjd4__Q8BSD4.fasta,Q8BSD4,Gjd4,gene-Gjd4,Gjd4,gap junction protein%2C delta 4,NC_000084.7,-,9278124,9289808,11685,2,2.0,2,2
connexin,Mus musculus,project/data/references/connexins/Mus_musculus/Gje1__Q9CX92.fasta,Q9CX92,Gje1,gene-Gjc3,Gjc3,gap junction protein%2C gamma 3,NC_000071.7,-,137949254,137961360,12107,2,3.5,4,3
connexin,Oryctolagus cuniculus,project/data/references/connexins/Oryctolagus_cuniculus/GJA1__Q6TYA7.fasta,Q6TYA7,GJA1,gene-GJA1,GJA1,gap junction protein alpha 1,NC_091436.1,-,48742335,48754317,11983,2,1.5,2,1
connexin,Ovis aries,project/data/references/connexins/Ovis_aries/GJA3__Q9TU17.fasta,Q9TU17,GJA3,gene-GJA3,GJA3,gap junction protein alpha 3,NC_056063.1,+,36348743,36349981,1239,1,1.0,1,1
connexin,Ovis aries,project/data/references/connexins/Ovis_aries/GJA8__P55917.fasta,P55917,GJA8,gene-GJA8,GJA8,gap junction protein alpha 8,NC_056054.1,+,98952749,98954071,1323,1,1.0,1,1
connexin,Ovis aries,project/data/references/connexins/Ovis_aries/GJB2__P46691.fasta,P46691,GJB2,gene-GAL3ST2,GAL3ST2,galactose-3-O-sulfotransferase 2,NC_056054.1,-,182719,205096,22378,1,5.0,5,5
connexin,Pongo pygmaeus,project/data/references/connexins/Pongo_pygmaeus/GJB2__Q8MIT9.fasta,Q8MIT9,GJB2,gene-PGBD2,PGBD2,piggyBac transposable element derived 2,NC_072373.2,-,47219,63875,16657,3,2.6666666666666665,3,2
connexin,Rattus norvegicus,project/data/references/connexins/Rattus_norvegicus/Gja1__P08050.fasta,P08050,Gja1,gene-Gja1,Gja1,gap junction protein%2C alpha 1,NC_086038.1,+,36302490,36315010,12521,4,2.0,2,2
connexin,Rattus norvegicus,project/data/references/connexins/Rattus_norvegicus/Gja3__P29414.fasta,P29414,Gja3,gene-Gja3,Gja3,gap junction protein%2C alpha 3,NC_086033.1,-,35296946,35322405,25460,1,2.0,2,2
connexin,Rattus norvegicus,project/data/references/connexins/Rattus_norvegicus/Gja4__Q03190.fasta,Q03190,Gja4,gene-Gja4,Gja4,gap junction protein%2C alpha 4,NC_086023.1,-,144917791,144920324,2534,1,2.0,2,2
connexin,Rattus norvegicus,project/data/references/connexins/Rattus_norvegicus/Gja5__P28234.fasta,P28234,Gja5,gene-Gja5,Gja5,gap junction protein%2C alpha 5,NC_086020.1,+,187291227,187310770,19544,2,2.0,2,2
connexin,Rattus norvegicus,project/data/references/connexins/Rattus_norvegicus/Gja6__P28233.fasta,P28233,Gja6,gene-Gja6,Gja6,gap junction protein%2C alpha 6,NC_086039.1,+,37649393,37654289,4897,1,2.0,2,2
connexin,Rattus norvegicus,project/data/references/connexins/Rattus_norvegicus/Gja8__Q8K4Q9.fasta,Q8K4Q9,Gja8,gene-Gja8,Gja8,gap junction protein%2C alpha 8,NC_086020.1,-,187179668,187181284,1617,1,1.0,1,1
connexin,Rattus norvegicus,project/data/references/connexins/Rattus_norvegicus/Gjb1__P08033.fasta,P08033,Gjb1,gene-Gjb1,Gjb1,gap junction protein%2C beta 1,NC_086039.1,+,70541845,70549776,7932,3,2.3333333333333335,3,2
