seq_id,organism,organism_key,gene,accession,panx_type,clade,length,cys_count,source_path,panx_type_source,type_rescue_hit,type_rescue_pident
panx|Mus_musculus|Panx2|Q6IMP4,Mus musculus,Mus_musculus,Panx2,Q6IMP4,PANX2,Mammal,677,12,project/data/references/pannexins/Mus_musculus/Panx2__Q6IMP4.fasta,uniprot_label,,
panx|Mus_musculus|Panx3|Q8CEG0,Mus musculus,Mus_musculus,Panx3,Q8CEG0,PANX3,Mammal,392,7,project/data/references/pannexins/Mus_musculus/Panx3__Q8CEG0.fasta,uniprot_label,,
panx|Rattus_norvegicus|Panx1|P60570,Rattus norvegicus,Rattus_norvegicus,Panx1,P60570,PANX1,Mammal,426,10,project/data/references/pannexins/Rattus_norvegicus/Panx1__P60570.fasta,uniprot_label,,
panx|Rattus_norvegicus|Panx2|P60571,Rattus norvegicus,Rattus_norvegicus,Panx2,P60571,PANX2,Mammal,674,12,project/data/references/pannexins/Rattus_norvegicus/Panx2__P60571.fasta,uniprot_label,,
panx|Rattus_norvegicus|Panx3|P60572,Rattus norvegicus,Rattus_norvegicus,Panx3,P60572,PANX3,Mammal,392,8,project/data/references/pannexins/Rattus_norvegicus/Panx3__P60572.fasta,uniprot_label,,
panx|Sus_scrofa|PANX1|A0A287B8K3,Sus scrofa,Sus_scrofa,PANX1,A0A287B8K3,PANX1,Mammal,425,12,project/data/references/pannexins/Sus_scrofa/PANX1__A0A287B8K3.fasta,uniprot_label,,
panx|Sus_scrofa|PANX2|F1RXR8,Sus scrofa,Sus_scrofa,PANX2,F1RXR8,PANX2,Mammal,669,11,project/data/references/pannexins/Sus_scrofa/PANX2__F1RXR8.fasta,uniprot_label,,
panx|Sus_scrofa|PANX3|A0A4X1VH71,Sus scrofa,Sus_scrofa,PANX3,A0A4X1VH71,PANX3,Mammal,392,10,project/data/references/pannexins/Sus_scrofa/PANX3__A0A4X1VH71.fasta,uniprot_label,,
panx|Danio_rerio|panx1a|A0A8M1PG01,Danio rerio,Danio_rerio,panx1a,A0A8M1PG01,PANX1,Ray-finned fish,417,13,project/data/references/pannexins/Danio_rerio/panx1a__A0A8M1PG01.fasta,uniprot_label,,
panx|Danio_rerio|panx1b|F1QSR7,Danio rerio,Danio_rerio,panx1b,F1QSR7,PANX1,Ray-finned fish,422,13,project/data/references/pannexins/Danio_rerio/panx1b__F1QSR7.fasta,uniprot_label,,
panx|Danio_rerio|panx2|A0A8M1P3J6,Danio rerio,Danio_rerio,panx2,A0A8M1P3J6,PANX2,Ray-finned fish,651,10,project/data/references/pannexins/Danio_rerio/panx2__A0A8M1P3J6.fasta,uniprot_label,,
panx|Lepisosteus_oculatus|PANX|W5NEM0,Lepisosteus oculatus,Lepisosteus_oculatus,PANX,W5NEM0,PANX2,Ray-finned fish,654,11,project/data/references/pannexins/Lepisosteus_oculatus/PANX__W5NEM0.fasta,mmseqs_rescue,panx|Gallus_gallus|PANX2|A0A8V0XA00,82.2
panx|Takifugu_rubripes|panx2|A0A3B5K011,Takifugu rubripes,Takifugu_rubripes,panx2,A0A3B5K011,PANX2,Ray-finned fish,656,12,project/data/references/pannexins/Takifugu_rubripes/panx2__A0A3B5K011.fasta,uniprot_label,,
panx|Takifugu_rubripes|panx3|A0A674M993,Takifugu rubripes,Takifugu_rubripes,panx3,A0A674M993,PANX3,Ray-finned fish,461,10,project/data/references/pannexins/Takifugu_rubripes/panx3__A0A674M993.fasta,uniprot_label,,
panx|Takifugu_rubripes|PANX|H2SGQ8,Takifugu rubripes,Takifugu_rubripes,PANX,H2SGQ8,PANX2,Ray-finned fish,604,12,project/data/references/pannexins/Takifugu_rubripes/PANX__H2SGQ8.fasta,mmseqs_rescue,panx|Takifugu_rubripes|panx2|A0A3B5K011,99.2
panx|Anolis_carolinensis|panx1|G1KPN4,Anolis carolinensis,Anolis_carolinensis,panx1,G1KPN4,PANX1,Reptile,435,11,project/data/references/pannexins/Anolis_carolinensis/panx1__G1KPN4.fasta,uniprot_label,,
panx|Anolis_carolinensis|PANX2|G1KAJ7,Anolis carolinensis,Anolis_carolinensis,PANX2,G1KAJ7,PANX2,Reptile,685,10,project/data/references/pannexins/Anolis_carolinensis/PANX2__G1KAJ7.fasta,uniprot_label,,
panx|Anolis_carolinensis|PANX3|H9G3D5,Anolis carolinensis,Anolis_carolinensis,PANX3,H9G3D5,PANX3,Reptile,408,12,project/data/references/pannexins/Anolis_carolinensis/PANX3__H9G3D5.fasta,uniprot_label,,
panx|Podarcis_muralis|PANX1|A0A670IMW4,Podarcis muralis,Podarcis_muralis,PANX1,A0A670IMW4,PANX1,Reptile,432,12,project/data/references/pannexins/Podarcis_muralis/PANX1__A0A670IMW4.fasta,uniprot_label,,
panx|Podarcis_muralis|PANX2|A0A670J859,Podarcis muralis,Podarcis_muralis,PANX2,A0A670J859,PANX2,Reptile,621,12,project/data/references/pannexins/Podarcis_muralis/PANX2__A0A670J859.fasta,uniprot_label,,
panx|Podarcis_muralis|PANX3|A0A670JSK3,Podarcis muralis,Podarcis_muralis,PANX3,A0A670JSK3,PANX3,Reptile,409,14,project/data/references/pannexins/Podarcis_muralis/PANX3__A0A670JSK3.fasta,uniprot_label,,
panx|Branchiostoma_floridae|LOC118405257|A0A9J7HJ13,Branchiostoma floridae,Branchiostoma_floridae,LOC118405257,A0A9J7HJ13,PANX2,Tunicate / lancelet,381,10,project/data/references/pannexins/Branchiostoma_floridae/LOC118405257__A0A9J7HJ13.fasta,uniprot_label,,
panx|Branchiostoma_floridae|LOC118430338|A0A9J7M9Y8,Branchiostoma floridae,Branchiostoma_floridae,LOC118430338,A0A9J7M9Y8,PANX3,Tunicate / lancelet,480,12,project/data/references/pannexins/Branchiostoma_floridae/LOC118430338__A0A9J7M9Y8.fasta,uniprot_label,,
