panel,species,clade,gene_id,name,chrom,start,end,strand,is_goi
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG11828,CG11828,NT_033777.3,28923044,28925086,+,no
dmel_innexin_cluster_distal,D. melanogaster — Inx3,insect,gene-Dmel_CG14521,DIP-gamma,NT_033777.3,28925004,28970372,-,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG14431,CG14431,NC_004354.4,6908277,6968829,+,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG32732,Setd3,NC_004354.4,6958032,6968750,-,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG4586,CG4586,NC_004354.4,6969918,6972265,+,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG3040,CG3040,NC_004354.4,6972324,6973393,-,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG3039,ogre,NC_004354.4,6973620,6991318,-,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CR44084,lncRNA:CR44084,NC_004354.4,6983971,6984498,+,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG14430,bou,NC_004354.4,6986486,6987188,+,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG2977,Inx7,NC_004354.4,6991612,6993612,-,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CR43837,lncRNA:CR43837,NC_004354.4,6995882,6997799,-,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG4590,Inx2,NC_004354.4,6998672,7004151,+,yes
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG3035,cm,NC_004354.4,7009006,7011145,-,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG32736,sloth1,NC_004354.4,7011357,7012137,+,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG42308,sloth2,NC_004354.4,7011357,7012137,+,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG3032,CG3032,NC_004354.4,7012239,7013881,-,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG4593,CG4593,NC_004354.4,7013887,7015009,+,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG12541,CG12541,NC_004354.4,7021608,7066052,-,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG14427,CG14427,NC_004354.4,7040603,7041769,+,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG14426,nullo,NC_004354.4,7049476,7050321,+,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG4607,CG4607,NC_004354.4,7069413,7072689,+,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CG43770,Sxl,NC_004354.4,7074550,7098053,-,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CR43548,mir-4956,NC_004354.4,7085737,7085853,-,no
inx2_cross_clade_gene_order,D. melanogaster — Inx2,insect,gene-Dmel_CR46494,lncRNA:CR46494,NC_004354.4,7093771,7094484,+,no
inx2_cross_clade_gene_order,Aedes aegypti — shakB,insect,gene-LOC5571578,LOC5571578,NC_035107.1,2260294,3023816,+,no
inx2_cross_clade_gene_order,Aedes aegypti — shakB,insect,gene-LOC110674719,LOC110674719,NC_035107.1,3007105,3008133,-,no
inx2_cross_clade_gene_order,Aedes aegypti — shakB,insect,gene-LOC5566218,LOC5566218,NC_035107.1,3043323,3071456,-,yes
inx2_cross_clade_gene_order,Aedes aegypti — shakB,insect,gene-LOC5566217,LOC5566217,NC_035107.1,3079621,3081063,-,no
inx2_cross_clade_gene_order,Aedes aegypti — shakB,insect,gene-LOC5566213,LOC5566213,NC_035107.1,3095584,3109987,+,no
inx2_cross_clade_gene_order,Aedes aegypti — shakB,insect,gene-LOC5566229,LOC5566229,NC_035107.1,3119170,3202197,-,no
inx2_cross_clade_gene_order,Aedes aegypti — shakB,insect,gene-LOC110674349,LOC110674349,NC_035107.1,3202829,3203593,+,no
inx2_cross_clade_gene_order,Aedes aegypti — shakB,insect,gene-LOC110674350,LOC110674350,NC_035107.1,3210543,3211340,-,no
inx2_cross_clade_gene_order,Aedes aegypti — shakB,insect,gene-LOC5566228,LOC5566228,NC_035107.1,3211626,3217698,+,no
inx2_cross_clade_gene_order,Aedes aegypti — shakB,insect,gene-LOC5566227,LOC5566227,NC_035107.1,3217571,3229742,-,no
inx2_cross_clade_gene_order,Aedes aegypti — shakB,insect,gene-LOC110674721,LOC110674721,NC_035107.1,3238013,3238327,+,no
inx2_cross_clade_gene_order,Aedes aegypti — shakB,insect,gene-LOC5566238,LOC5566238,NC_035107.1,3249057,3267668,+,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC3289597,LOC3289597,NC_064600.1,286611,317888,+,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC133392850,LOC133392850,NC_064600.1,287151,290067,-,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC3289598,LOC3289598,NC_064600.1,317748,334307,+,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC1272256,LOC1272256,NC_064600.1,336080,340547,-,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC1272255,LOC1272255,NC_064600.1,341492,342754,+,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC1272254,LOC1272254,NC_064600.1,347133,350861,-,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC1272252,LOC1272252,NC_064600.1,355414,364190,-,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC1272250,LOC1272250,NC_064600.1,366545,398015,+,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC133391038,LOC133391038,NC_064600.1,366857,371135,-,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC1272249,LOC1272249,NC_064600.1,400718,426772,-,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC133394011,LOC133394011,NC_064600.1,428388,430510,+,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC1272247,LOC1272247,NC_064600.1,431707,453881,+,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC133394013,LOC133394013,NC_064600.1,454102,455001,-,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC1272246,LOC1272246,NC_064600.1,455514,469765,+,yes
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC4576005,LOC4576005,NC_064600.1,471088,479923,-,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC1272241,LOC1272241,NC_064600.1,485251,504847,+,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC1272239,LOC1272239,NC_064600.1,507106,513090,-,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC4576034,LOC4576034,NC_064600.1,516851,522892,+,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC1272237,LOC1272237,NC_064600.1,526991,536274,+,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC3289599,LOC3289599,NC_064600.1,536919,544966,-,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC3289600,LOC3289600,NC_064600.1,550087,568661,-,no
inx2_cross_clade_gene_order,Anopheles gambiae — shakB,insect,gene-LOC1272234,LOC1272234,NC_064600.1,572840,648451,+,no
inx2_cross_clade_gene_order,Schistocerca americana — inx2,insect,gene-LOC124594079,LOC124594079,NC_060120.1,444867854,444933148,+,yes
inx2_cross_clade_gene_order,Schistocerca americana — inx2,insect,gene-LOC124594080,LOC124594080,NC_060120.1,444996974,445118795,-,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_C03A3.9,C03A3.9,NC_003284.9,11267011,11267298,+,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_C03A3.3,C03A3.3,NC_003284.9,11267321,11269070,-,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_C03A3.5,C03A3.5,NC_003284.9,11270890,11271006,-,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_F38B2.1,ifa-1,NC_003284.9,11271182,11275498,+,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_C03A3.6,C03A3.6,NC_003284.9,11272306,11272478,-,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_F38B2.2,F38B2.2,NC_003284.9,11278401,11279376,-,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_F38B2.6,F38B2.6,NC_003284.9,11280615,11281248,-,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_F38B2.3,F38B2.3,NC_003284.9,11281716,11286346,-,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_F38B2.4,F38B2.4,NC_003284.9,11286589,11287717,-,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_F38B2.7,F38B2.7,NC_003284.9,11287860,11287997,+,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_F08G12.12,mir-787,NC_003284.9,11294708,11294797,+,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_F08G12.10,inx-2,NC_003284.9,11295007,11296733,-,yes
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_F08G12.2,snrp-40.1,NC_003284.9,11298036,11299784,-,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_F08G12.3,F08G12.3,NC_003284.9,11300257,11302111,+,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_F08G12.1,F08G12.1,NC_003284.9,11302053,11305873,-,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_F08G12.4,vhl-1,NC_003284.9,11307356,11308518,+,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_F08G12.5,F08G12.5,NC_003284.9,11308689,11310285,-,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_F08G12.11,F08G12.11,NC_003284.9,11313385,11315572,-,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_F08G12.8,nlp-57,NC_003284.9,11317050,11318055,+,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_ZK455.6,hizr-1,NC_003284.9,11318278,11321078,+,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_ZK455.4,asm-2,NC_003284.9,11321079,11324251,-,no
inx2_cross_clade_gene_order,C. elegans — inx-2,nematode,gene-CELE_ZK455.5,glam-5,NC_003284.9,11324310,11326927,-,no
