panel,family,reference_gene,neighbor_gene,species_with_gene,species_total,shared_all_species,fraction_species
connexin_GJA8_cross_species,connexin,GJA8,gja5,3,3,yes,1.00
connexin_GJA8_cross_species,connexin,GJA8,gpr89a,2,3,no,0.67
connexin_GJA8_cross_species,connexin,GJA8,acp6,1,3,no,0.33
connexin_GJA8_cross_species,connexin,GJA8,bcl9,1,3,no,0.33
connexin_GJA8_cross_species,connexin,GJA8,gpr89b,1,3,no,0.33
connexin_GJA8_cross_species,connexin,GJA8,htr1f,1,3,no,0.33
connexin_GJA8_cross_species,connexin,GJA8,pdzk1,1,3,no,0.33
connexin_GJA8_cross_species,connexin,GJA8,pdzk1p1,1,3,no,0.33
connexin_GJA8_cross_species,connexin,GJA8,poglut1,1,3,no,0.33
connexin_GJA8_cross_species,connexin,GJA8,rnf115,1,3,no,0.33
connexin_GJA8_cross_species,connexin,GJA8,rnvu1-7,1,3,no,0.33
connexin_GJA8_cross_species,connexin,GJA8,trq-ctg3-2,1,3,no,0.33
connexin_GJB1_cross_species,connexin,GJB1,foxo4,4,4,yes,1.00
connexin_GJB1_cross_species,connexin,GJB1,il2rg,4,4,yes,1.00
connexin_GJB1_cross_species,connexin,GJB1,itgb1bp2,4,4,yes,1.00
connexin_GJB1_cross_species,connexin,GJB1,med12,4,4,yes,1.00
connexin_GJB1_cross_species,connexin,GJB1,nlgn3,4,4,yes,1.00
connexin_GJB1_cross_species,connexin,GJB1,nono,4,4,yes,1.00
connexin_GJB1_cross_species,connexin,GJB1,snx12,4,4,yes,1.00
connexin_GJB1_cross_species,connexin,GJB1,taf1,4,4,yes,1.00
connexin_GJB1_cross_species,connexin,GJB1,zmym3,4,4,yes,1.00
connexin_GJB1_cross_species,connexin,GJB1,cxhxorf65,3,4,no,0.75
connexin_GJB1_cross_species,connexin,GJB1,rhog2,2,4,no,0.50
connexin_GJB1_cross_species,connexin,GJB1,cxorf65,1,4,no,0.25
connexin_GJB2_cross_species,connexin,GJB2,sh3bp5l,3,7,no,0.43
connexin_GJB2_cross_species,connexin,GJB2,znf672,3,7,no,0.43
connexin_GJB2_cross_species,connexin,GJB2,znf692,3,7,no,0.43
connexin_GJB2_cross_species,connexin,GJB2,atg4b,2,7,no,0.29
connexin_GJB2_cross_species,connexin,GJB2,d2hgdh,2,7,no,0.29
connexin_GJB2_cross_species,connexin,GJB2,dtymk,2,7,no,0.29
connexin_GJB2_cross_species,connexin,GJB2,fam240c,2,7,no,0.29
connexin_GJB2_cross_species,connexin,GJB2,ing5,2,7,no,0.29
connexin_GJB2_cross_species,connexin,GJB2,lypd8,2,7,no,0.29
connexin_GJB2_cross_species,connexin,GJB2,neu4,2,7,no,0.29
connexin_GJB2_cross_species,connexin,GJB2,pdcd1,2,7,no,0.29
connexin_GJB2_cross_species,connexin,GJB2,rtp5,2,7,no,0.29
connexin_GJB2_cross_species,connexin,GJB2,thap4,2,7,no,0.29
connexin_GJB2_cross_species,connexin,GJB2,agrn,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,bok,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,c1orf159,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,c21orf140,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,fam41c,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,fam87b,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,farp2,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,hes4,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,isg15,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,kcne1,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,klhl17,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,linc00115,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,linc01128,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,linc01409,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,linc02593,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,perm1,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,plekhn1,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,rcan1,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,rnf223,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,samd11,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,smim11,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,smim34,1,7,no,0.14
connexin_GJB2_cross_species,connexin,GJB2,stk25,1,7,no,0.14
connexin_GJB3_cross_species,connexin,GJB3,dlgap3,2,2,yes,1.00
connexin_GJB3_cross_species,connexin,GJB3,gja4,2,2,yes,1.00
connexin_GJB3_cross_species,connexin,GJB3,gjb4,2,2,yes,1.00
connexin_GJB3_cross_species,connexin,GJB3,gjb5,2,2,yes,1.00
connexin_GJB3_cross_species,connexin,GJB3,smim12,2,2,yes,1.00
connexin_GJB6_cross_species,connexin,GJB6,gja3,2,2,yes,1.00
connexin_GJB6_cross_species,connexin,GJB6,gjb2,2,2,yes,1.00
connexin_GJB6_cross_species,connexin,GJB6,zmym2,2,2,yes,1.00
connexin_GJB6_cross_species,connexin,GJB6,eef1akmt1,1,2,no,0.50
connexin_GJB6_cross_species,connexin,GJB6,ift88,1,2,no,0.50
connexin_GJB6_cross_species,connexin,GJB6,linc01072,1,2,no,0.50
connexin_GJB6_cross_species,connexin,GJB6,xpo4,1,2,no,0.50
connexin_GJC1_cross_species,connexin,GJC1,adam11,6,6,yes,1.00
connexin_GJC1_cross_species,connexin,GJC1,c1ql1,6,6,yes,1.00
connexin_GJC1_cross_species,connexin,GJC1,eftud2,6,6,yes,1.00
connexin_GJC1_cross_species,connexin,GJC1,kif18b,6,6,yes,1.00
connexin_GJC1_cross_species,connexin,GJC1,ccdc103,5,6,no,0.83
connexin_GJC1_cross_species,connexin,GJC1,ccdc43,5,6,no,0.83
connexin_GJC1_cross_species,connexin,GJC1,fam187a,5,6,no,0.83
connexin_GJC1_cross_species,connexin,GJC1,gfap,5,6,no,0.83
connexin_GJC1_cross_species,connexin,GJC1,higd1b,5,6,no,0.83
connexin_GJC1_cross_species,connexin,GJC1,meioc,5,6,no,0.83
connexin_GJC1_cross_species,connexin,GJC1,dbf4b,4,6,no,0.67
connexin_GJC1_cross_species,connexin,GJC1,dcakd,3,6,no,0.50
connexin_GJC1_cross_species,connexin,GJC1,fzd2,2,6,no,0.33
connexin_GJC1_cross_species,connexin,GJC1,acbd4,1,6,no,0.17
connexin_GJC1_cross_species,connexin,GJC1,cdc6,1,6,no,0.17
connexin_GJC1_cross_species,connexin,GJC1,dnaaf19,1,6,no,0.17
connexin_GJC1_cross_species,connexin,GJC1,gjd3-as1,1,6,no,0.17
connexin_GJC1_cross_species,connexin,GJC1,hexim1,1,6,no,0.17
connexin_GJC1_cross_species,connexin,GJC1,igfbp4,1,6,no,0.17
connexin_GJC1_cross_species,connexin,GJC1,mylksml,1,6,no,0.17
connexin_GJC1_cross_species,connexin,GJC1,nmt1,1,6,no,0.17
connexin_GJC1_cross_species,connexin,GJC1,nsf,1,6,no,0.17
connexin_GJC1_cross_species,connexin,GJC1,plcd3,1,6,no,0.17
connexin_GJC1_cross_species,connexin,GJC1,rara,1,6,no,0.17
connexin_GJC1_cross_species,connexin,GJC1,rara-as1,1,6,no,0.17
connexin_GJC1_cross_species,connexin,GJC1,tns4,1,6,no,0.17
connexin_GJC1_cross_species,connexin,GJC1,top2a,1,6,no,0.17
connexin_GJD2_cross_species,connexin,GJD2,agrn,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,c1orf159,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,c21orf140,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,fam41c,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,fam87b,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,hes4,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,isg15,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,kcne1,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,klhl17,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,linc00115,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,linc01128,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,linc01409,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,linc02593,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,perm1,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,plekhn1,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,rcan1,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,rnf223,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,samd11,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,smim11,1,2,no,0.50
connexin_GJD2_cross_species,connexin,GJD2,smim34,1,2,no,0.50
connexin_GJD4_cross_species,connexin,GJD4,ccny,2,2,yes,1.00
connexin_GJD4_cross_species,connexin,GJD4,fzd8,2,2,yes,1.00
connexin_GJD4_cross_species,connexin,GJD4,gjd4-as1,1,2,no,0.50
connexin_GJD4_cross_species,connexin,GJD4,pcat5,1,2,no,0.50
connexin_Gja1_cross_species,connexin,Gja1,tbc1d32,2,2,yes,1.00
connexin_Gja1_cross_species,connexin,Gja1,gm36460,1,2,no,0.50
connexin_Gja1_cross_species,connexin,Gja1,gm36517,1,2,no,0.50
connexin_Gja1_cross_species,connexin,Gja1,gm36595,1,2,no,0.50
connexin_Gja3_cross_species,connexin,Gja3,gjb2,2,2,yes,1.00
connexin_Gja3_cross_species,connexin,Gja3,gjb6,2,2,yes,1.00
connexin_Gja3_cross_species,connexin,Gja3,zmym2,2,2,yes,1.00
connexin_Gja3_cross_species,connexin,Gja3,b020004c17rik,1,2,no,0.50
connexin_Gja3_cross_species,connexin,Gja3,gm32912,1,2,no,0.50
connexin_Gja3_cross_species,connexin,Gja3,gm36789,1,2,no,0.50
connexin_Gja3_cross_species,connexin,Gja3,gm4491,1,2,no,0.50
connexin_Gja3_cross_species,connexin,Gja3,rpl23al4,1,2,no,0.50
connexin_Gja4_cross_species,connexin,Gja4,dlgap3,2,2,yes,1.00
connexin_Gja4_cross_species,connexin,Gja4,gjb3,2,2,yes,1.00
connexin_Gja4_cross_species,connexin,Gja4,gjb4,2,2,yes,1.00
connexin_Gja4_cross_species,connexin,Gja4,gjb5,2,2,yes,1.00
connexin_Gja4_cross_species,connexin,Gja4,smim12,2,2,yes,1.00
connexin_Gja4_cross_species,connexin,Gja4,1700080g11rik,1,2,no,0.50
connexin_Gja4_cross_species,connexin,Gja4,gm22221,1,2,no,0.50
connexin_Gja4_cross_species,connexin,Gja4,gm40251,1,2,no,0.50
connexin_Gja4_cross_species,connexin,Gja4,gm40252,1,2,no,0.50
connexin_Gja4_cross_species,connexin,Gja4,gm52707,1,2,no,0.50
connexin_Gja4_cross_species,connexin,Gja4,rnu6-260,1,2,no,0.50
connexin_Gja5_cross_species,connexin,Gja5,acp6,2,2,yes,1.00
connexin_Gja5_cross_species,connexin,Gja5,bcl9,2,2,yes,1.00
connexin_Gja5_cross_species,connexin,Gja5,gja8,2,2,yes,1.00
connexin_Gja5_cross_species,connexin,Gja5,4930573h18rik,1,2,no,0.50
connexin_Gja5_cross_species,connexin,Gja5,gm24435,1,2,no,0.50
connexin_Gja5_cross_species,connexin,Gja5,gm31120,1,2,no,0.50
connexin_Gja5_cross_species,connexin,Gja5,gm31183,1,2,no,0.50
connexin_Gja5_cross_species,connexin,Gja5,gpr89,1,2,no,0.50
connexin_Gja5_cross_species,connexin,Gja5,gpr89b,1,2,no,0.50
connexin_Gja5_cross_species,connexin,Gja5,n-tectc12,1,2,no,0.50
connexin_Gja5_cross_species,connexin,Gja5,pdzk1,1,2,no,0.50
connexin_Gja6_cross_species,connexin,Gja6,cdkl5,2,2,yes,1.00
connexin_Gja6_cross_species,connexin,Gja6,ppef1,2,2,yes,1.00
connexin_Gja6_cross_species,connexin,Gja6,rs1,2,2,yes,1.00
connexin_Gja6_cross_species,connexin,Gja6,scml2,2,2,yes,1.00
connexin_Gja6_cross_species,connexin,Gja6,mt1f,1,2,no,0.50
connexin_Gja6_cross_species,connexin,Gja6,n-tvtac3,1,2,no,0.50
connexin_Gja8_cross_species,connexin,Gja8,cd160,2,2,yes,1.00
connexin_Gja8_cross_species,connexin,Gja8,gja5,2,2,yes,1.00
connexin_Gja8_cross_species,connexin,Gja8,pdzk1,2,2,yes,1.00
connexin_Gja8_cross_species,connexin,Gja8,rnf115,2,2,yes,1.00
connexin_Gja8_cross_species,connexin,Gja8,4930442l01rik,1,2,no,0.50
connexin_Gja8_cross_species,connexin,Gja8,4930573h18rik,1,2,no,0.50
connexin_Gja8_cross_species,connexin,Gja8,gm31120,1,2,no,0.50
connexin_Gja8_cross_species,connexin,Gja8,gm31183,1,2,no,0.50
connexin_Gja8_cross_species,connexin,Gja8,gpr89,1,2,no,0.50
connexin_Gja8_cross_species,connexin,Gja8,gpr89b,1,2,no,0.50
connexin_Gjb1_cross_species,connexin,Gjb1,foxo4,2,2,yes,1.00
connexin_Gjb1_cross_species,connexin,Gjb1,il2rg,2,2,yes,1.00
connexin_Gjb1_cross_species,connexin,Gjb1,itgb1bp2,2,2,yes,1.00
connexin_Gjb1_cross_species,connexin,Gjb1,med12,2,2,yes,1.00
connexin_Gjb1_cross_species,connexin,Gjb1,nlgn3,2,2,yes,1.00
connexin_Gjb1_cross_species,connexin,Gjb1,nono,2,2,yes,1.00
connexin_Gjb1_cross_species,connexin,Gjb1,snx12,2,2,yes,1.00
connexin_Gjb1_cross_species,connexin,Gjb1,taf1,2,2,yes,1.00
connexin_Gjb1_cross_species,connexin,Gjb1,zmym3,2,2,yes,1.00
connexin_Gjb1_cross_species,connexin,Gjb1,cxhxorf65,1,2,no,0.50
connexin_Gjb1_cross_species,connexin,Gjb1,gm22472,1,2,no,0.50
connexin_Gjb1_cross_species,connexin,Gjb1,gm31385,1,2,no,0.50
connexin_Gjb1_cross_species,connexin,Gjb1,gm614,1,2,no,0.50
connexin_Gjb3_cross_species,connexin,Gjb3,dlgap3,2,2,yes,1.00
connexin_Gjb3_cross_species,connexin,Gjb3,gja4,2,2,yes,1.00
connexin_Gjb3_cross_species,connexin,Gjb3,gjb4,2,2,yes,1.00
connexin_Gjb3_cross_species,connexin,Gjb3,gjb5,2,2,yes,1.00
connexin_Gjb3_cross_species,connexin,Gjb3,smim12,2,2,yes,1.00
connexin_Gjb3_cross_species,connexin,Gjb3,1700080g11rik,1,2,no,0.50
connexin_Gjb3_cross_species,connexin,Gjb3,gm22221,1,2,no,0.50
connexin_Gjb3_cross_species,connexin,Gjb3,gm40251,1,2,no,0.50
connexin_Gjb3_cross_species,connexin,Gjb3,gm40252,1,2,no,0.50
connexin_Gjb3_cross_species,connexin,Gjb3,gm52707,1,2,no,0.50
connexin_Gjb3_cross_species,connexin,Gjb3,rnu6-260,1,2,no,0.50
connexin_Gjb4_cross_species,connexin,Gjb4,dlgap3,2,2,yes,1.00
connexin_Gjb4_cross_species,connexin,Gjb4,gja4,2,2,yes,1.00
connexin_Gjb4_cross_species,connexin,Gjb4,gjb3,2,2,yes,1.00
connexin_Gjb4_cross_species,connexin,Gjb4,gjb5,2,2,yes,1.00
connexin_Gjb4_cross_species,connexin,Gjb4,smim12,2,2,yes,1.00
connexin_Gjb4_cross_species,connexin,Gjb4,1700080g11rik,1,2,no,0.50
connexin_Gjb4_cross_species,connexin,Gjb4,gm22221,1,2,no,0.50
connexin_Gjb4_cross_species,connexin,Gjb4,gm40251,1,2,no,0.50
connexin_Gjb4_cross_species,connexin,Gjb4,gm40252,1,2,no,0.50
connexin_Gjb4_cross_species,connexin,Gjb4,gm52707,1,2,no,0.50
connexin_Gjb4_cross_species,connexin,Gjb4,rnu6-260,1,2,no,0.50
connexin_Gjb5_cross_species,connexin,Gjb5,arfgef1,1,2,no,0.50
connexin_Gjb5_cross_species,connexin,Gjb5,cspp1,1,2,no,0.50
connexin_Gjb5_cross_species,connexin,Gjb5,gm24674,1,2,no,0.50
connexin_Gjb5_cross_species,connexin,Gjb5,mcmdc2,1,2,no,0.50
connexin_Gjb5_cross_species,connexin,Gjb5,ppp1r42,1,2,no,0.50
connexin_Gjb5_cross_species,connexin,Gjb5,sgk3,1,2,no,0.50
connexin_Gjb5_cross_species,connexin,Gjb5,snhg6,1,2,no,0.50
connexin_Gjb5_cross_species,connexin,Gjb5,snord87,1,2,no,0.50
connexin_Gjb5_cross_species,connexin,Gjb5,tcf24,1,2,no,0.50
connexin_Gjb5_cross_species,connexin,Gjb5,vom2r4,1,2,no,0.50
connexin_Gjb5_cross_species,connexin,Gjb5,vom2r6,1,2,no,0.50
connexin_Gjb5_cross_species,connexin,Gjb5,znf431l11,1,2,no,0.50
connexin_Gjc1_cross_species,connexin,Gjc1,adam11,2,2,yes,1.00
connexin_Gjc1_cross_species,connexin,Gjc1,c1ql1,2,2,yes,1.00
connexin_Gjc1_cross_species,connexin,Gjc1,ccdc103,2,2,yes,1.00
connexin_Gjc1_cross_species,connexin,Gjc1,ccdc43,2,2,yes,1.00
connexin_Gjc1_cross_species,connexin,Gjc1,eftud2,2,2,yes,1.00
connexin_Gjc1_cross_species,connexin,Gjc1,fam187a,2,2,yes,1.00
connexin_Gjc1_cross_species,connexin,Gjc1,gfap,2,2,yes,1.00
connexin_Gjc1_cross_species,connexin,Gjc1,higd1b,2,2,yes,1.00
connexin_Gjc1_cross_species,connexin,Gjc1,kif18b,2,2,yes,1.00
connexin_Gjc1_cross_species,connexin,Gjc1,cdc6,1,2,no,0.50
connexin_Gjc1_cross_species,connexin,Gjc1,dbf4b,1,2,no,0.50
connexin_Gjc1_cross_species,connexin,Gjc1,dcakd,1,2,no,0.50
connexin_Gjc1_cross_species,connexin,Gjc1,gm22061,1,2,no,0.50
connexin_Gjc1_cross_species,connexin,Gjc1,gm22683,1,2,no,0.50
connexin_Gjc1_cross_species,connexin,Gjc1,gm23451,1,2,no,0.50
connexin_Gjc1_cross_species,connexin,Gjc1,gm34560,1,2,no,0.50
connexin_Gjc1_cross_species,connexin,Gjc1,gm46294,1,2,no,0.50
connexin_Gjc1_cross_species,connexin,Gjc1,igfbp4,1,2,no,0.50
connexin_Gjc1_cross_species,connexin,Gjc1,meioc,1,2,no,0.50
connexin_Gjc1_cross_species,connexin,Gjc1,rara,1,2,no,0.50
connexin_Gjc1_cross_species,connexin,Gjc1,rpl22l4,1,2,no,0.50
connexin_Gjc1_cross_species,connexin,Gjc1,tns4,1,2,no,0.50
connexin_Gjc1_cross_species,connexin,Gjc1,top2a,1,2,no,0.50
connexin_Gjc1_cross_species,connexin,Gjc1,wipf2,1,2,no,0.50
connexin_gja4_cross_species,connexin,gja4,cx38,1,2,no,0.50
connexin_gja4_cross_species,connexin,gja4,gjb3,1,2,no,0.50
connexin_gja4_cross_species,connexin,gja4,gjb3.l,1,2,no,0.50
connexin_gja4_cross_species,connexin,gja4,gjb4,1,2,no,0.50
connexin_gja4_cross_species,connexin,gja4,gjb5.l,1,2,no,0.50
connexin_gja4_cross_species,connexin,gja4,kdm1a,1,2,no,0.50
connexin_gja4_cross_species,connexin,gja4,kdm1a.l,1,2,no,0.50
connexin_gja4_cross_species,connexin,gja4,luzp1,1,2,no,0.50
connexin_gja4_cross_species,connexin,gja4,luzp1.l,1,2,no,0.50
connexin_gja4_cross_species,connexin,gja4,smim12,1,2,no,0.50
connexin_gja4_cross_species,connexin,gja4,smim12.l,1,2,no,0.50
connexin_gja4_cross_species,connexin,gja4,tmem30b,1,2,no,0.50
connexin_gja4_cross_species,connexin,gja4,tmem30b.l,1,2,no,0.50
connexin_gja4_cross_species,connexin,gja4,zmpste24,1,2,no,0.50
connexin_gja4_cross_species,connexin,gja4,zmpste24.l,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,21ur-15102,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,abtm-1,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbg03975,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbg03979,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbg03980,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbg03982,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbg03983,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbg03984,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbg03985,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbg03988,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbg03990,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbg03992,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbg03993,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbg25248,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbg25249,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbg25250,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbr-abtm-1,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbr-dmsr-2,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbr-eif-3.i,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbr-nekl-1,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbr-sydn-1,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbr-ubxn-1,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,cbr-zwl-1,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,ddx-10,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,did-2,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,eif-3.i,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,etfb-1,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,f23c8.13,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,f23c8.14,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,f23c8.3,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,f23c8.7,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,f23c8.8,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,tipn-1,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,ubxn-1,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,y23h5b.10,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,y23h5b.13,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,y23h5b.5,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,y39g10ar.24,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,y39g10ar.26,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,y74c10al.2,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,y74c10ar.2,1,2,no,0.50
innexin_inx_19_cross_species,innexin,inx_19,zwl-1,1,2,no,0.50
innexin_shakB_cross_species,innexin,shakB,ac,1,3,no,0.33
innexin_shakB_cross_species,innexin,shakB,ase,1,3,no,0.33
innexin_shakB_cross_species,innexin,shakB,cg11227,1,3,no,0.33
innexin_shakB_cross_species,innexin,shakB,cg11666,1,3,no,0.33
innexin_shakB_cross_species,innexin,shakB,cg1304,1,3,no,0.33
innexin_shakB_cross_species,innexin,shakB,cg1314,1,3,no,0.33
innexin_shakB_cross_species,innexin,shakB,cg43181,1,3,no,0.33
innexin_shakB_cross_species,innexin,shakB,cg43182,1,3,no,0.33
innexin_shakB_cross_species,innexin,shakB,cg44426,1,3,no,0.33
innexin_shakB_cross_species,innexin,shakB,i-3,1,3,no,0.33
innexin_shakB_cross_species,innexin,shakB,l(1)sc,1,3,no,0.33
innexin_shakB_cross_species,innexin,shakB,npc1b,1,3,no,0.33
innexin_shakB_cross_species,innexin,shakB,pgcl,1,3,no,0.33
innexin_shakB_cross_species,innexin,shakB,ser6,1,3,no,0.33
innexin_shakB_cross_species,innexin,shakB,y,1,3,no,0.33
