panel,mode,species,family,gene_id,name,chrom,start,end,strand,is_goi
connexin_GJA1_cross_species,cross_species,Chlorocebus sabaeus — GJA1,connexin,gene-LOC119625578,LOC119625578,NC_132916.1,45739166,45739355,-,no
connexin_GJA1_cross_species,cross_species,Erinaceus europaeus — GJA1,connexin,gene-LOC132538323,LOC132538323,NC_080165.1,130196804,130280323,-,no
connexin_GJA1_cross_species,cross_species,Erinaceus europaeus — GJA1,connexin,gene-LOC132538153,LOC132538153,NC_080165.1,130308474,130320556,-,no
connexin_GJA1_cross_species,cross_species,Erinaceus europaeus — GJA1,connexin,gene-GJA1,GJA1,NC_080165.1,130451756,130468150,-,yes
connexin_GJA1_cross_species,cross_species,Erinaceus europaeus — GJA1,connexin,gene-TBC1D32,TBC1D32,NC_080165.1,130544122,130761011,+,no
connexin_GJA1_cross_species,cross_species,Gallus gallus — GJA1,connexin,gene-LOC101752292,LOC101752292,NC_052534.1,61237137,61311128,-,no
connexin_GJA1_cross_species,cross_species,Gallus gallus — GJA1,connexin,gene-LOC107053071,LOC107053071,NC_052534.1,61342909,61363112,-,no
connexin_GJA1_cross_species,cross_species,Gallus gallus — GJA1,connexin,gene-LOC107053072,LOC107053072,NC_052534.1,61376980,61381405,+,no
connexin_GJA1_cross_species,cross_species,Gallus gallus — GJA1,connexin,gene-GJA1,GJA1,NC_052534.1,61409929,61419060,-,yes
connexin_GJA1_cross_species,cross_species,Gallus gallus — GJA1,connexin,gene-LOC107053073,LOC107053073,NC_052534.1,61419390,61422424,+,no
connexin_GJA1_cross_species,cross_species,Gallus gallus — GJA1,connexin,gene-TBC1D32,TBC1D32,NC_052534.1,61464871,61552756,+,no
connexin_GJA1_cross_species,cross_species,Gallus gallus — GJA1,connexin,gene-LOC107051510,LOC107051510,NC_052534.1,61582712,61585315,+,no
connexin_GJA1_cross_species,cross_species,Homo sapiens — GJA1,connexin,gene-TBC1D32,TBC1D32,NC_000006.12,121079494,121334729,-,no
connexin_GJA1_cross_species,cross_species,Homo sapiens — GJA1,connexin,gene-GJA1,GJA1,NC_000006.12,121435646,121449727,+,yes
connexin_GJA1_cross_species,cross_species,Macaca fascicularis — GJA1,connexin,gene-TBC1D32,TBC1D32,NC_088378.1,25041020,25267683,-,no
connexin_GJA1_cross_species,cross_species,Macaca fascicularis — GJA1,connexin,gene-LOC123573153,LOC123573153,NC_088378.1,25287424,25287530,+,no
connexin_GJA1_cross_species,cross_species,Macaca fascicularis — GJA1,connexin,gene-GJA1,GJA1,NC_088378.1,25375264,25389148,+,yes
connexin_GJA1_cross_species,cross_species,Macaca fascicularis — GJA1,connexin,gene-LOC141410047,LOC141410047,NC_088378.1,25375743,25377063,-,no
connexin_GJA1_cross_species,cross_species,Macaca fascicularis — GJA1,connexin,gene-LOC123573304,LOC123573304,NC_088378.1,25394025,25394165,-,no
connexin_GJA1_cross_species,cross_species,Macaca fascicularis — GJA1,connexin,gene-LOC123572844,LOC123572844,NC_088378.1,25406681,25447279,+,no
connexin_GJA1_cross_species,cross_species,Macaca fascicularis — GJA1,connexin,gene-LOC123573303,LOC123573303,NC_088378.1,25481030,25481168,-,no
connexin_GJA1_cross_species,cross_species,Macaca fascicularis — GJA1,connexin,gene-LOC123573286,LOC123573286,NC_088378.1,25517654,25517843,-,no
connexin_GJA1_cross_species,cross_species,Oryctolagus cuniculus — GJA1,connexin,gene-LOC127492975,LOC127492975,NC_091436.1,48648343,48658962,-,no
connexin_GJA1_cross_species,cross_species,Oryctolagus cuniculus — GJA1,connexin,gene-LOC127492974,LOC127492974,NC_091436.1,48681162,48708767,-,no
connexin_GJA1_cross_species,cross_species,Oryctolagus cuniculus — GJA1,connexin,gene-GJA1,GJA1,NC_091436.1,48742335,48754317,-,yes
connexin_GJA1_cross_species,cross_species,Oryctolagus cuniculus — GJA1,connexin,gene-LOC100343405,LOC100343405,NC_091436.1,48778524,48778817,+,no
connexin_GJA1_cross_species,cross_species,Oryctolagus cuniculus — GJA1,connexin,gene-TBC1D32,TBC1D32,NC_091436.1,48835403,49086316,+,no
connexin_GJA1_cross_species,cross_species,Sus scrofa — GJA1,connexin,gene-GJA1,GJA1,NC_010443.5,40988818,41002129,-,yes
connexin_GJA1_cross_species,cross_species,Sus scrofa — GJA1,connexin,gene-TBC1D32,TBC1D32,NC_010443.5,41057782,41265416,+,no
connexin_GJA1_cross_species,cross_species,Ursus americanus — GJA1,connexin,gene-TBC1D32,TBC1D32,NW_025577385.1,10136010,10348583,-,no
connexin_GJA1_cross_species,cross_species,Ursus americanus — GJA1,connexin,gene-GJA1,GJA1,NW_025577385.1,10416870,10430339,+,yes
connexin_GJA3_cross_species,cross_species,Bos taurus — GJA3,connexin,gene-CRYL1,CRYL1,NC_037339.1,35928798,35985471,+,no
connexin_GJA3_cross_species,cross_species,Bos taurus — GJA3,connexin,gene-LOC104973587,LOC104973587,NC_037339.1,36026855,36027613,-,no
connexin_GJA3_cross_species,cross_species,Bos taurus — GJA3,connexin,gene-GJB6,GJB6,NC_037339.1,36051742,36059946,+,no
connexin_GJA3_cross_species,cross_species,Bos taurus — GJA3,connexin,gene-LOC107132994,LOC107132994,NC_037339.1,36067754,36077817,-,no
connexin_GJA3_cross_species,cross_species,Bos taurus — GJA3,connexin,gene-GJB2,GJB2,NC_037339.1,36076842,36081884,+,no
connexin_GJA3_cross_species,cross_species,Bos taurus — GJA3,connexin,gene-GJA3,GJA3,NC_037339.1,36103532,36116554,+,yes
connexin_GJA3_cross_species,cross_species,Bos taurus — GJA3,connexin,gene-ZMYM2,ZMYM2,NC_037339.1,36171158,36195572,-,no
connexin_GJA3_cross_species,cross_species,Bos taurus — GJA3,connexin,gene-ZMYM5,ZMYM5,NC_037339.1,36235480,36261519,+,no
connexin_GJA3_cross_species,cross_species,Bos taurus — GJA3,connexin,gene-PSPC1,PSPC1,NC_037339.1,36270996,36364182,+,no
connexin_GJA3_cross_species,cross_species,Gallus gallus — GJA3,connexin,gene-EEF1AKMT1,EEF1AKMT1,NC_052532.1,178664441,178674194,+,no
connexin_GJA3_cross_species,cross_species,Gallus gallus — GJA3,connexin,gene-IFT88,IFT88,NC_052532.1,178690633,178724582,-,no
connexin_GJA3_cross_species,cross_species,Gallus gallus — GJA3,connexin,gene-CRYL1,CRYL1,NC_052532.1,178731281,178781729,+,no
connexin_GJA3_cross_species,cross_species,Gallus gallus — GJA3,connexin,gene-LOC101747286,LOC101747286,NC_052532.1,178803539,178809983,-,no
connexin_GJA3_cross_species,cross_species,Gallus gallus — GJA3,connexin,gene-GJB6,GJB6,NC_052532.1,178811318,178820870,+,no
connexin_GJA3_cross_species,cross_species,Gallus gallus — GJA3,connexin,gene-GJB2,GJB2,NC_052532.1,178837883,178842766,+,no
connexin_GJA3_cross_species,cross_species,Gallus gallus — GJA3,connexin,gene-GJA3,GJA3,NC_052532.1,178850882,178864581,+,yes
connexin_GJA3_cross_species,cross_species,Gallus gallus — GJA3,connexin,gene-ZMYM2,ZMYM2,NC_052532.1,178898480,178992739,-,no
connexin_GJA3_cross_species,cross_species,Gallus gallus — GJA3,connexin,gene-LOC121107122,LOC121107122,NC_052532.1,178992947,178996943,+,no
connexin_GJA3_cross_species,cross_species,Gallus gallus — GJA3,connexin,gene-LOC121110634,LOC121110634,NC_052532.1,179030338,179031379,-,no
connexin_GJA3_cross_species,cross_species,Gallus gallus — GJA3,connexin,gene-PSPC1,PSPC1,NC_052532.1,179031219,179098293,+,no
connexin_GJA3_cross_species,cross_species,Homo sapiens — GJA3,connexin,gene-ZMYM2,ZMYM2,NC_000013.11,19863840,20089115,+,no
connexin_GJA3_cross_species,cross_species,Homo sapiens — GJA3,connexin,gene-LINC01072,LINC01072,NC_000013.11,20102701,20103230,+,no
connexin_GJA3_cross_species,cross_species,Homo sapiens — GJA3,connexin,gene-LOC105370101,LOC105370101,NC_000013.11,20105328,20119789,-,no
connexin_GJA3_cross_species,cross_species,Homo sapiens — GJA3,connexin,gene-LOC124903128,LOC124903128,NC_000013.11,20135584,20138392,+,no
connexin_GJA3_cross_species,cross_species,Homo sapiens — GJA3,connexin,gene-GJA3,GJA3,NC_000013.11,20138255,20161565,-,yes
connexin_GJA3_cross_species,cross_species,Homo sapiens — GJA3,connexin,gene-LOC107984553,LOC107984553,NC_000013.11,20178956,20186191,-,no
connexin_GJA3_cross_species,cross_species,Homo sapiens — GJA3,connexin,gene-GJB2,GJB2,NC_000013.11,20187470,20192938,-,no
connexin_GJA3_cross_species,cross_species,Homo sapiens — GJA3,connexin,gene-GJB6,GJB6,NC_000013.11,20221962,20232319,-,no
connexin_GJA3_cross_species,cross_species,Homo sapiens — GJA3,connexin,gene-LOC105370102,LOC105370102,NC_000013.11,20295688,20326221,+,no
connexin_GJA3_cross_species,cross_species,Ovis aries — GJA3,connexin,gene-CRYL1,CRYL1,NC_056063.1,36167955,36227043,+,no
connexin_GJA3_cross_species,cross_species,Ovis aries — GJA3,connexin,gene-LOC105611675,LOC105611675,NC_056063.1,36266472,36279806,+,no
connexin_GJA3_cross_species,cross_species,Ovis aries — GJA3,connexin,gene-GJB6,GJB6,NC_056063.1,36290583,36298469,+,no
connexin_GJA3_cross_species,cross_species,Ovis aries — GJA3,connexin,gene-GJB2,GJB2,NC_056063.1,36313168,36316714,+,no
connexin_GJA3_cross_species,cross_species,Ovis aries — GJA3,connexin,gene-LOC121820448,LOC121820448,NC_056063.1,36318560,36320639,-,no
connexin_GJA3_cross_species,cross_species,Ovis aries — GJA3,connexin,gene-LOC121820449,LOC121820449,NC_056063.1,36338371,36349691,-,no
connexin_GJA3_cross_species,cross_species,Ovis aries — GJA3,connexin,gene-GJA3,GJA3,NC_056063.1,36348743,36349981,+,yes
connexin_GJA3_cross_species,cross_species,Ovis aries — GJA3,connexin,gene-ZMYM2,ZMYM2,NC_056063.1,36366510,36432005,-,no
connexin_GJA3_cross_species,cross_species,Ovis aries — GJA3,connexin,gene-LOC101119057,LOC101119057,NC_056063.1,36465941,36466749,+,no
connexin_GJA3_cross_species,cross_species,Ovis aries — GJA3,connexin,gene-LOC101119317,LOC101119317,NC_056063.1,36473798,36498569,+,no
connexin_GJA3_cross_species,cross_species,Ovis aries — GJA3,connexin,gene-PSPC1,PSPC1,NC_056063.1,36508473,36601173,+,no
connexin_GJA4_cross_species,cross_species,Bos taurus — GJA4,connexin,gene-DLGAP3,DLGAP3,NC_037330.1,110766002,110827929,+,no
connexin_GJA4_cross_species,cross_species,Bos taurus — GJA4,connexin,gene-SMIM12,SMIM12,NC_037330.1,110835257,110839537,+,no
connexin_GJA4_cross_species,cross_species,Bos taurus — GJA4,connexin,gene-GJA4,GJA4,NC_037330.1,110888194,110890928,-,yes
connexin_GJA4_cross_species,cross_species,Bos taurus — GJA4,connexin,gene-GJB3,GJB3,NC_037330.1,110900180,110905849,-,no
connexin_GJA4_cross_species,cross_species,Bos taurus — GJA4,connexin,gene-GJB4,GJB4,NC_037330.1,110927018,110930974,-,no
connexin_GJA4_cross_species,cross_species,Bos taurus — GJA4,connexin,gene-LOC132344948,LOC132344948,NC_037330.1,110928025,110930842,+,no
connexin_GJA4_cross_species,cross_species,Bos taurus — GJA4,connexin,gene-GJB5,GJB5,NC_037330.1,110930961,110948304,-,no
connexin_GJA4_cross_species,cross_species,Homo sapiens — GJA4,connexin,gene-LOC105378641,LOC105378641,NC_000001.11,34457859,34685319,-,no
connexin_GJA4_cross_species,cross_species,Homo sapiens — GJA4,connexin,gene-MIR552,MIR552,NC_000001.11,34669599,34669694,-,no
connexin_GJA4_cross_species,cross_species,Homo sapiens — GJA4,connexin,gene-LOC105378642,LOC105378642,NC_000001.11,34710017,34724256,-,no
connexin_GJA4_cross_species,cross_species,Homo sapiens — GJA4,connexin,gene-GJB5,GJB5,NC_000001.11,34755047,34758512,+,no
connexin_GJA4_cross_species,cross_species,Homo sapiens — GJA4,connexin,gene-GJB4,GJB4,NC_000001.11,34759740,34762327,+,no
connexin_GJA4_cross_species,cross_species,Homo sapiens — GJA4,connexin,gene-GJB3,GJB3,NC_000001.11,34781214,34786364,+,no
connexin_GJA4_cross_species,cross_species,Homo sapiens — GJA4,connexin,gene-GJA4,GJA4,NC_000001.11,34792999,34795747,+,yes
connexin_GJA4_cross_species,cross_species,Homo sapiens — GJA4,connexin,gene-SMIM12,SMIM12,NC_000001.11,34850362,34859749,-,no
connexin_GJA4_cross_species,cross_species,Homo sapiens — GJA4,connexin,gene-DLGAP3,DLGAP3,NC_000001.11,34865436,34929650,-,no
connexin_GJA4_cross_species,cross_species,Sus scrofa — GJA4,connexin,gene-GJB5,GJB5,NC_010448.4,90999514,91003301,+,no
connexin_GJA4_cross_species,cross_species,Sus scrofa — GJA4,connexin,gene-GJB4,GJB4,NC_010448.4,91004794,91008231,+,no
connexin_GJA4_cross_species,cross_species,Sus scrofa — GJA4,connexin,gene-GJB3,GJB3,NC_010448.4,91031378,91037548,+,no
connexin_GJA4_cross_species,cross_species,Sus scrofa — GJA4,connexin,gene-GJA4,GJA4,NC_010448.4,91045430,91048161,+,yes
connexin_GJA4_cross_species,cross_species,Sus scrofa — GJA4,connexin,gene-SMIM12,SMIM12,NC_010448.4,91109044,91113686,-,no
connexin_GJA4_cross_species,cross_species,Sus scrofa — GJA4,connexin,gene-DLGAP3,DLGAP3,NC_010448.4,91120406,91184146,-,no
connexin_GJA4_cross_species,cross_species,Sus scrofa — GJA4,connexin,gene-LOC110261138,LOC110261138,NC_010448.4,91225604,91233416,-,no
connexin_GJA5_cross_species,cross_species,Bos taurus — GJA5,connexin,gene-GPR89A,GPR89A,NC_037330.1,21683229,21742247,-,no
connexin_GJA5_cross_species,cross_species,Bos taurus — GJA5,connexin,gene-LOC132344845,LOC132344845,NC_037330.1,21741849,21745412,+,no
connexin_GJA5_cross_species,cross_species,Bos taurus — GJA5,connexin,gene-GJA8,GJA8,NC_037330.1,21753038,21755146,-,no
connexin_GJA5_cross_species,cross_species,Bos taurus — GJA5,connexin,gene-GJA5,GJA5,NC_037330.1,21877817,21895373,+,yes
connexin_GJA5_cross_species,cross_species,Bos taurus — GJA5,connexin,gene-LOC132344847,LOC132344847,NC_037330.1,21907267,21960466,-,no
connexin_GJA5_cross_species,cross_species,Bos taurus — GJA5,connexin,gene-ACP6,ACP6,NC_037330.1,21960526,21981434,+,no
connexin_GJA5_cross_species,cross_species,Bos taurus — GJA5,connexin,gene-BCL9,BCL9,NC_037330.1,22002059,22098080,-,no
connexin_GJA5_cross_species,cross_species,Bos taurus — GJA5,connexin,gene-LOC132344846,LOC132344846,NC_037330.1,22017484,22098080,-,no
connexin_GJA5_cross_species,cross_species,Canis lupus familiaris — GJA5,connexin,gene-LOC102156514,LOC102156514,NC_049238.1,58747988,58807655,-,no
connexin_GJA5_cross_species,cross_species,Canis lupus familiaris — GJA5,connexin,gene-BCL9,BCL9,NC_049238.1,58762480,58845574,+,no
connexin_GJA5_cross_species,cross_species,Canis lupus familiaris — GJA5,connexin,gene-LOC102156457,LOC102156457,NC_049238.1,58812987,58825428,-,no
connexin_GJA5_cross_species,cross_species,Canis lupus familiaris — GJA5,connexin,gene-LOC111090703,LOC111090703,NC_049238.1,58848970,58860207,-,no
connexin_GJA5_cross_species,cross_species,Canis lupus familiaris — GJA5,connexin,gene-LOC119864017,LOC119864017,NC_049238.1,58855800,58855923,-,no
connexin_GJA5_cross_species,cross_species,Canis lupus familiaris — GJA5,connexin,gene-ACP6,ACP6,NC_049238.1,58867915,58885764,-,no
connexin_GJA5_cross_species,cross_species,Canis lupus familiaris — GJA5,connexin,gene-GJA5,GJA5,NC_049238.1,58946248,58962243,-,yes
connexin_GJA5_cross_species,cross_species,Canis lupus familiaris — GJA5,connexin,gene-LOC111090704,LOC111090704,NC_049238.1,58995419,59033368,-,no
connexin_GJA5_cross_species,cross_species,Canis lupus familiaris — GJA5,connexin,gene-GJA8,GJA8,NC_049238.1,59017265,59087398,+,no
connexin_GJA5_cross_species,cross_species,Canis lupus familiaris — GJA5,connexin,gene-GPR89A,GPR89A,NC_049238.1,59093986,59155136,+,no
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-ADPRH,ADPRH,NC_052532.1,92418243,92428761,-,no
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-CD88,CD88,NC_052532.1,92441366,92463833,+,no
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-TIMMDC1,TIMMDC1,NC_052532.1,92446508,92471310,-,no
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-POGLUT1,POGLUT1,NC_052532.1,92472244,92487850,-,no
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-BCL9,BCL9,NC_052532.1,92487874,92570875,+,no
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-LOC112530505,LOC112530505,NC_052532.1,92512568,92516099,-,no
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-MIR6616,MIR6616,NC_052532.1,92532047,92532156,+,no
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-ACP6,ACP6,NC_052532.1,92577112,92584338,-,no
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-GJA5,GJA5,NC_052532.1,92598058,92618897,-,yes
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-LOC107055079,LOC107055079,NC_052532.1,92600951,92621552,+,no
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-LOC124417670,LOC124417670,NC_052532.1,92629131,92653311,+,no
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-GJA8,GJA8,NC_052532.1,92655355,92665699,+,no
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-GPR89A,GPR89A,NC_052532.1,92666478,92689641,+,no
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-PDZK1P1,PDZK1P1,NC_052532.1,92687200,92696365,-,no
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-LOC101752250,LOC101752250,NC_052532.1,92720302,92867069,+,no
connexin_GJA5_cross_species,cross_species,Gallus gallus — GJA5,connexin,gene-HTR1F,HTR1F,NC_052532.1,92748426,92859828,-,no
connexin_GJA5_cross_species,cross_species,Homo sapiens — GJA5,connexin,gene-BCL9,BCL9,NC_000001.11,147541501,147626216,+,no
connexin_GJA5_cross_species,cross_species,Homo sapiens — GJA5,connexin,gene-LOC128071544,LOC128071544,NC_000001.11,147611590,147611796,+,no
connexin_GJA5_cross_species,cross_species,Homo sapiens — GJA5,connexin,gene-ACP6,ACP6,NC_000001.11,147629658,147670524,-,no
connexin_GJA5_cross_species,cross_species,Homo sapiens — GJA5,connexin,gene-LOC105371230,LOC105371230,NC_000001.11,147700066,147740075,-,no
connexin_GJA5_cross_species,cross_species,Homo sapiens — GJA5,connexin,gene-LOC102723321,LOC102723321,NC_000001.11,147700728,147789690,+,no
connexin_GJA5_cross_species,cross_species,Homo sapiens — GJA5,connexin,gene-GJA5,GJA5,NC_000001.11,147756199,147773351,-,yes
connexin_GJA5_cross_species,cross_species,Homo sapiens — GJA5,connexin,gene-GJA8,GJA8,NC_000001.11,147902795,147914486,+,no
connexin_GJA5_cross_species,cross_species,Homo sapiens — GJA5,connexin,gene-LOC105371229,LOC105371229,NC_000001.11,147916700,147928318,-,no
connexin_GJA5_cross_species,cross_species,Homo sapiens — GJA5,connexin,gene-GPR89B,GPR89B,NC_000001.11,147928420,148025934,+,no
connexin_GJA8_cross_species,cross_species,Gallus gallus — GJA8,connexin,gene-POGLUT1,POGLUT1,NC_052532.1,92472244,92487850,-,no
connexin_GJA8_cross_species,cross_species,Gallus gallus — GJA8,connexin,gene-BCL9,BCL9,NC_052532.1,92487874,92570875,+,no
connexin_GJA8_cross_species,cross_species,Gallus gallus — GJA8,connexin,gene-LOC112530505,LOC112530505,NC_052532.1,92512568,92516099,-,no
connexin_GJA8_cross_species,cross_species,Gallus gallus — GJA8,connexin,gene-MIR6616,MIR6616,NC_052532.1,92532047,92532156,+,no
connexin_GJA8_cross_species,cross_species,Gallus gallus — GJA8,connexin,gene-ACP6,ACP6,NC_052532.1,92577112,92584338,-,no
connexin_GJA8_cross_species,cross_species,Gallus gallus — GJA8,connexin,gene-GJA5,GJA5,NC_052532.1,92598058,92618897,-,no
connexin_GJA8_cross_species,cross_species,Gallus gallus — GJA8,connexin,gene-LOC107055079,LOC107055079,NC_052532.1,92600951,92621552,+,no
connexin_GJA8_cross_species,cross_species,Gallus gallus — GJA8,connexin,gene-LOC124417670,LOC124417670,NC_052532.1,92629131,92653311,+,no
connexin_GJA8_cross_species,cross_species,Gallus gallus — GJA8,connexin,gene-GJA8,GJA8,NC_052532.1,92655355,92665699,+,yes
connexin_GJA8_cross_species,cross_species,Gallus gallus — GJA8,connexin,gene-GPR89A,GPR89A,NC_052532.1,92666478,92689641,+,no
connexin_GJA8_cross_species,cross_species,Gallus gallus — GJA8,connexin,gene-PDZK1P1,PDZK1P1,NC_052532.1,92687200,92696365,-,no
connexin_GJA8_cross_species,cross_species,Gallus gallus — GJA8,connexin,gene-LOC101752250,LOC101752250,NC_052532.1,92720302,92867069,+,no
connexin_GJA8_cross_species,cross_species,Gallus gallus — GJA8,connexin,gene-HTR1F,HTR1F,NC_052532.1,92748426,92859828,-,no
connexin_GJA8_cross_species,cross_species,Homo sapiens — GJA8,connexin,gene-LOC105371230,LOC105371230,NC_000001.11,147700066,147740075,-,no
connexin_GJA8_cross_species,cross_species,Homo sapiens — GJA8,connexin,gene-LOC102723321,LOC102723321,NC_000001.11,147700728,147789690,+,no
connexin_GJA8_cross_species,cross_species,Homo sapiens — GJA8,connexin,gene-GJA5,GJA5,NC_000001.11,147756199,147773351,-,no
connexin_GJA8_cross_species,cross_species,Homo sapiens — GJA8,connexin,gene-GJA8,GJA8,NC_000001.11,147902795,147914486,+,yes
connexin_GJA8_cross_species,cross_species,Homo sapiens — GJA8,connexin,gene-LOC105371229,LOC105371229,NC_000001.11,147916700,147928318,-,no
connexin_GJA8_cross_species,cross_species,Homo sapiens — GJA8,connexin,gene-GPR89B,GPR89B,NC_000001.11,147928420,148025934,+,no
connexin_GJA8_cross_species,cross_species,Homo sapiens — GJA8,connexin,gene-TRQ-CTG3-2,TRQ-CTG3-2,NC_000001.11,148032790,148032861,+,no
connexin_GJA8_cross_species,cross_species,Homo sapiens — GJA8,connexin,gene-RNVU1-7,RNVU1-7,NC_000001.11,148038753,148038916,-,no
connexin_GJA8_cross_species,cross_species,Homo sapiens — GJA8,connexin,gene-TRN-GTT9-2,TRN-GTT9-2,NC_000001.11,148048516,148048589,-,no
connexin_GJA8_cross_species,cross_species,Ovis aries — GJA8,connexin,gene-LOC114116720,LOC114116720,NC_056054.1,98785545,98797579,-,no
connexin_GJA8_cross_species,cross_species,Ovis aries — GJA8,connexin,gene-GJA5,GJA5,NC_056054.1,98811853,98829888,-,no
connexin_GJA8_cross_species,cross_species,Ovis aries — GJA8,connexin,gene-LOC132659531,LOC132659531,NC_056054.1,98874029,98927433,-,no
connexin_GJA8_cross_species,cross_species,Ovis aries — GJA8,connexin,gene-GJA8,GJA8,NC_056054.1,98952749,98954071,+,yes
connexin_GJA8_cross_species,cross_species,Ovis aries — GJA8,connexin,gene-GPR89A,GPR89A,NC_056054.1,98965664,99014090,+,no
connexin_GJA8_cross_species,cross_species,Ovis aries — GJA8,connexin,gene-PDZK1,PDZK1,NC_056054.1,99012675,99067907,-,no
connexin_GJA8_cross_species,cross_species,Ovis aries — GJA8,connexin,gene-RNF115,RNF115,NC_056054.1,99093690,99171360,-,no
connexin_GJB1_cross_species,cross_species,Bos taurus — GJB1,connexin,gene-TAF1,TAF1,NC_037357.1,79162737,79276814,-,no
connexin_GJB1_cross_species,cross_species,Bos taurus — GJB1,connexin,gene-TRNAS-GGA-118,TRNAS-GGA,NC_037357.1,79258944,79259015,-,no
connexin_GJB1_cross_species,cross_species,Bos taurus — GJB1,connexin,gene-RHOG2,RHOG2,NC_037357.1,79285796,79302365,-,no
connexin_GJB1_cross_species,cross_species,Bos taurus — GJB1,connexin,gene-LOC112445230,LOC112445230,NC_037357.1,79329890,79329992,+,no
connexin_GJB1_cross_species,cross_species,Bos taurus — GJB1,connexin,gene-ITGB1BP2,ITGB1BP2,NC_037357.1,79330102,79367534,-,no
connexin_GJB1_cross_species,cross_species,Bos taurus — GJB1,connexin,gene-NONO,NONO,NC_037357.1,79368090,79381212,-,no
connexin_GJB1_cross_species,cross_species,Bos taurus — GJB1,connexin,gene-ZMYM3,ZMYM3,NC_037357.1,79394506,79409855,+,no
connexin_GJB1_cross_species,cross_species,Bos taurus — GJB1,connexin,gene-GJB1,GJB1,NC_037357.1,79421765,79428791,-,yes
connexin_GJB1_cross_species,cross_species,Bos taurus — GJB1,connexin,gene-TRNAC-ACA-239,TRNAC-ACA,NC_037357.1,79440416,79440488,+,no
connexin_GJB1_cross_species,cross_species,Bos taurus — GJB1,connexin,gene-LOC540405,LOC540405,NC_037357.1,79444319,79451239,-,no
connexin_GJB1_cross_species,cross_species,Bos taurus — GJB1,connexin,gene-NLGN3,NLGN3,NC_037357.1,79470571,79494848,-,no
connexin_GJB1_cross_species,cross_species,Bos taurus — GJB1,connexin,gene-MED12,MED12,NC_037357.1,79494942,79517415,-,no
