seq_id,source,species_dir,organism,clade,gene_label,reference_type,subfamily,protein_length,rank_category
ref__Ursus_americanus__GJA1__A6XKM2,reference_db,Ursus_americanus,Ursus americanus,Mammal,GJA1,GJA1,alpha_GJA,382,reference
ref__Xenopus_laevis__gja1__P16863,reference_db,Xenopus_laevis,Xenopus laevis,Amphibian,gja1,GJA1,alpha_GJA,379,reference
ref__Xenopus_laevis__gja2__P16864,reference_db,Xenopus_laevis,Xenopus laevis,Amphibian,gja2,other GJA,alpha_GJA,334,reference
ref__Xenopus_laevis__gja4__P51914,reference_db,Xenopus_laevis,Xenopus laevis,Amphibian,gja4,GJA4,alpha_GJA,352,reference
ref__Xenopus_laevis__gjb1__P08983,reference_db,Xenopus_laevis,Xenopus laevis,Amphibian,gjb1,GJB1,beta_GJB,264,reference
ref__Xenopus_tropicalis__gja4__Q0V990,reference_db,Xenopus_tropicalis,Xenopus tropicalis,Amphibian,gja4,GJA4,alpha_GJA,352,reference
disc__Antrozous_pallidus__candidate_inx_017,discovery,Antrozous_pallidus,Antrozous pallidus,Mammal,candidate_inx_017,other/unknown,unassigned,179,high_confidence_connexin_candidate
disc__Bombina_variegata__candidate_inx_028,discovery,Bombina_variegata,Bombina variegata,Amphibian,candidate_inx_028,other/unknown,unassigned,346,high_confidence_connexin_candidate
disc__Butorides_sundevalli__candidate_inx_017,discovery,Butorides_sundevalli,Butorides sundevalli,Bird,candidate_inx_017,other/unknown,unassigned,329,high_confidence_connexin_candidate
disc__Desmognathus_fuscus__candidate_inx_009,discovery,Desmognathus_fuscus,Desmognathus fuscus,Amphibian,candidate_inx_009,other/unknown,unassigned,366,high_confidence_connexin_candidate
disc__Desmognathus_fuscus__candidate_inx_038,discovery,Desmognathus_fuscus,Desmognathus fuscus,Amphibian,candidate_inx_038,other/unknown,unassigned,237,high_confidence_connexin_candidate
disc__Desmognathus_fuscus__candidate_inx_125,discovery,Desmognathus_fuscus,Desmognathus fuscus,Amphibian,candidate_inx_125,other/unknown,unassigned,171,high_confidence_connexin_candidate
disc__Desmognathus_fuscus__candidate_inx_094,discovery,Desmognathus_fuscus,Desmognathus fuscus,Amphibian,candidate_inx_094,other/unknown,unassigned,306,possible_connexin_candidate
disc__Desmognathus_fuscus__candidate_inx_173,discovery,Desmognathus_fuscus,Desmognathus fuscus,Amphibian,candidate_inx_173,other/unknown,unassigned,236,possible_connexin_candidate
disc__Desmognathus_fuscus__candidate_inx_184,discovery,Desmognathus_fuscus,Desmognathus fuscus,Amphibian,candidate_inx_184,other/unknown,unassigned,311,possible_connexin_candidate
disc__Desmognathus_fuscus__candidate_inx_241,discovery,Desmognathus_fuscus,Desmognathus fuscus,Amphibian,candidate_inx_241,other/unknown,unassigned,291,possible_connexin_candidate
disc__Desmognathus_fuscus__candidate_inx_050,discovery,Desmognathus_fuscus,Desmognathus fuscus,Amphibian,candidate_inx_050,other/unknown,unassigned,322,possible_connexin_candidate
disc__Dumetella_carolinensis__candidate_inx_013,discovery,Dumetella_carolinensis,Dumetella carolinensis,Bird,candidate_inx_013,other/unknown,unassigned,221,high_confidence_connexin_candidate
disc__Hucho_bleekeri__candidate_inx_004,discovery,Hucho_bleekeri,Hucho bleekeri,Ray-finned fish,gja1,GJA1,alpha_GJA,235,high_confidence_connexin_candidate
disc__Eleutherodactylus_marnockii__candidate_inx_009,discovery,Eleutherodactylus_marnockii,Eleutherodactylus marnockii,Amphibian,candidate_inx_009,other/unknown,unassigned,166,high_confidence_connexin_candidate
disc__Fejervarya_limnocharis__candidate_inx_003,discovery,Fejervarya_limnocharis,Fejervarya limnocharis,Amphibian,candidate_inx_003,other/unknown,unassigned,437,high_confidence_connexin_candidate
disc__Fejervarya_limnocharis__candidate_inx_020,discovery,Fejervarya_limnocharis,Fejervarya limnocharis,Amphibian,candidate_inx_020,other/unknown,unassigned,291,possible_connexin_candidate
disc__Gastrophryne_carolinensis__candidate_inx_002,discovery,Gastrophryne_carolinensis,Gastrophryne carolinensis,Amphibian,candidate_inx_002,other/unknown,unassigned,407,possible_connexin_candidate
disc__Gastrophryne_carolinensis__candidate_inx_029,discovery,Gastrophryne_carolinensis,Gastrophryne carolinensis,Amphibian,candidate_inx_029,other/unknown,unassigned,267,possible_connexin_candidate
disc__Ichthyophis_bannanicus__candidate_inx_010,discovery,Ichthyophis_bannanicus,Ichthyophis bannanicus,Amphibian,candidate_inx_010,other/unknown,unassigned,167,high_confidence_connexin_candidate
disc__Mabuya_desiradae__candidate_inx_012,discovery,Mabuya_desiradae,Mabuya desiradae,Bird,candidate_inx_012,other/unknown,unassigned,160,high_confidence_connexin_candidate
disc__Marmaronetta_angustirostris__candidate_inx_008,discovery,Marmaronetta_angustirostris,Marmaronetta angustirostris,Bird,candidate_inx_008,other/unknown,unassigned,383,possible_connexin_candidate
disc__Okamejei_kenojei__candidate_inx_015,discovery,Okamejei_kenojei,Okamejei kenojei,Cartilaginous fish,candidate_inx_015,other/unknown,unassigned,261,high_confidence_connexin_candidate
disc__Potamotrygon_marinae__candidate_inx_008,discovery,Potamotrygon_marinae,Potamotrygon marinae,Cartilaginous fish,candidate_inx_008,other/unknown,unassigned,222,high_confidence_connexin_candidate
disc__Potamotrygon_marinae__candidate_inx_023,discovery,Potamotrygon_marinae,Potamotrygon marinae,Cartilaginous fish,candidate_inx_023,other/unknown,unassigned,251,possible_connexin_candidate
