phylo|Dryodora_glandiformis_candidate_inx_004_innexin	phylo|Dryodora_glandiformis_candidate_inx_004_innexin
cur|Streblospio_benedicti|CM032663.1_21744357_21747197|p5	cur|Streblospio_benedicti|CM032663.1_21744357_21747197|p5
Caenorhabditis_elegans	Caenorhabditis_elegans
cur|Streblospio_benedicti|CM032660.1_13839080_13840183|p6	cur|Streblospio_benedicti|CM032660.1_13839080_13840183|p6
cur|Streblospio_benedicti|CM032660.1_13839080_13840183|p6	cur|Abra_segmentum|OZ251777.1_14113510_14127320|p6
cur|Streblospio_benedicti|CM032660.1_13839080_13840183|p6	cur|Abra_alba|OZ409525.1_53154133_53163052|p4
cur|Streblospio_benedicti|CM032660.1_13839080_13840183|p6	cur|Acanthocardia_echinata|OZ377328.1_2223730_2233660|p6
cur|Streblospio_benedicti|CM032660.1_13839080_13840183|p6	cur|Dryodora_glandiformis|JAUELJ010241728.1_537_1514|p5
cur|Streblospio_benedicti|CM032660.1_13839080_13840183|p6	cur|Acanthochitona_discrepans|JBLVQD010000009.1_6410532_6411647|p4
Caenorhabditis_elegans	Caenorhabditis_elegans
cur|Streblospio_benedicti|CM032666.1_10353645_10358349|p7	cur|Streblospio_benedicti|CM032666.1_10353645_10358349|p7
cur|Streblospio_benedicti|CM032666.1_10353645_10358349|p7	cur|Streblospio_benedicti|CM032661.1_36454555_36461623|p1
cur|Streblospio_benedicti|CM032666.1_10353645_10358349|p7	cur|Streblospio_benedicti|CM032666.1_530575_537250|p2
cur|Streblospio_benedicti|CM032666.1_10353645_10358349|p7	cur|Streblospio_benedicti|CM032660.1_38866392_38867486|p10
cur|Streblospio_benedicti|CM032666.1_10353645_10358349|p7	cur|Streblospio_benedicti|CM032660.1_38859841_38860992|p4
cur|Streblospio_benedicti|CM032666.1_10353645_10358349|p7	cur|Streblospio_benedicti|CM032660.1_38854181_38855281|p9
cur|Streblospio_benedicti|CM032666.1_10353645_10358349|p7	cur|Streblospio_benedicti|CM032660.1_23991495_23998058|p11
Caenorhabditis_elegans	Caenorhabditis_elegans
cur|Streblospio_benedicti|CM032663.1_51675706_51690919|p8	cur|Streblospio_benedicti|CM032663.1_51675706_51690919|p8
Caenorhabditis_elegans	Caenorhabditis_elegans
cur|Acartia_tonsa|NC_137263.1_23536043_23592996|p3	cur|Acartia_tonsa|NC_137263.1_23536043_23592996|p3
cur|Acartia_tonsa|NC_137263.1_23536043_23592996|p3	Aedes_aegypti
cur|Acartia_tonsa|NC_137263.1_23536043_23592996|p3	Anopheles_gambiae
cur|Acartia_tonsa|NC_137263.1_23536043_23592996|p3	cur|Acartia_tonsa|NC_137263.1_17650629_17688963|p1
cur|Acartia_tonsa|NC_137263.1_23536043_23592996|p3	cur|Acartia_tonsa|NC_137274.1_20357689_20410150|p2
cur|Acartia_tonsa|NC_137263.1_23536043_23592996|p3	cur|Acartia_tonsa|NC_137274.1_22130542_22180508|p7
cur|Acartia_tonsa|NC_137263.1_23536043_23592996|p3	cur|Triops_cancriformis|JAHZNP010000413.1_12392_54817|p2
cur|Acartia_tonsa|NC_137263.1_23536043_23592996|p3	Drosophila_melanogaster
cur|Acartia_tonsa|NC_137263.1_23536043_23592996|p3	cur|Acartia_tonsa|NC_137263.1_17379775_17417008|p4
cur|Acartia_tonsa|NC_137263.1_23536043_23592996|p3	cur|Eriophyidae_sp.|CP157589.1_1945697_1946933|p3
cur|Acartia_tonsa|NC_137263.1_23536043_23592996|p3	Schistocerca_americana
cur|Acartia_tonsa|NC_137263.1_23536043_23592996|p3	cur|Triops_cancriformis|JAHZNP010000030.1_219375_220831|p1
cur|Acartia_tonsa|NC_137263.1_23536043_23592996|p3	Drosophila_melanogaster
cur|Brachionus_koreanus|PJRA01000389.1_11013_14791|p4	cur|Brachionus_koreanus|PJRA01000389.1_11013_14791|p4
cur|Brachionus_koreanus|PJRA01000389.1_11013_14791|p4	cur|Brachionus_manjavacas|JAHQIY010000001.1_3683723_3686938|p3
cur|Brachionus_koreanus|PJRA01000389.1_11013_14791|p4	cur|Brachionus_calyciflorus|NTPY01000275.1_566644_568817|p6
Caenorhabditis_elegans	Caenorhabditis_elegans
cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5	cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5
cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5	cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p7
cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5	cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p1
cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5	cur|Brachionus_manjavacas|JAHQIY010000004.1_8292265_8293444|p4
cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5	cur|Rotaria_macrura|OENT01000045.1_119094_122499|p2
cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5	cur|Adineta_ricciae|CAJNOJ010000009.1_407234_409021|p3
cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5	cur|Adineta_ricciae|CAJNOJ010000030.1_78572_80153|p4
cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5	cur|Adineta_steineri|CAJNOI010000009.1_556245_558144|p4
cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5	cur|Adineta_vaga|CP075494.1_12494283_12495859|p4
cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5	cur|Adineta_vaga|CP075494.1_12488368_12495862|p6
cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5	cur|Rotaria_macrura|OENT01000325.1_81075_83639|p1
Caenorhabditis_elegans	Caenorhabditis_elegans
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Agelena_orientalis|OZ405001.1_268184608_268185666|p14
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Amaurobius_ferox|OX578135.1_22068971_22070029|p16
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Aelurillus_cypriotus|OZ390143.1_182139075_182140130|p18
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Agelena_orientalis|OZ405001.1_268229052_268230107|p17
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Amaurobius_ferox|OX578135.1_22040277_22041332|p21
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Amaurobius_ferox|OX578143.1_91948787_91949863|p7
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Aegaeobuthus_cyprius|OZ392248.1_35997561_35998628|p10
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Aelurillus_cypriotus|OZ390146.1_38046247_38047305|p1
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Aelurillus_cypriotus|OZ390143.1_182108915_182109973|p4
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Aelurillus_cypriotus|OZ390146.1_38212569_38213624|p14
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Aelurillus_cypriotus|OZ390140.1_313071859_313072914|p15
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Agelena_orientalis|OZ405006.1_111738241_111739299|p1
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Agelena_orientalis|OZ405006.1_111928554_111929630|p6
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Agelena_orientalis|OZ405001.1_268312122_268313180|p16
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Eriophyidae_sp.|CP157589.1_15871915_15872964|p1
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Amaurobius_ferox|OX578135.1_22021857_22022915|p5
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Eriophyidae_sp.|CP157589.1_14051685_14059055|p12
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Aegaeobuthus_cyprius|OZ392242.1_38977305_38978369|p2
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Amaurobius_ferox|OX578143.1_92003010_92004068|p14
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Aegaeobuthus_cyprius|OZ392248.1_35985027_35986106|p9
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Agelena_orientalis|OZ405006.1_106576794_106577825|p2
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Aelurillus_cypriotus|OZ390146.1_122266154_122267227|p2
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Amaurobius_ferox|OX578143.1_93836975_93837997|p2
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Aegaeobuthus_cyprius|OZ392248.1_35911550_35912590|p1
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Eriophyidae_sp.|CP157590.1_242827_243888|p2
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16	cur|Amaurobius_ferox|OX578144.1_139756876_139757760|p8
Caenorhabditis_elegans	Caenorhabditis_elegans
Caenorhabditis_elegans	Caenorhabditis_elegans
cur|Adineta_ricciae|CAJNOJ010000006.1_265306_266692|p2	cur|Adineta_ricciae|CAJNOJ010000006.1_265306_266692|p2
cur|Adineta_ricciae|CAJNOJ010000006.1_265306_266692|p2	cur|Adineta_ricciae|CAJNOJ010000043.1_384169_385557|p1
cur|Adineta_ricciae|CAJNOJ010000006.1_265306_266692|p2	cur|Adineta_steineri|CAJNOI010000040.1_242648_244045|p5
cur|Adineta_ricciae|CAJNOJ010000006.1_265306_266692|p2	cur|Adineta_vaga|CP075494.1_9868312_9869674|p2
cur|Adineta_ricciae|CAJNOJ010000006.1_265306_266692|p2	cur|Rotaria_macrura|OENT01001445.1_20220_22805|p3
cur|Adineta_ricciae|CAJNOJ010000006.1_265306_266692|p2	cur|Rotaria_macrura|OENT01001165.1_23266_28470|p4
cur|Adineta_ricciae|CAJNOJ010000006.1_265306_266692|p2	cur|Brachionus_calyciflorus|NTPY01000483.1_809096_811261|p5
cur|Triops_cancriformis|JAHZNP010000030.1_205087_209529|p3	cur|Triops_cancriformis|JAHZNP010000030.1_205087_209529|p3
Caenorhabditis_elegans	Caenorhabditis_elegans
cur|Dryodora_glandiformis|JAUELJ010278292.1_395_1618|p1	cur|Dryodora_glandiformis|JAUELJ010278292.1_395_1618|p1
Caenorhabditis_elegans	Caenorhabditis_elegans
cur|Abra_segmentum|OZ251786.1_2258616_2261215|p5	cur|Abra_segmentum|OZ251786.1_2258616_2261215|p5
cur|Abra_segmentum|OZ251786.1_2258616_2261215|p5	cur|Abra_alba|OZ409527.1_48105670_48111459|p8
cur|Abra_segmentum|OZ251786.1_2258616_2261215|p5	cur|Abra_segmentum|OZ251784.1_30028846_30031445|p4
cur|Dryodora_glandiformis|JAUELJ010287262.1_606_1743|p2	cur|Dryodora_glandiformis|JAUELJ010287262.1_606_1743|p2
Caenorhabditis_elegans	Caenorhabditis_elegans
cur|Adineta_steineri|CAJNOI010000719.1_9542_10669|p1	cur|Adineta_steineri|CAJNOI010000719.1_9542_10669|p1
cur|Adineta_steineri|CAJNOI010000719.1_9542_10669|p1	cur|Adineta_steineri|CAJNOI010000031.1_518472_519599|p3
cur|Adineta_steineri|CAJNOI010000719.1_9542_10669|p1	cur|Adineta_vaga|CP075494.1_663807_664934|p1
cur|Adineta_steineri|CAJNOI010000719.1_9542_10669|p1	phylo|Adineta_vaga_candidate_inx_028_innexin
cur|Dryodora_glandiformis|JAUELJ010069302.1_2030_3163|p3	cur|Dryodora_glandiformis|JAUELJ010069302.1_2030_3163|p3
Caenorhabditis_elegans	Caenorhabditis_elegans
Caenorhabditis_elegans	Caenorhabditis_elegans
Caenorhabditis_elegans	Caenorhabditis_elegans
cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9	cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9
cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9	cur|Streblospio_benedicti|CM032660.1_56259174_56277458|p3
cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9	cur|Abra_alba|OZ409525.1_26983439_26985168|p1
cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9	cur|Abra_segmentum|OZ251777.1_37671120_37672232|p7
cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9	cur|Acanthochitona_discrepans|CM108789.1_13705717_13706817|p5
cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9	cur|Abra_alba|OZ409525.1_27063409_27064521|p6
cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9	cur|Acanthocardia_echinata|OZ377328.1_19071829_19072938|p1
cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9	cur|Acanthocardia_echinata|OZ377328.1_21312057_21325945|p10
cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9	cur|Acanthocardia_echinata|OZ377318.1_9903781_9904962|p12
cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9	cur|Acanthocardia_echinata|OZ377327.1_20123227_20124345|p13
cur|Dryodora_glandiformis|JAUELJ010331040.1_2053_3400|p6	cur|Dryodora_glandiformis|JAUELJ010331040.1_2053_3400|p6
cur|Dryodora_glandiformis|JAUELJ010331040.1_2053_3400|p6	Drosophila_melanogaster
cur|Dryodora_glandiformis|JAUELJ010331040.1_2053_3400|p6	cur|Acartia_tonsa|NC_137263.1_23613023_23627865|p8
cur|Dryodora_glandiformis|JAUELJ010331040.1_2053_3400|p6	Schistocerca_americana
cur|Dryodora_glandiformis|JAUELJ010331040.1_2053_3400|p6	cur|Aegaeobuthus_cyprius|OZ392242.1_38970484_38971530|p11
cur|Dryodora_glandiformis|JAUELJ010331040.1_2053_3400|p6	cur|Aelurillus_cypriotus|OZ390143.1_182374130_182375188|p3
cur|Dryodora_glandiformis|JAUELJ010331040.1_2053_3400|p6	cur|Aelurillus_cypriotus|OZ390143.1_182312731_182375161|p9
cur|Dryodora_glandiformis|JAUELJ010331040.1_2053_3400|p6	cur|Agelena_orientalis|OZ405006.1_297866838_297971678|p3
cur|Dryodora_glandiformis|JAUELJ010331040.1_2053_3400|p6	cur|Agelena_orientalis|OZ405001.1_267681632_267682690|p13
cur|Dryodora_glandiformis|JAUELJ010331040.1_2053_3400|p6	cur|Amaurobius_ferox|OX578135.1_22333051_22334109|p3
cur|Dryodora_glandiformis|JAUELJ010331040.1_2053_3400|p6	cur|Amaurobius_ferox|OX578143.1_20044333_20140154|p4
cur|Dryodora_glandiformis|JAUELJ010331040.1_2053_3400|p6	cur|Aegaeobuthus_cyprius|OZ392242.1_38998061_38999119|p3
cur|Dryodora_glandiformis|JAUELJ010331040.1_2053_3400|p6	cur|Aegaeobuthus_cyprius|OZ392248.1_36019898_36020956|p4
cur|Adineta_steineri|CAJNOI010000016.1_537749_538837|p6	cur|Adineta_steineri|CAJNOI010000016.1_537749_538837|p6
Drosophila_melanogaster	Drosophila_melanogaster
cur|Amaurobius_ferox|OX578135.1_22005959_22006999|p1	cur|Amaurobius_ferox|OX578135.1_22005959_22006999|p1
cur|Amaurobius_ferox|OX578135.1_22005959_22006999|p1	cur|Agelena_orientalis|OZ405001.1_268351784_268352848|p18
cur|Amaurobius_ferox|OX578135.1_22005959_22006999|p1	cur|Aelurillus_cypriotus|OZ390143.1_182084363_182085409|p8
Drosophila_melanogaster	Drosophila_melanogaster
Drosophila_melanogaster	Drosophila_melanogaster
cur|Acanthocardia_echinata|OZ377328.1_11251456_11255941|p4	cur|Acanthocardia_echinata|OZ377328.1_11251456_11255941|p4
cur|Acanthocardia_echinata|OZ377328.1_11251456_11255941|p4	cur|Abra_alba|OZ409525.1_47319987_47324644|p7
cur|Acanthocardia_echinata|OZ377328.1_11251456_11255941|p4	cur|Abra_segmentum|OZ251777.1_32509668_32513297|p8
cur|Acanthocardia_echinata|OZ377328.1_11251456_11255941|p4	cur|Acanthocardia_echinata|OZ377328.1_11291981_11299363|p5
Drosophila_melanogaster	Drosophila_melanogaster
cur|Adineta_vaga|CP075495.1_2966282_2969516|p5	cur|Adineta_vaga|CP075495.1_2966282_2969516|p5
cur|Eriophyidae_sp.|CP157589.1_12771188_12772438|p10	cur|Eriophyidae_sp.|CP157589.1_12771188_12772438|p10
cur|Eriophyidae_sp.|CP157589.1_12771188_12772438|p10	cur|Eriophyidae_sp.|CP157589.1_12771188_12772438|p7
cur|Eriophyidae_sp.|CP157589.1_2915620_2916790|p13	cur|Eriophyidae_sp.|CP157589.1_2915620_2916790|p13
Drosophila_melanogaster	Drosophila_melanogaster
phylo|Adineta_vaga_candidate_inx_008_innexin	phylo|Adineta_vaga_candidate_inx_008_innexin
cur|Aegaeobuthus_cyprius|OZ392242.1_38986725_38987792|p8	cur|Aegaeobuthus_cyprius|OZ392242.1_38986725_38987792|p8
cur|Rotaria_macrura|OENT01000439.1_8602_9805|p5	cur|Rotaria_macrura|OENT01000439.1_8602_9805|p5
