seq_id,source,species_dir,organism,clade,gene_label,reference_type,subfamily,length,identity_to_ref
cur|Acanthocardia_echinata|OZ377328.1_23337154_23339399|p9,curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,373,0.3974
cur|Acanthocardia_echinata|OZ377328.1_21312057_21325945|p10,curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,362,0.377
cur|Acanthocardia_echinata|OZ377328.1_21341102_21387057|p11,curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,380,0.3805
cur|Acanthocardia_echinata|OZ377318.1_9903781_9904962|p12,curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,394,0.3645
cur|Acanthocardia_echinata|OZ377327.1_20123227_20124345|p13,curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,373,0.3792
cur|Acanthocardia_echinata|OZ377325.1_14826690_14837377|p14,curator_new,Acanthocardia_echinata,Acanthocardia echinata,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,376,0.3747
cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1,curator_new,Acanthochitona_discrepans,Acanthochitona discrepans,Mollusca,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,364,0.389
cur|Acanthochitona_discrepans|CM108789.1_13668655_13669749|p2,curator_new,Acanthochitona_discrepans,Acanthochitona discrepans,Mollusca,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,365,0.3616
cur|Acanthochitona_discrepans|CM108789.1_17930773_17931897|p3,curator_new,Acanthochitona_discrepans,Acanthochitona discrepans,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,375,0.4199
cur|Acanthochitona_discrepans|JBLVQD010000009.1_6410532_6411647|p4,curator_new,Acanthochitona_discrepans,Acanthochitona discrepans,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,372,0.4011
cur|Acanthochitona_discrepans|CM108789.1_13705717_13706817|p5,curator_new,Acanthochitona_discrepans,Acanthochitona discrepans,Mollusca,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,367,0.382
cur|Acartia_tonsa|NC_137263.1_17650629_17688963|p1,curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),sp|P33085|SHAKB_DROME,shakB,SF1_shakB,356,0.6947
cur|Acartia_tonsa|NC_137274.1_20357689_20410150|p2,curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),sp|P33085|SHAKB_DROME,shakB,SF1_shakB,324,0.6574
cur|Acartia_tonsa|NC_137263.1_23536043_23592996|p3,curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),sp|P27716|INX1_DROME,Inx1/ogre,SF2_Inx1_ogre,353,0.4774
cur|Acartia_tonsa|NC_137263.1_17379775_17417008|p4,curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),sp|P27716|INX1_DROME,Inx1/ogre,SF2_Inx1_ogre,337,0.4855
cur|Acartia_tonsa|NC_137274.1_22130542_22180508|p7,curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),sp|Q1DH70|SHAKB_AEDAE,shakB,SF1_shakB,324,0.6636
cur|Acartia_tonsa|NC_137263.1_23613023_23627865|p8,curator_new,Acartia_tonsa,Acartia tonsa,Arthropoda (non-insect),sp|Q9XYN1|INX2_SCHAM,Inx2,SF4_Inx2_expansion,359,0.6462
cur|Adineta_ricciae|CAJNOJ010000043.1_384169_385557|p1,curator_new,Adineta_ricciae,Adineta ricciae,Rotifera,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,374,0.3467
cur|Adineta_ricciae|CAJNOJ010000006.1_265306_266692|p2,curator_new,Adineta_ricciae,Adineta ricciae,Rotifera,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,372,0.3432
cur|Adineta_ricciae|CAJNOJ010000009.1_407234_409021|p3,curator_new,Adineta_ricciae,Adineta ricciae,Rotifera,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,365,0.3656
cur|Adineta_ricciae|CAJNOJ010000030.1_78572_80153|p4,curator_new,Adineta_ricciae,Adineta ricciae,Rotifera,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,365,0.3622
cur|Adineta_steineri|CAJNOI010000719.1_9542_10669|p1,curator_new,Adineta_steineri,Adineta steineri,Rotifera,candidate_inx_028,other/unknown,unassigned,376,0.7287
cur|Adineta_steineri|CAJNOI010000031.1_518472_519599|p3,curator_new,Adineta_steineri,Adineta steineri,Rotifera,candidate_inx_028,other/unknown,unassigned,376,0.7261
cur|Adineta_steineri|CAJNOI010000009.1_556245_558144|p4,curator_new,Adineta_steineri,Adineta steineri,Rotifera,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,373,0.3636
cur|Adineta_steineri|CAJNOI010000040.1_242648_244045|p5,curator_new,Adineta_steineri,Adineta steineri,Rotifera,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,370,0.3531
cur|Adineta_steineri|CAJNOI010000016.1_537749_538837|p6,curator_new,Adineta_steineri,Adineta steineri,Rotifera,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,363,0.3148
cur|Adineta_vaga|CP075494.1_663807_664934|p1,curator_new,Adineta_vaga,Adineta vaga,Rotifera,candidate_inx_028,other/unknown,unassigned,376,0.845
cur|Adineta_vaga|CP075494.1_9868312_9869674|p2,curator_new,Adineta_vaga,Adineta vaga,Rotifera,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,370,0.3504
cur|Adineta_vaga|CP075494.1_12494283_12495859|p4,curator_new,Adineta_vaga,Adineta vaga,Rotifera,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,365,0.3548
cur|Adineta_vaga|CP075495.1_2966282_2969516|p5,curator_new,Adineta_vaga,Adineta vaga,Rotifera,sp|Q03412|UNC7_CAEEL,unc-7,SF3_Inx3_Inx7_nematode,465,0.3131
cur|Adineta_vaga|CP075494.1_12488368_12495862|p6,curator_new,Adineta_vaga,Adineta vaga,Rotifera,sp|Q1DH70|SHAKB_AEDAE,shakB,SF1_shakB,378,0.2657
cur|Aegaeobuthus_cyprius|OZ392248.1_35911550_35912590|p1,curator_new,Aegaeobuthus_cyprius,Aegaeobuthus cyprius,Arthropoda (non-insect),sp|Q9V427|INX2_DROME,Inx2,SF4_Inx2_expansion,347,0.5214
cur|Aegaeobuthus_cyprius|OZ392242.1_38977305_38978369|p2,curator_new,Aegaeobuthus_cyprius,Aegaeobuthus cyprius,Arthropoda (non-insect),sp|Q9V427|INX2_DROME,Inx2,SF4_Inx2_expansion,355,0.5169
cur|Aegaeobuthus_cyprius|OZ392242.1_38998061_38999119|p3,curator_new,Aegaeobuthus_cyprius,Aegaeobuthus cyprius,Arthropoda (non-insect),sp|P33085|SHAKB_DROME,shakB,SF1_shakB,353,0.6102
cur|Aegaeobuthus_cyprius|OZ392248.1_36019898_36020956|p4,curator_new,Aegaeobuthus_cyprius,Aegaeobuthus cyprius,Arthropoda (non-insect),sp|P33085|SHAKB_DROME,shakB,SF1_shakB,353,0.5734
cur|Aegaeobuthus_cyprius|OZ392242.1_38986725_38987792|p8,curator_new,Aegaeobuthus_cyprius,Aegaeobuthus cyprius,Arthropoda (non-insect),sp|Q1DH70|SHAKB_AEDAE,shakB,SF1_shakB,356,0.5028
cur|Aegaeobuthus_cyprius|OZ392248.1_35985027_35986106|p9,curator_new,Aegaeobuthus_cyprius,Aegaeobuthus cyprius,Arthropoda (non-insect),sp|Q9XYN1|INX2_SCHAM,Inx2,SF4_Inx2_expansion,360,0.5472
cur|Aegaeobuthus_cyprius|OZ392248.1_35997561_35998628|p10,curator_new,Aegaeobuthus_cyprius,Aegaeobuthus cyprius,Arthropoda (non-insect),sp|Q9XYN1|INX2_SCHAM,Inx2,SF4_Inx2_expansion,356,0.535
cur|Aegaeobuthus_cyprius|OZ392242.1_38970484_38971530|p11,curator_new,Aegaeobuthus_cyprius,Aegaeobuthus cyprius,Arthropoda (non-insect),sp|Q9XYN1|INX2_SCHAM,Inx2,SF4_Inx2_expansion,349,0.5299
cur|Aelurillus_cypriotus|OZ390146.1_38046247_38047305|p1,curator_new,Aelurillus_cypriotus,Aelurillus cypriotus,Arthropoda (non-insect),sp|Q9V427|INX2_DROME,Inx2,SF4_Inx2_expansion,353,0.5593
cur|Aelurillus_cypriotus|OZ390146.1_122266154_122267227|p2,curator_new,Aelurillus_cypriotus,Aelurillus cypriotus,Arthropoda (non-insect),sp|Q9V427|INX2_DROME,Inx2,SF4_Inx2_expansion,358,0.4596
cur|Aelurillus_cypriotus|OZ390143.1_182374130_182375188|p3,curator_new,Aelurillus_cypriotus,Aelurillus cypriotus,Arthropoda (non-insect),sp|P33085|SHAKB_DROME,shakB,SF1_shakB,353,0.613
cur|Aelurillus_cypriotus|OZ390143.1_182108915_182109973|p4,curator_new,Aelurillus_cypriotus,Aelurillus cypriotus,Arthropoda (non-insect),sp|P33085|SHAKB_DROME,shakB,SF1_shakB,353,0.507
cur|Aelurillus_cypriotus|OZ390143.1_182084363_182085409|p8,curator_new,Aelurillus_cypriotus,Aelurillus cypriotus,Arthropoda (non-insect),sp|Q9XYN1|INX2_SCHAM,Inx2,SF4_Inx2_expansion,349,0.4886
cur|Aelurillus_cypriotus|OZ390143.1_182312731_182375161|p9,curator_new,Aelurillus_cypriotus,Aelurillus cypriotus,Arthropoda (non-insect),recovered_Abra_segmentum_best,other/unknown,unassigned,316,0.3125
cur|Aelurillus_cypriotus|OZ390146.1_38212569_38213624|p14,curator_new,Aelurillus_cypriotus,Aelurillus cypriotus,Arthropoda (non-insect),recovered_Aegaeobuthus_cyprius_best,other/unknown,unassigned,352,0.661
cur|Aelurillus_cypriotus|OZ390140.1_313071859_313072914|p15,curator_new,Aelurillus_cypriotus,Aelurillus cypriotus,Arthropoda (non-insect),recovered_Aegaeobuthus_cyprius_best,other/unknown,unassigned,352,0.6412
cur|Aelurillus_cypriotus|OZ390143.1_182176791_182177849|p16,curator_new,Aelurillus_cypriotus,Aelurillus cypriotus,Arthropoda (non-insect),recovered_Aegaeobuthus_cyprius_best,other/unknown,unassigned,353,0.6243
cur|Aelurillus_cypriotus|OZ390143.1_182139075_182140130|p18,curator_new,Aelurillus_cypriotus,Aelurillus cypriotus,Arthropoda (non-insect),recovered_Aegaeobuthus_cyprius_best,other/unknown,unassigned,352,0.5819
cur|Agelena_orientalis|OZ405006.1_111738241_111739299|p1,curator_new,Agelena_orientalis,Agelena orientalis,Arthropoda (non-insect),sp|Q9V427|INX2_DROME,Inx2,SF4_Inx2_expansion,353,0.5508
cur|Agelena_orientalis|OZ405006.1_106576794_106577825|p2,curator_new,Agelena_orientalis,Agelena orientalis,Arthropoda (non-insect),sp|Q9V427|INX2_DROME,Inx2,SF4_Inx2_expansion,344,0.4899
cur|Agelena_orientalis|OZ405006.1_297866838_297971678|p3,curator_new,Agelena_orientalis,Agelena orientalis,Arthropoda (non-insect),sp|P33085|SHAKB_DROME,shakB,SF1_shakB,353,0.5565
cur|Agelena_orientalis|OZ405006.1_111928554_111929630|p6,curator_new,Agelena_orientalis,Agelena orientalis,Arthropoda (non-insect),sp|P27716|INX1_DROME,Inx1/ogre,SF2_Inx1_ogre,359,0.4194
cur|Agelena_orientalis|OZ405001.1_267681632_267682690|p13,curator_new,Agelena_orientalis,Agelena orientalis,Arthropoda (non-insect),recovered_Acartia_tonsa_best,other/unknown,unassigned,353,0.4915
cur|Agelena_orientalis|OZ405001.1_268184608_268185666|p14,curator_new,Agelena_orientalis,Agelena orientalis,Arthropoda (non-insect),recovered_Acartia_tonsa_best,other/unknown,unassigned,353,0.4605
cur|Agelena_orientalis|OZ405001.1_268312122_268313180|p16,curator_new,Agelena_orientalis,Agelena orientalis,Arthropoda (non-insect),recovered_Aegaeobuthus_cyprius_best,other/unknown,unassigned,353,0.5989
cur|Agelena_orientalis|OZ405001.1_268229052_268230107|p17,curator_new,Agelena_orientalis,Agelena orientalis,Arthropoda (non-insect),recovered_Aegaeobuthus_cyprius_best,other/unknown,unassigned,352,0.5932
cur|Agelena_orientalis|OZ405001.1_268351784_268352848|p18,curator_new,Agelena_orientalis,Agelena orientalis,Arthropoda (non-insect),recovered_Aegaeobuthus_cyprius_best,other/unknown,unassigned,355,0.5
cur|Amaurobius_ferox|OX578135.1_22005959_22006999|p1,curator_new,Amaurobius_ferox,Amaurobius ferox,Arthropoda (non-insect),sp|Q9V427|INX2_DROME,Inx2,SF4_Inx2_expansion,347,0.4971
cur|Amaurobius_ferox|OX578143.1_93836975_93837997|p2,curator_new,Amaurobius_ferox,Amaurobius ferox,Arthropoda (non-insect),sp|Q9V427|INX2_DROME,Inx2,SF4_Inx2_expansion,341,0.4971
cur|Amaurobius_ferox|OX578135.1_22333051_22334109|p3,curator_new,Amaurobius_ferox,Amaurobius ferox,Arthropoda (non-insect),sp|P33085|SHAKB_DROME,shakB,SF1_shakB,353,0.6102
cur|Amaurobius_ferox|OX578143.1_20044333_20140154|p4,curator_new,Amaurobius_ferox,Amaurobius ferox,Arthropoda (non-insect),sp|P33085|SHAKB_DROME,shakB,SF1_shakB,353,0.5565
cur|Amaurobius_ferox|OX578135.1_22021857_22022915|p5,curator_new,Amaurobius_ferox,Amaurobius ferox,Arthropoda (non-insect),sp|P33085|SHAKB_DROME,shakB,SF1_shakB,353,0.4986
cur|Amaurobius_ferox|OX578143.1_91948787_91949863|p7,curator_new,Amaurobius_ferox,Amaurobius ferox,Arthropoda (non-insect),sp|P27716|INX1_DROME,Inx1/ogre,SF2_Inx1_ogre,359,0.4139
cur|Amaurobius_ferox|OX578144.1_139756876_139757760|p8,curator_new,Amaurobius_ferox,Amaurobius ferox,Arthropoda (non-insect),sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,295,0.28
cur|Amaurobius_ferox|OX578143.1_92003010_92004068|p14,curator_new,Amaurobius_ferox,Amaurobius ferox,Arthropoda (non-insect),recovered_Acartia_tonsa_best,other/unknown,unassigned,353,0.5169
cur|Amaurobius_ferox|OX578135.1_22068971_22070029|p16,curator_new,Amaurobius_ferox,Amaurobius ferox,Arthropoda (non-insect),recovered_Acartia_tonsa_best,other/unknown,unassigned,353,0.4887
cur|Amaurobius_ferox|OX578135.1_22040277_22041332|p21,curator_new,Amaurobius_ferox,Amaurobius ferox,Arthropoda (non-insect),recovered_Aegaeobuthus_cyprius_best,other/unknown,unassigned,352,0.5706
cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p1,curator_new,Brachionus_calyciflorus,Brachionus calyciflorus,Rotifera,sp|P33085|SHAKB_DROME,shakB,SF1_shakB,357,0.2761
cur|Brachionus_calyciflorus|NTPY01000529.1_56274_58710|p2,curator_new,Brachionus_calyciflorus,Brachionus calyciflorus,Rotifera,sp|Q9U3K5|INX2_CAEEL,inx-2 (Cele),SF3_Inx3_Inx7_nematode,406,0.2402
cur|Brachionus_calyciflorus|NTPY01000970.1_33584_34756|p3,curator_new,Brachionus_calyciflorus,Brachionus calyciflorus,Rotifera,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,391,0.3919
cur|Brachionus_calyciflorus|NTPY01000526.1_2301293_2302390|p4,curator_new,Brachionus_calyciflorus,Brachionus calyciflorus,Rotifera,sp|O01393|UNC9_CAEEL,unc-9,SF3_Inx3_Inx7_nematode,366,0.3995
