species,status,genome,prior_discovery,prior_accepted,miniprot_mrna_count,present_loci,fragmentary_loci,weak_loci,best_identity,best_aa,best_locus,locate_method,notes
Adineta_ricciae,searched,project/data/genomes/innexin_discovery/Adineta_ricciae/GCA_905250025.1_Ar_ARIC003_reference_genomic_v1_genomic.fna.decompressed.fna,not_run,,18,14,3,1,0.3603,408,CAJNOJ010000040.1:339890-341225,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=4/14; rescored_el_cys
Adineta_steineri,searched,project/data/genomes/innexin_discovery/Adineta_steineri/GCA_905250115.1_As_10x_pseudohap_genomic_v1_genomic.fna.decompressed.fna,not_run,,21,18,1,2,0.3235,438,CAJNOI010000031.1:717699-719128,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=5/18; rescored_el_cys
Adineta_vaga,searched,project/data/genomes/innexin_discovery/Adineta_vaga/GCA_021613535.1_ASM2161353v1_genomic.fna.decompressed.fna,accepted=2;candidates=8,2,17,13,2,2,0.3131,465,CP075495.1:2966282-2969516,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=5/13; rescored_el_cys
Aegaeobuthus_cyprius,searched,project/data/genomes/innexin_discovery/Aegaeobuthus_cyprius/GCA_978021275.1_qqAegCypr1.1_genomic.fna.decompressed.fna,accepted=1;candidates=1,1,21,12,1,8,0.4472,367,OZ392248.1:35997561-36014385,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=10/12; rescored_el_cys
Aelurillus_cypriotus,searched,project/data/genomes/innexin_discovery/Aelurillus_cypriotus/GCA_978018815.1_qqAelCypr9.1_genomic.fna.decompressed.fna,not_run,,60,11,0,2,0.4490,362,OZ390143.1:182108915-182109994,miniprot,present_loci floor; el_motif_pass_among_present=11/11; rescored_el_cys
Agelas_clathrodes,searched,project/data/genomes/innexin_discovery/Agelas_clathrodes/GCA_965279245.1_odAgeClat2.hap1.1_genomic.fna.decompressed.fna,not_run,,0,0,0,0,,,,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Agelas_conifera,searched,project/data/genomes/innexin_discovery/Agelas_conifera/GCA_965122385.1_odAgeConi1.hap1.1_genomic.fna.decompressed.fna,not_run,,0,0,0,0,,,,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Agelas_oroides,searched,project/data/genomes/innexin_discovery/Agelas_oroides/GCA_949130485.1_odAgeOroi1.1_genomic.fna.decompressed.fna,not_run,,2,0,0,0,,,,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Agelas_tubulata,searched,project/data/genomes/innexin_discovery/Agelas_tubulata/GCA_964245335.1_odAgeTubu1.1_genomic.fna.decompressed.fna,not_run,,0,0,0,0,,,,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Agelena_orientalis,searched,project/data/genomes/innexin_discovery/Agelena_orientalis/GCA_978045235.1_qqAgeOrie5.1_genomic.fna.decompressed.fna,not_run,,65,11,1,2,0.4545,362,OZ405001.1:268312101-268313180,miniprot,present_loci floor; el_motif_pass_among_present=10/11; rescored_el_cys
Amaurobius_ferox,searched,project/data/genomes/innexin_discovery/Amaurobius_ferox/GCA_951213105.1_qqAmaFero1.1_genomic.fna.decompressed.fna,not_run,,19,14,1,4,0.4382,370,OX578143.1:91805100-91806209,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=10/14; rescored_el_cys
Beroe_forskalii,searched,project/data/genomes/innexin_discovery/Beroe_forskalii/GCA_011033025.1_UCSC_Bfor_v1_genomic.fna.decompressed.fna,not_run,,0,0,0,0,,,,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Beroe_ovata,searched,project/data/genomes/innexin_discovery/Beroe_ovata/GCA_946803715.1_WHIT_BOVA_1.4_genomic.fna.decompressed.fna,not_run,,0,0,0,0,,,,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Brachionus_calyciflorus,searched,project/data/genomes/innexin_discovery/Brachionus_calyciflorus/GCA_002922825.1_Bc_v0.6_genomic.fna.decompressed.fna,not_run,,16,9,2,5,0.3285,414,NTPY01000483.1:809096-811261,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=6/9; rescored_el_cys
Brachionus_koreanus,searched,project/data/genomes/innexin_discovery/Brachionus_koreanus/GCA_016987375.1_Bk_v0.5.4_genomic.fna.decompressed.fna,not_run,,11,9,0,2,0.3221,414,PJRA01000498.1:613696-619973,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=5/9; rescored_el_cys
Brachionus_manjavacas,searched,project/data/genomes/innexin_discovery/Brachionus_manjavacas/GCA_019054805.1_ASM1905480v1_genomic.fna.decompressed.fna,accepted=0;candidates=1,0,9,5,0,4,0.3141,414,JAHQIY010000001.1:2975110-2979622,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=4/5; rescored_el_cys
Drosophila_melanogaster,searched,project/data/genomes/innexin_discovery/Drosophila_melanogaster/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.fna.decompressed.fna,not_run,,12,9,0,3,1.0000,481,NC_004354.4:20267981-20269500,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=0/9; rescored_el_cys
Dryodora_glandiformis,searched,project/data/genomes/innexin_discovery/Dryodora_glandiformis/GCA_031471255.1_ASM3147125v1_genomic.fna.decompressed.fna,accepted=1;candidates=1,1,33,10,5,18,0.3815,390,JAUELJ010278292.1:386-1618,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=4/10; rescored_el_cys
Ephydatia_muelleri,searched,project/data/genomes/innexin_discovery/Ephydatia_muelleri/GCA_049114765.1_crg_Emue_v2_genomic.fna.decompressed.fna,not_run,,0,0,0,0,,,,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Epiperipatus_broadwayi,searched,project/data/genomes/innexin_discovery/Epiperipatus_broadwayi/GCA_028023455.1_ASM2802345v1_genomic.fna.decompressed.fna,not_run,,0,0,0,0,,,,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Eriophyidae_sp.,searched,project/data/genomes/innexin_discovery/Eriophyidae_sp./GCA_045522265.1_Rarg_mite_v1.1_genomic.fna.decompressed.fna,accepted=1;candidates=1,1,12,8,1,3,0.3479,386,CP157589.1:12294067-12295224,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=6/8; rescored_el_cys
Euperipatoides_rowelli,searched,project/data/genomes/innexin_discovery/Euperipatoides_rowelli/GCA_003024985.2_Erow_1.0_genomic.fna.decompressed.fna,not_run,,1,0,0,1,0.6233,145,PXIH01S0042569.1:2699-3133,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Hormiphora_californensis,searched,project/data/genomes/innexin_discovery/Hormiphora_californensis/GCA_020137815.1_UCSC_Hcal_v1_genomic.fna.decompressed.fna,not_run,,0,0,0,0,,,,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Hypsibius_dujardini,searched,project/data/genomes/innexin_discovery/Hypsibius_dujardini/GCA_001579985.1_ASM157998v1_genomic.fna.decompressed.fna,not_run,,1,0,0,1,0.4645,155,LRSR01005694.1:33870-34334,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Hypsibius_exemplaris,searched,project/data/genomes/innexin_discovery/Hypsibius_exemplaris/GCA_002082055.1_nHd_3.1_genomic.fna.decompressed.fna,not_run,,1,0,0,1,0.4706,153,MTYJ01000015.1:414125-414583,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Lepidodermella_squamata,searched,project/data/genomes/innexin_discovery/Lepidodermella_squamata/GCA_047495785.1_ASM4749578v1_genomic.fna.decompressed.fna,not_run,,2,0,1,1,0.5294,183,JBLDXI010000033.1:1409302-1410086,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Mertensia_ovum,searched,project/data/genomes/innexin_discovery/Mertensia_ovum/GCA_965231305.1_jtMerOvum1.hap1.1_genomic.fna.decompressed.fna,not_run,,0,0,0,0,,,,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Mnemiopsis_leidyi,searched,project/data/genomes/innexin_discovery/Mnemiopsis_leidyi/GCA_048537945.1_crg_Mlei_v2_genomic.fna.decompressed.fna,accepted=1;candidates=1,1,0,0,0,0,,,,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Paragordius_varius,searched,project/data/genomes/innexin_discovery/Paragordius_varius/GCA_964276485.1_tfParVari5.hap2.1_genomic.fna.decompressed.fna,not_run,,2,0,0,2,0.5875,159,OZ193892.1:693181-693657,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Paramacrobiotus_metropolitanus,searched,project/data/genomes/innexin_discovery/Paramacrobiotus_metropolitanus/GCF_019649055.1_Prichtersi_v1.0_genomic.fna.decompressed.fna,not_run,,1,0,0,1,0.4641,153,NW_026570224.1:2937633-2938091,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Pleurobrachia_bachei,searched,project/data/genomes/innexin_discovery/Pleurobrachia_bachei/GCA_046161365.1_ASM4616136v1_genomic.fna.decompressed.fna,not_run,,0,0,0,0,,,,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Priapulus_caudatus,searched,project/data/genomes/innexin_discovery/Priapulus_caudatus/GCF_000485595.1_Priapulus_caudatus-5.0.1_genomic.fna.decompressed.fna,not_run,,1,0,0,1,0.5951,160,NW_014577081.1:711429-711908,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Ramazzottius_varieornatus,searched,project/data/genomes/innexin_discovery/Ramazzottius_varieornatus/GCA_001949185.1_Rvar_4.0_genomic.fna.decompressed.fna,not_run,,0,0,0,0,,,,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Rotaria_macrura,searched,project/data/genomes/innexin_discovery/Rotaria_macrura/GCA_900239685.1_nRc1.3.reference_genomic_genomic.fna.decompressed.fna,accepted=0;candidates=3,0,14,11,2,1,0.3483,402,OENT01000836.1:43614-44960,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=5/11; rescored_el_cys
Scolanthus_callimorphus,searched,project/data/genomes/innexin_discovery/Scolanthus_callimorphus/GCA_033964015.1_Scal100_genomic.fna.decompressed.fna,not_run,,1,0,0,1,0.3684,144,CM066925.1:18330271-18330702,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Seison_nebaliae,searched,project/data/genomes/innexin_discovery/Seison_nebaliae/GCA_023231475.1_GA2.2_genomic.fna.decompressed.fna,not_run,,0,0,0,0,,,,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Streblospio_benedicti,searched,project/data/genomes/innexin_discovery/Streblospio_benedicti/GCA_019095985.1_ASM1909598v1_genomic.fna.decompressed.fna,not_run,,20,15,1,4,0.3495,418,CM032660.1:38859763-38861016,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=12/15; rescored_el_cys
Trichoplax_adhaerens,searched,project/data/genomes/innexin_discovery/Trichoplax_adhaerens/GCF_000150275.1_v1.0_genomic.fna.decompressed.fna,not_run,,1,0,0,1,0.4634,164,NW_002060949.1:1131516-1132007,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Trichoplax_sp._H2,searched,project/data/genomes/innexin_discovery/Trichoplax_sp._H2/GCA_003344405.1_TrispH2_1.0_genomic.fna.decompressed.fna,not_run,,1,0,0,1,0.4634,164,NOWV01000010.1:602147-602638,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
Triops_cancriformis,searched,project/data/genomes/innexin_discovery/Triops_cancriformis/GCA_020615345.1_EvoH_TcaCAE_1.0_genomic.fna.decompressed.fna,not_run,,9,6,2,1,0.3150,372,JAHZNP010001042.1:6737-7852,tblastn-regions+miniprot,present_loci floor; el_motif_pass_among_present=4/6; rescored_el_cys
Tubiluchus_corallicola,searched,project/data/genomes/innexin_discovery/Tubiluchus_corallicola/GCA_030141605.1_ASM3014160v1_genomic.fna.decompressed.fna,not_run,,1,0,0,1,0.6644,144,JAQGDQ010000010.1:1183335-1183766,miniprot,present_loci floor; el_motif_pass_among_present=0/0; rescored_el_cys
