species,seqid,start,end,strand,identity,aa_length,cys,el1_cys,el2_cys,el_motif,tm_pred,target,product_exported
Abra_segmentum,OZ251777.1,53466327,53469935,+,0.3848,381,12,3,2,pass,4,sp|O01393|UNC9_CAEEL 1 375,yes
Abra_segmentum,OZ251784.1,30028846,30031445,-,0.3472,380,9,,,unresolved,3,sp|O01393|UNC9_CAEEL 13 386,yes
Abra_segmentum,OZ251784.1,30063378,30079973,+,0.2655,380,14,,,unresolved,0,sp|Q9V3W6|INX7_DROME 22 377,no
Abra_segmentum,OZ251784.1,30077409,30079973,+,0.2623,298,9,,,unresolved,0,sp|Q9V3W6|INX7_DROME 101 377,no
Abra_segmentum,OZ251786.1,2258616,2261215,-,0.3446,380,9,,,unresolved,3,sp|O01393|UNC9_CAEEL 13 386,yes
Abra_segmentum,OZ251786.1,2318982,2341555,+,0.2513,379,12,,,unresolved,0,sp|Q9V3W6|INX7_DROME 22 377,no
Abra_segmentum,OZ251786.1,2340159,2341555,+,0.2525,298,9,,,unresolved,0,sp|Q9V3W6|INX7_DROME 101 377,no
Acanthocardia_echinata,OZ377318.1,9903781,9904962,+,0.3645,394,7,2,2,pass,4,sp|Q03412|UNC7_CAEEL 130 522,yes
Acanthocardia_echinata,OZ377325.1,14826690,14837377,+,0.3747,376,14,3,4,pass,4,sp|Q03412|UNC7_CAEEL 138 508,yes
Acanthocardia_echinata,OZ377325.1,14834493,14837365,+,0.3627,372,14,3,4,pass,4,sp|O01393|UNC9_CAEEL 20 386,yes
Acanthocardia_echinata,OZ377326.1,20639903,20650875,-,0.3607,364,7,,,unresolved,0,sp|O01393|UNC9_CAEEL 20 379,no
Acanthocardia_echinata,OZ377327.1,20123227,20124345,-,0.3792,373,10,2,2,pass,4,sp|Q03412|UNC7_CAEEL 130 502,yes
Acanthocardia_echinata,OZ377328.1,2193928,2204892,+,0.4198,368,12,3,2,pass,4,sp|Q03412|UNC7_CAEEL 136 503,yes
Acanthocardia_echinata,OZ377328.1,2198420,2204892,+,0.4198,368,12,3,2,pass,4,sp|Q03412|UNC7_CAEEL 136 503,yes
Acanthocardia_echinata,OZ377328.1,2223730,2233660,-,0.4225,368,12,3,2,pass,4,sp|Q03412|UNC7_CAEEL 136 503,yes
Acanthocardia_echinata,OZ377328.1,2227630,2234742,-,0.2783,283,9,,,unresolved,3,sp|Q1DH70|SHAKB_AEDAE 1 275,yes
Acanthocardia_echinata,OZ377328.1,11251456,11255941,+,0.3497,386,8,3,2,pass,5,sp|O01393|UNC9_CAEEL 1 375,yes
Acanthocardia_echinata,OZ377328.1,11291981,11299363,+,0.3446,386,9,3,2,pass,4,sp|O01393|UNC9_CAEEL 1 375,yes
Acanthocardia_echinata,OZ377328.1,11295926,11299363,+,0.3446,386,9,3,2,pass,4,sp|O01393|UNC9_CAEEL 1 375,yes
Acanthocardia_echinata,OZ377328.1,11312790,11316365,+,0.3077,416,8,,,unresolved,0,sp|O01393|UNC9_CAEEL 20 386,no
Acanthocardia_echinata,OZ377328.1,18890070,18896392,-,0.3701,381,13,3,2,pass,4,sp|O01393|UNC9_CAEEL 13 386,yes
Acanthocardia_echinata,OZ377328.1,19071853,19073019,-,0.3873,389,11,2,2,pass,4,sp|Q03412|UNC7_CAEEL 119 501,yes
Acanthocardia_echinata,OZ377328.1,21312048,21325996,-,0.3688,382,9,2,2,pass,5,sp|O01393|UNC9_CAEEL 1 378,yes
Acanthocardia_echinata,OZ377328.1,21317282,21325990,-,0.3688,382,9,2,2,pass,5,sp|O01393|UNC9_CAEEL 1 378,yes
Acanthocardia_echinata,OZ377328.1,21343531,21348943,-,0.3805,380,12,2,2,pass,4,sp|Q03412|UNC7_CAEEL 139 522,yes
Acanthocardia_echinata,OZ377328.1,21360257,21387081,-,0.3687,377,13,2,2,pass,4,sp|O01393|UNC9_CAEEL 13 382,yes
Acanthocardia_echinata,OZ377328.1,21380391,21387081,-,0.3687,377,13,2,2,pass,4,sp|O01393|UNC9_CAEEL 13 382,yes
Acanthocardia_echinata,OZ377328.1,23300040,23303005,+,0.3649,364,8,3,2,pass,4,sp|Q03412|UNC7_CAEEL 138 503,yes
Acanthocardia_echinata,OZ377328.1,23337154,23339399,+,0.3974,373,11,3,2,pass,4,sp|Q03412|UNC7_CAEEL 129 502,yes
Acanthocardia_echinata,OZ377328.1,36090819,36094793,-,0.3812,381,11,,,unresolved,0,sp|O01393|UNC9_CAEEL 1 375,no
Acanthochitona_discrepans,CM108789.1,13572121,13573281,-,0.3864,387,11,3,2,pass,4,sp|Q03412|UNC7_CAEEL 115 501,yes
Acanthochitona_discrepans,CM108789.1,13636857,13637978,+,0.3757,374,5,,,unresolved,0,sp|Q03412|UNC7_CAEEL 129 503,no
Acanthochitona_discrepans,CM108789.1,13656279,13657391,-,0.3651,371,6,,,unresolved,0,sp|Q03412|UNC7_CAEEL 129 503,no
Acanthochitona_discrepans,CM108789.1,13668673,13669803,-,0.3616,365,5,2,2,pass,5,sp|O01393|UNC9_CAEEL 20 377,yes
Acanthochitona_discrepans,CM108789.1,13705717,13706817,-,0.3820,367,9,2,2,pass,4,sp|Q03412|UNC7_CAEEL 138 505,yes
Acanthochitona_discrepans,CM108789.1,17930749,17931891,+,0.4136,381,13,3,2,pass,4,sp|O01393|UNC9_CAEEL 1 375,yes
Acanthochitona_discrepans,JBLVQD010000009.1,6410484,6411644,+,0.2351,386,11,3,2,pass,4,sp|Q1DH70|SHAKB_AEDAE 1 359,yes
Acartia_tonsa,NC_137262.1,4137592,4169251,-,0.3937,285,4,,,unresolved,0,sp|Q9VAS7|INX3_DROME 58 337,no
Acartia_tonsa,NC_137263.1,17379775,17417008,-,0.4855,337,8,2,2,pass,4,sp|P27716|INX1_DROME 1 343,yes
Acartia_tonsa,NC_137263.1,17389124,17417008,-,0.4855,337,8,2,2,pass,4,sp|P27716|INX1_DROME 1 343,yes
Acartia_tonsa,NC_137263.1,17390806,17400115,-,0.4855,337,8,2,2,pass,4,sp|P27716|INX1_DROME 1 343,yes
Acartia_tonsa,NC_137263.1,17650614,17688963,-,0.6788,357,9,2,2,pass,4,sp|Q1DH70|SHAKB_AEDAE 1 356,yes
Acartia_tonsa,NC_137263.1,17671943,17688963,-,0.6947,356,9,2,2,pass,4,sp|P33085|SHAKB_DROME 1 357,yes
Acartia_tonsa,NC_137263.1,17675051,17679361,-,0.6947,356,9,2,2,pass,4,sp|P33085|SHAKB_DROME 1 357,yes
Acartia_tonsa,NC_137263.1,17686807,17688963,-,0.6947,356,9,2,2,pass,4,sp|P33085|SHAKB_DROME 1 357,yes
Acartia_tonsa,NC_137263.1,17867283,17905406,+,0.4463,362,13,2,2,pass,4,sp|P27716|INX1_DROME 1 362,yes
Acartia_tonsa,NC_137263.1,17878821,17905406,+,0.4463,362,13,2,2,pass,4,sp|P27716|INX1_DROME 1 362,yes
Acartia_tonsa,NC_137263.1,17897853,17905406,+,0.4463,362,13,2,2,pass,4,sp|P27716|INX1_DROME 1 362,yes
Acartia_tonsa,NC_137263.1,23536043,23536411,+,0.6826,355,6,2,2,pass,4,sp|P33085|SHAKB_DROME 1 356,yes
Acartia_tonsa,NC_137263.1,23585223,23593020,+,0.6826,355,6,2,2,pass,4,sp|P33085|SHAKB_DROME 1 356,yes
Acartia_tonsa,NC_137263.1,23613023,23627877,+,0.6462,359,10,3,2,pass,4,sp|Q9XYN1|INX2_SCHAM 1 359,yes
Acartia_tonsa,NC_137263.1,23619578,23627309,+,0.6431,353,10,3,2,pass,4,sp|Q9V427|INX2_DROME 1 353,yes
Acartia_tonsa,NC_137263.1,23622624,23627877,+,0.6462,359,10,3,2,pass,4,sp|Q9XYN1|INX2_SCHAM 1 359,yes
Acartia_tonsa,NC_137266.1,9565650,9582474,+,0.4744,343,10,,,unresolved,0,sp|Q9V427|INX2_DROME 1 351,no
Acartia_tonsa,NC_137266.1,9572915,9582477,+,0.4402,368,10,,,unresolved,0,sp|Q9XYN1|INX2_SCHAM 1 352,no
Acartia_tonsa,NC_137272.1,35579556,35589421,+,0.4759,351,9,,,unresolved,0,sp|Q9XYN1|INX2_SCHAM 1 349,no
Acartia_tonsa,NC_137274.1,20388411,20410159,+,0.6574,324,8,,,unresolved,3,sp|P33085|SHAKB_DROME 23 345,yes
Acartia_tonsa,NC_137274.1,20392426,20407875,+,0.6574,324,8,,,unresolved,3,sp|P33085|SHAKB_DROME 23 345,yes
Acartia_tonsa,NC_137274.1,20396518,20399567,+,0.6574,324,8,,,unresolved,3,sp|P33085|SHAKB_DROME 23 345,yes
Acartia_tonsa,NC_137274.1,22130533,22179726,-,0.4924,327,8,,,unresolved,3,sp|P27716|INX1_DROME 23 347,yes
Acartia_tonsa,NC_137274.1,22144102,22179741,-,0.6636,324,7,,,unresolved,3,sp|Q1DH70|SHAKB_AEDAE 23 345,yes
Acartia_tonsa,NC_137274.1,22149280,22180508,-,0.6636,324,7,,,unresolved,3,sp|Q1DH70|SHAKB_AEDAE 23 345,yes
Acartia_tonsa,NC_137274.1,22150130,22159878,-,0.6605,324,8,,,unresolved,3,sp|P33085|SHAKB_DROME 23 345,yes
Acartia_tonsa,NW_027649598.1,32260,61475,+,0.3844,310,4,,,unresolved,0,sp|Q1DH70|SHAKB_AEDAE 60 372,no
Adineta_ricciae,CAJNOJ010000006.1,265306,266692,-,0.3432,372,8,2,2,pass,4,sp|O01393|UNC9_CAEEL 20 369,yes
Adineta_ricciae,CAJNOJ010000007.1,297776,299163,-,0.3026,379,7,,,unresolved,0,sp|Q03412|UNC7_CAEEL 136 509,no
Adineta_ricciae,CAJNOJ010000009.1,407234,409084,-,0.3540,386,8,2,4,pass,5,sp|O01393|UNC9_CAEEL 1 375,yes
Adineta_ricciae,CAJNOJ010000020.1,237386,239068,-,0.3359,381,6,,,unresolved,0,sp|O01393|UNC9_CAEEL 20 386,no
Adineta_ricciae,CAJNOJ010000030.1,78506,80153,+,0.3557,387,8,2,4,pass,5,sp|O01393|UNC9_CAEEL 1 375,yes
Adineta_ricciae,CAJNOJ010000040.1,104137,105843,-,0.3606,391,9,,,unresolved,0,sp|O01393|UNC9_CAEEL 16 372,no
Adineta_ricciae,CAJNOJ010000040.1,339890,341225,-,0.3603,408,7,,,unresolved,0,sp|O01393|UNC9_CAEEL 1 382,no
Adineta_ricciae,CAJNOJ010000041.1,75273,76391,-,0.3250,373,11,,,unresolved,0,sp|Q03412|UNC7_CAEEL 115 510,no
Adineta_ricciae,CAJNOJ010000043.1,384163,385557,+,0.3342,376,9,2,2,pass,4,sp|Q03412|UNC7_CAEEL 136 497,yes
Adineta_ricciae,CAJNOJ010000079.1,282569,284508,-,0.3820,367,8,,,unresolved,0,sp|Q03412|UNC7_CAEEL 136 506,no
Adineta_ricciae,CAJNOJ010000126.1,99562,100799,-,0.3711,379,8,,,unresolved,0,sp|O01393|UNC9_CAEEL 20 376,no
Adineta_ricciae,CAJNOJ010000169.1,98836,100021,+,0.3453,361,10,,,unresolved,0,sp|O01393|UNC9_CAEEL 20 372,no
Adineta_ricciae,CAJNOJ010000207.1,139589,140774,+,0.3425,361,10,,,unresolved,0,sp|O01393|UNC9_CAEEL 20 372,no
Adineta_ricciae,CAJNOJ010000539.1,34731,35846,-,0.7819,371,6,,,unresolved,1,candidate_inx_028 1 376,yes
Adineta_steineri,CAJNOI010000003.1,1231433,1232658,-,0.3456,366,8,,,unresolved,0,sp|O01393|UNC9_CAEEL 20 386,no
Adineta_steineri,CAJNOI010000009.1,556245,558144,+,0.3636,373,9,2,4,pass,5,sp|O01393|UNC9_CAEEL 12 375,yes
Adineta_steineri,CAJNOI010000010.1,1023462,1025208,-,0.3828,384,9,,,unresolved,0,sp|O01393|UNC9_CAEEL 1 372,no
Adineta_steineri,CAJNOI010000016.1,537752,542703,-,0.3148,363,10,2,2,pass,5,sp|O01393|UNC9_CAEEL 12 386,yes
Adineta_steineri,CAJNOI010000022.1,70990,72234,+,0.3639,378,8,,,unresolved,0,sp|Q03412|UNC7_CAEEL 138 504,no
Adineta_steineri,CAJNOI010000022.1,427342,430089,+,0.3928,387,9,,,unresolved,0,sp|O01393|UNC9_CAEEL 1 375,no
Adineta_steineri,CAJNOI010000031.1,518472,519599,-,0.7261,376,7,,,unresolved,0,candidate_inx_028 1 376,yes
Adineta_steineri,CAJNOI010000031.1,717699,719128,+,0.3235,438,7,,,unresolved,0,sp|O01393|UNC9_CAEEL 1 376,no
Adineta_steineri,CAJNOI010000037.1,445450,446635,-,0.3181,369,11,,,unresolved,0,sp|O01393|UNC9_CAEEL 10 372,no
Adineta_steineri,CAJNOI010000040.1,242642,244045,+,0.3395,372,9,2,2,pass,4,sp|Q03412|UNC7_CAEEL 136 493,yes
Adineta_steineri,CAJNOI010000060.1,25920,27929,+,0.3622,365,8,2,4,pass,5,sp|Q03412|UNC7_CAEEL 138 501,yes
Adineta_steineri,CAJNOI010000060.1,72261,74268,+,0.3622,365,8,2,4,pass,5,sp|Q03412|UNC7_CAEEL 138 501,yes
Adineta_steineri,CAJNOI010000073.1,423393,424864,+,0.3627,281,8,,,unresolved,3,sp|Q03412|UNC7_CAEEL 136 405,yes
Adineta_steineri,CAJNOI010000075.1,387229,388356,+,0.7287,376,7,,,unresolved,0,candidate_inx_028 1 376,yes
Adineta_steineri,CAJNOI010000088.1,41414,45420,-,0.3351,385,11,,,unresolved,0,sp|Q03412|UNC7_CAEEL 136 498,no
Adineta_steineri,CAJNOI010000515.1,32484,36542,-,0.3367,398,11,,,unresolved,0,sp|O01393|UNC9_CAEEL 8 375,no
Adineta_steineri,CAJNOI010000719.1,9542,10669,-,0.7287,376,7,,,unresolved,0,candidate_inx_028 1 376,yes
Adineta_steineri,CAJNOI010004743.1,2258,3443,-,0.3181,369,11,,,unresolved,0,sp|O01393|UNC9_CAEEL 10 372,no
Adineta_vaga,CP075492.1,7346414,7348389,-,0.4070,371,8,,,unresolved,0,sp|O01393|UNC9_CAEEL 16 375,no
Adineta_vaga,CP075492.1,7594378,7595697,-,0.3731,401,8,,,unresolved,0,sp|O01393|UNC9_CAEEL 1 376,no
Adineta_vaga,CP075494.1,663807,664934,+,0.8450,376,8,,,unresolved,1,candidate_inx_028 1 376,yes
Adineta_vaga,CP075494.1,9868306,9869674,+,0.3263,372,9,2,2,pass,4,sp|Q03412|UNC7_CAEEL 136 493,yes
Adineta_vaga,CP075494.1,12488368,12495862,-,0.2657,378,8,2,4,pass,5,sp|Q1DH70|SHAKB_AEDAE 18 372,yes
Adineta_vaga,CP075494.1,12494283,12495925,-,0.3531,387,8,2,4,pass,5,sp|O01393|UNC9_CAEEL 1 375,yes
Adineta_vaga,CP075494.1,16742444,16743574,+,1.0000,376,6,,,unresolved,2,candidate_inx_028 1 376,yes
Adineta_vaga,CP075495.1,2966282,2969516,+,0.3131,465,10,2,2,pass,5,sp|Q03412|UNC7_CAEEL 1 510,yes
Adineta_vaga,CP075495.1,6438920,6440399,-,0.2974,379,6,,,unresolved,0,sp|Q03412|UNC7_CAEEL 136 509,no
Adineta_vaga,CP075495.1,8707181,8708623,-,0.3396,372,9,2,2,pass,4,sp|Q03412|UNC7_CAEEL 136 493,yes
Adineta_vaga,CP075497.1,6390928,6392144,+,0.3297,362,10,,,unresolved,0,sp|O01393|UNC9_CAEEL 20 373,no
Adineta_vaga,CP075497.1,8878933,8880229,+,0.3625,400,7,,,unresolved,0,sp|O01393|UNC9_CAEEL 1 377,no
Adineta_vaga,CP075497.1,9105282,9106983,+,0.3708,391,10,,,unresolved,0,sp|O01393|UNC9_CAEEL 16 372,no
Aegaeobuthus_cyprius,OZ392242.1,38970484,38971569,+,0.5294,356,8,2,2,pass,4,sp|Q9V427|INX2_DROME 1 355,yes
Aegaeobuthus_cyprius,OZ392242.1,38977305,38978381,+,0.4972,359,8,2,2,pass,4,sp|Q9XYN1|INX2_SCHAM 1 359,yes
Aegaeobuthus_cyprius,OZ392242.1,38980248,38987768,+,0.5580,361,11,3,3,pass,4,sp|Q9XYN1|INX2_SCHAM 1 359,yes
Aegaeobuthus_cyprius,OZ392242.1,38986725,38987807,+,0.4408,361,8,2,2,pass,4,sp|P27716|INX1_DROME 1 362,yes
Aegaeobuthus_cyprius,OZ392242.1,38998061,38999146,+,0.5580,361,11,3,3,pass,4,sp|Q9XYN1|INX2_SCHAM 1 359,yes
Aegaeobuthus_cyprius,OZ392243.1,107937549,107938616,-,0.4566,356,10,,,unresolved,0,sp|P33085|SHAKB_DROME 1 354,no
Aegaeobuthus_cyprius,OZ392248.1,35911535,35912611,+,0.5194,356,8,2,2,pass,4,sp|Q9XYN1|INX2_SCHAM 1 359,yes
Aegaeobuthus_cyprius,OZ392248.1,35924537,35925625,+,0.4408,363,11,,,unresolved,0,sp|Q9XYN1|INX2_SCHAM 1 359,no
Aegaeobuthus_cyprius,OZ392248.1,35985027,35986109,+,0.5452,354,9,2,2,pass,4,sp|Q9V427|INX2_DROME 1 353,yes
Aegaeobuthus_cyprius,OZ392248.1,35997561,36014385,+,0.4472,367,10,2,2,pass,4,sp|P33085|SHAKB_DROME 1 354,yes
Aegaeobuthus_cyprius,OZ392248.1,36013333,36014412,+,0.4472,367,10,2,2,pass,4,sp|P33085|SHAKB_DROME 1 354,yes
Aegaeobuthus_cyprius,OZ392248.1,36016432,36017520,-,0.4847,358,8,3,2,pass,5,sp|Q9XYN1|INX2_SCHAM 1 356,yes
Aelurillus_cypriotus,OZ390143.1,182374130,182375188,-,0.4724,361,8,3,2,pass,5,sp|P27716|INX1_DROME 1 361,yes
Aelurillus_cypriotus,OZ390143.1,182108915,182109994,+,0.4490,362,11,2,2,pass,5,sp|P27716|INX1_DROME 1 362,yes
Aelurillus_cypriotus,OZ390146.1,38212551,38213627,-,0.4083,359,6,2,2,pass,4,sp|P27716|INX1_DROME 1 359,yes
Aelurillus_cypriotus,OZ390146.1,38046229,38047305,-,0.4475,361,9,2,2,pass,4,sp|P27716|INX1_DROME 1 361,yes
Aelurillus_cypriotus,OZ390140.1,313071841,313072917,-,0.4077,362,7,2,2,pass,4,sp|P27716|INX1_DROME 1 362,yes
Aelurillus_cypriotus,OZ390143.1,182084363,182085409,+,0.4136,351,12,2,2,pass,4,sp|P27716|INX1_DROME 4 354,yes
Aelurillus_cypriotus,OZ390143.1,182139075,182140127,+,0.4605,351,11,2,2,pass,4,sp|P33085|SHAKB_DROME 1 353,yes
Aelurillus_cypriotus,OZ390146.1,122266154,122267227,+,0.4596,358,10,2,2,pass,4,sp|Q9V427|INX2_DROME 7 364,yes
Aelurillus_cypriotus,OZ390143.1,182250197,182251189,-,0.4187,331,7,2,2,pass,4,sp|Q9VAS7|INX3_DROME 25 355,yes
Aelurillus_cypriotus,OZ390143.1,182176806,182177798,-,0.4066,331,8,2,2,pass,4,sp|Q9VAS7|INX3_DROME 24 354,yes
Aelurillus_cypriotus,OZ390146.1,38499687,38500751,-,0.3191,355,9,2,2,pass,4,sp|Q9VR82|INX6_DROME 1 391,yes
Agelena_orientalis,OZ405001.1,268312101,268313180,-,0.4545,362,9,2,2,pass,5,sp|P27716|INX1_DROME 1 362,yes
Agelena_orientalis,OZ405006.1,111928554,111929630,-,0.4194,359,7,2,2,pass,4,sp|P27716|INX1_DROME 1 359,yes
Agelena_orientalis,OZ405006.1,297866838,297971678,+,0.4605,353,9,3,2,pass,5,sp|P27716|INX1_DROME 1 353,yes
Agelena_orientalis,OZ405006.1,111738241,111739299,-,0.5508,353,8,,,unresolved,3,sp|Q9V427|INX2_DROME 1 353,yes
Agelena_orientalis,OZ405001.1,268184608,268185672,+,0.4187,362,8,2,2,pass,4,sp|P27716|INX1_DROME 1 362,yes
Agelena_orientalis,OZ405001.1,268351790,268352827,-,0.4843,347,13,2,2,pass,4,sp|Q9V427|INX2_DROME 6 352,yes
Agelena_orientalis,OZ405006.1,106576794,106577825,-,0.4899,344,10,2,2,pass,4,sp|Q9V427|INX2_DROME 9 352,yes
Agelena_orientalis,OZ405001.1,268012962,268013954,+,0.4157,331,8,2,2,pass,4,sp|Q9VAS7|INX3_DROME 25 355,yes
Agelena_orientalis,OZ405001.1,268229037,268230092,-,0.4113,352,12,2,2,pass,4,sp|Q9VAS7|INX3_DROME 12 364,yes
Agelena_orientalis,OZ405001.1,268249448,268250470,-,0.3478,341,9,2,2,pass,5,sp|Q9VRX6|INX4_DROME 8 350,yes
Agelena_orientalis,OZ405006.1,112308435,112309481,-,0.3213,349,10,2,2,pass,4,sp|Q9VRX6|INX4_DROME 1 354,yes
Amaurobius_ferox,OX578135.1,22005959,22007020,+,0.4873,354,11,2,2,pass,4,sp|Q9XYN1|INX2_SCHAM 6 359,yes
Amaurobius_ferox,OX578135.1,22021857,22022957,+,0.5734,367,11,2,2,pass,5,sp|Q9V427|INX2_DROME 1 367,yes
Amaurobius_ferox,OX578135.1,22040277,22041353,+,0.5706,352,10,2,2,pass,5,recovered_Aegaeobuthus_cyprius_best 1 354,yes
Amaurobius_ferox,OX578135.1,22068950,22070029,-,0.5253,355,9,2,2,pass,4,sp|Q9V427|INX2_DROME 1 355,yes
Amaurobius_ferox,OX578135.1,22157486,22158565,-,0.4890,360,9,,,unresolved,0,sp|Q1DH70|SHAKB_AEDAE 1 361,no
Amaurobius_ferox,OX578136.1,50015264,50020249,+,0.4034,355,10,,,unresolved,0,sp|P33085|SHAKB_DROME 1 357,no
Amaurobius_ferox,OX578143.1,20044306,20045142,-,0.5000,361,8,3,2,pass,5,sp|Q9XYN1|INX2_SCHAM 1 359,yes
Amaurobius_ferox,OX578143.1,91805100,91806209,+,0.4382,370,12,,,unresolved,0,sp|P33085|SHAKB_DROME 1 372,no
Amaurobius_ferox,OX578143.1,91948787,91949866,+,0.4139,359,6,2,2,pass,4,sp|P27716|INX1_DROME 1 359,yes
Amaurobius_ferox,OX578143.1,92003010,92004098,+,0.2668,360,8,2,2,pass,4,recovered_Abra_segmentum_best 1 368,yes
Amaurobius_ferox,OX578143.1,93836960,93838057,+,0.4971,341,10,2,2,pass,4,sp|Q9V427|INX2_DROME 9 349,yes
Amaurobius_ferox,OX578144.1,139714184,139715248,+,0.2769,295,6,2,3,pass,4,sp|O01393|UNC9_CAEEL 1 303,yes
Amaurobius_ferox,OX578144.1,139756900,139757964,+,0.2800,295,6,2,3,pass,4,sp|O01393|UNC9_CAEEL 1 303,yes
Amaurobius_ferox,OX578144.1,139763882,139764937,+,0.4183,352,6,,,unresolved,0,sp|Q9XYN1|INX2_SCHAM 1 359,no
Brachionus_calyciflorus,NTPY01000275.1,474586,476889,+,0.3369,371,7,,,unresolved,0,sp|Q03412|UNC7_CAEEL 138 506,no
Brachionus_calyciflorus,NTPY01000275.1,566644,568817,+,0.3350,393,15,2,2,pass,5,sp|Q03412|UNC7_CAEEL 136 507,yes
Brachionus_calyciflorus,NTPY01000330.1,409940,411611,-,0.2761,357,5,2,2,pass,4,sp|P33085|SHAKB_DROME 8 358,yes
Brachionus_calyciflorus,NTPY01000483.1,809096,811261,-,0.3285,414,9,2,2,pass,4,sp|Q03412|UNC7_CAEEL 136 522,yes
Brachionus_calyciflorus,NTPY01000526.1,2301293,2302390,-,0.3995,366,10,2,2,pass,4,sp|O01393|UNC9_CAEEL 20 375,yes
Brachionus_calyciflorus,NTPY01000529.1,56274,58710,+,0.2402,406,8,2,2,pass,5,sp|Q9U3K5|INX2_CAEEL 31 381,yes
Brachionus_calyciflorus,NTPY01000672.1,914866,917897,-,0.3417,391,9,,,unresolved,0,sp|O01393|UNC9_CAEEL 4 386,no
Brachionus_calyciflorus,NTPY01000672.1,2509135,2510860,+,0.2628,315,7,,,unresolved,0,sp|Q1DH70|SHAKB_AEDAE 1 292,no
Brachionus_calyciflorus,NTPY01000970.1,33584,34756,-,0.3919,391,14,2,2,pass,4,sp|O01393|UNC9_CAEEL 20 380,yes
Brachionus_koreanus,PJRA01000196.1,402296,406389,+,0.2423,387,8,2,2,pass,5,sp|Q9U3K5|INX2_CAEEL 28 361,yes
Brachionus_koreanus,PJRA01000263.1,5378394,5381126,+,0.2604,390,6,2,2,pass,4,sp|P33085|SHAKB_DROME 8 358,yes
Brachionus_koreanus,PJRA01000313.1,1067833,1070146,+,0.3667,409,6,,,unresolved,0,sp|O01393|UNC9_CAEEL 1 375,no
Brachionus_koreanus,PJRA01000313.1,1580946,1583252,-,0.3708,375,5,,,unresolved,0,sp|O01393|UNC9_CAEEL 1 375,no
Brachionus_koreanus,PJRA01000389.1,11013,14791,+,0.3383,392,14,2,2,pass,5,sp|Q03412|UNC7_CAEEL 136 507,yes
Brachionus_koreanus,PJRA01000498.1,613696,619973,-,0.3221,414,10,,,unresolved,0,sp|O01393|UNC9_CAEEL 1 386,no
