query,target,pident,alnlen,evalue,bits
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Streblospio_benedicti|CM032663.1_21744357_21747197|p5,24.1,132,1.506e-06,44.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Acanthocardia_echinata|OZ377328.1_18890103_18896398|p8,27.8,102,1.987e-06,44.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Acanthocardia_echinata|OZ377328.1_21360257_21387081|p2,27.8,102,1.987e-06,44.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Acanthocardia_echinata|OZ377328.1_21341102_21387057|p11,27.8,102,1.987e-06,44.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Streblospio_benedicti|CM032661.1_36454555_36461623|p1,27.1,104,3.455e-06,43.0
panx|Bos_taurus|PANX2|A0A4W2C073,Caenorhabditis_elegans,30.5,86,3.455e-06,43.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Abra_alba|OZ409525.1_26978116_27031527|p5,27.0,104,4.556e-06,43.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Acanthocardia_echinata|OZ377328.1_23337154_23339399|p9,24.0,128,4.556e-06,43.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Acanthocardia_echinata|OZ377328.1_11291981_11299363|p5,27.0,104,4.556e-06,43.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Acanthocardia_echinata|OZ377328.1_21312057_21325945|p10,27.1,101,7.921e-06,42.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Acanthocardia_echinata|OZ377325.1_14826690_14837377|p14,24.4,122,7.921e-06,42.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Streblospio_benedicti|CM032663.1_51675706_51690919|p8,27.2,99,1.045e-05,42.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Abra_alba|OZ409525.1_53154133_53163052|p4,26.6,102,1.377e-05,41.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Abra_segmentum|OZ251777.1_14113510_14127320|p6,26.6,102,1.377e-05,41.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Abra_alba|OZ409525.1_18330358_18348899|p2,26.0,105,1.816e-05,41.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Abra_segmentum|OZ251777.1_53450550_53469929|p1,26.0,105,1.816e-05,41.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Abra_segmentum|OZ251777.1_10571949_10575809|p3,24.3,119,1.816e-05,41.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p7,26.9,98,2.395e-05,40.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p1,26.9,98,2.395e-05,40.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Acanthocardia_echinata|OZ377328.1_23300040_23302999|p3,25.7,104,4.164e-05,40.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Acanthochitona_discrepans|JBLVQD010000009.1_6410532_6411647|p4,22.0,139,4.164e-05,40.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1,25.3,104,7.239e-05,39.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Streblospio_benedicti|CM032660.1_56259174_56277458|p3,26.0,98,9.545e-05,38.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Acanthocardia_echinata|OZ377328.1_2223730_2233660|p6,25.5,102,9.545e-05,38.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Abra_alba|OZ409525.1_26983439_26985168|p1,26.2,95,0.000166,38.0
panx|Bos_taurus|PANX2|A0A4W2C073,cur|Streblospio_benedicti|CM032666.1_10353645_10358349|p7,27.3,88,0.000166,38.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Streblospio_benedicti|CM032660.1_38866392_38867486|p10,28.5,107,5.787e-08,48.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Acanthocardia_echinata|OZ377328.1_2223730_2233660|p6,29.6,100,7.659e-08,48.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Abra_segmentum|OZ251777.1_14113510_14127320|p6,29.1,100,1.776e-07,46.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Streblospio_benedicti|CM032660.1_38854181_38855281|p9,28.2,104,2.35e-07,46.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Adineta_ricciae|CAJNOJ010000009.1_407234_409021|p3,28.4,102,3.109e-07,46.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Adineta_ricciae|CAJNOJ010000030.1_78572_80153|p4,28.4,102,3.109e-07,46.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Adineta_vaga|CP075494.1_12494283_12495859|p4,28.4,102,3.109e-07,46.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Adineta_steineri|CAJNOI010000009.1_556245_558144|p4,28.2,102,4.114e-07,45.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Streblospio_benedicti|CM032660.1_38859841_38860992|p4,27.9,104,4.114e-07,45.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Rotaria_macrura|OENT01000045.1_119094_122499|p2,28.8,99,4.114e-07,45.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Brachionus_calyciflorus|NTPY01000526.1_2301293_2302390|p4,23.3,142,5.444e-07,45.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Abra_alba|OZ409525.1_53154133_53163052|p4,28.3,100,7.203e-07,44.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Acanthochitona_discrepans|JBLVQD010000009.1_6410532_6411647|p4,28.3,100,7.203e-07,44.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Rotaria_macrura|OENT01000325.1_81075_83639|p1,28.4,99,7.203e-07,44.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Acanthocardia_echinata|OZ377328.1_11291981_11299363|p5,29.8,89,1.668e-06,43.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Abra_segmentum|OZ251777.1_32509668_32513297|p8,25.8,111,2.919e-06,42.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Streblospio_benedicti|CM032661.1_36454555_36461623|p1,26.8,103,3.861e-06,42.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Adineta_vaga|CP075494.1_12488368_12495862|p6,26.5,105,3.861e-06,42.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Brachionus_koreanus|PJRA01000555.1_1340882_1341979|p2,21.5,154,5.108e-06,42.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Acanthocardia_echinata|OZ377328.1_11251456_11255941|p4,29.0,89,5.108e-06,42.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Streblospio_benedicti|CM032666.1_530575_537250|p2,26.7,100,8.936e-06,41.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Brachionus_manjavacas|JAHQIY010000020.1_863382_864479|p2,22.0,142,1.182e-05,40.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Abra_alba|OZ409525.1_18330358_18348899|p2,30.0,81,1.563e-05,40.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Abra_segmentum|OZ251777.1_53450550_53469929|p1,30.0,81,1.563e-05,40.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Abra_segmentum|OZ251777.1_10571949_10575809|p3,26.1,101,2.067e-05,40.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Brachionus_calyciflorus|NTPY01000970.1_33584_34756|p3,23.5,122,2.067e-05,40.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Acanthochitona_discrepans|CM108789.1_17930773_17931897|p3,24.6,111,2.734e-05,39.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p7,25.7,100,4.781e-05,38.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p1,25.7,100,4.781e-05,38.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Streblospio_benedicti|CM032663.1_21744357_21747197|p5,24.7,108,4.781e-05,38.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Streblospio_benedicti|CM032666.1_10353645_10358349|p7,25.7,99,6.322e-05,38.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Acanthocardia_echinata|OZ377328.1_23337154_23339399|p9,27.2,88,0.0001105,37.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Brachionus_manjavacas|JAHQIY010000004.1_8292265_8293444|p4,22.3,124,0.0001932,36.0
panx|Bos_taurus|PANX3|A0A4W2GW69,cur|Acanthochitona_discrepans|CM108789.1_13668655_13669749|p2,25.7,91,0.0004465,35.0
panx|Homo_sapiens|PANX1|Q96RD7,cur|Adineta_steineri|CAJNOI010000009.1_556245_558144|p4,22.3,146,3.302e-06,42.0
panx|Homo_sapiens|PANX1|Q96RD7,cur|Adineta_ricciae|CAJNOJ010000009.1_407234_409021|p3,29.3,88,5.77e-06,42.0
panx|Homo_sapiens|PANX1|Q96RD7,cur|Adineta_ricciae|CAJNOJ010000030.1_78572_80153|p4,29.3,88,5.77e-06,42.0
panx|Homo_sapiens|PANX1|Q96RD7,cur|Adineta_vaga|CP075494.1_12494283_12495859|p4,29.3,88,5.77e-06,42.0
panx|Homo_sapiens|PANX1|Q96RD7,cur|Rotaria_macrura|OENT01000045.1_119094_122499|p2,29.3,88,5.77e-06,42.0
panx|Homo_sapiens|PANX1|Q96RD7,cur|Rotaria_macrura|OENT01000325.1_81075_83639|p1,29.3,88,5.77e-06,42.0
panx|Homo_sapiens|PANX1|Q96RD7,cur|Adineta_vaga|CP075494.1_12488368_12495862|p6,28.1,91,1.332e-05,40.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Adineta_steineri|CAJNOI010000009.1_556245_558144|p4,26.5,117,2.038e-07,46.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Adineta_ricciae|CAJNOJ010000009.1_407234_409021|p3,26.3,117,2.695e-07,46.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Adineta_ricciae|CAJNOJ010000030.1_78572_80153|p4,31.2,88,3.564e-07,46.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Adineta_vaga|CP075494.1_12494283_12495859|p4,31.2,88,3.564e-07,46.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Rotaria_macrura|OENT01000045.1_119094_122499|p2,31.2,88,3.564e-07,46.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Rotaria_macrura|OENT01000325.1_81075_83639|p1,31.2,88,3.564e-07,46.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Streblospio_benedicti|CM032663.1_51675706_51690919|p8,30.6,88,8.236e-07,44.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Adineta_vaga|CP075494.1_12488368_12495862|p6,29.6,91,1.439e-06,44.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Acanthochitona_discrepans|JBLVQD010000009.1_6410532_6411647|p4,22.7,143,2.515e-06,43.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p7,27.9,93,1.015e-05,41.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p1,26.4,102,1.015e-05,41.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Acanthocardia_echinata|OZ377328.1_2223730_2233660|p6,22.0,143,1.341e-05,40.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Abra_alba|OZ409525.1_53154133_53163052|p4,21.7,143,2.343e-05,40.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Brachionus_manjavacas|JAHQIY010000004.1_8292265_8293444|p4,28.3,87,3.096e-05,39.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Abra_segmentum|OZ251777.1_14113510_14127320|p6,21.2,143,9.441e-05,38.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Acanthocardia_echinata|OZ377328.1_11291981_11299363|p5,26.6,89,0.0002178,36.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Acanthocardia_echinata|OZ377328.1_11251456_11255941|p4,26.2,89,0.0003803,36.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Abra_segmentum|OZ251784.1_30028846_30031445|p4,27.3,81,0.0006638,35.0
panx|Xenopus_tropicalis|panx1|B3DLA5,cur|Abra_segmentum|OZ251786.1_2258616_2261215|p5,27.3,81,0.0006638,35.0
panx|Lepisosteus_oculatus|PANX|W5NEM0,cur|Acanthochitona_discrepans|CM108789.1_13668655_13669749|p2,29.1,100,3.689e-07,46.0
panx|Lepisosteus_oculatus|PANX|W5NEM0,cur|Acanthocardia_echinata|OZ377328.1_18890103_18896398|p8,26.6,113,8.464e-07,45.0
panx|Lepisosteus_oculatus|PANX|W5NEM0,cur|Acanthocardia_echinata|OZ377328.1_21360257_21387081|p2,27.6,100,4.453e-06,43.0
panx|Lepisosteus_oculatus|PANX|W5NEM0,cur|Acanthocardia_echinata|OZ377328.1_21341102_21387057|p11,27.6,100,4.453e-06,43.0
panx|Lepisosteus_oculatus|PANX|W5NEM0,cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9,27.1,102,5.872e-06,42.0
panx|Lepisosteus_oculatus|PANX|W5NEM0,cur|Abra_alba|OZ409525.1_26978116_27031527|p5,26.8,104,5.872e-06,42.0
panx|Lepisosteus_oculatus|PANX|W5NEM0,cur|Abra_segmentum|OZ251777.1_37619854_37628968|p2,27.1,102,5.872e-06,42.0
panx|Lepisosteus_oculatus|PANX|W5NEM0,cur|Acanthocardia_echinata|OZ377328.1_23337154_23339399|p9,23.5,128,1.347e-05,41.0
panx|Lepisosteus_oculatus|PANX|W5NEM0,cur|Abra_alba|OZ409525.1_27026774_27031521|p3,26.4,102,1.776e-05,41.0
panx|Lepisosteus_oculatus|PANX|W5NEM0,cur|Acanthocardia_echinata|OZ377328.1_21312057_21325945|p10,27.6,93,3.088e-05,40.0
panx|Lepisosteus_oculatus|PANX|W5NEM0,cur|Abra_segmentum|OZ251784.1_30028846_30031445|p4,22.1,133,9.337e-05,38.0
panx|Lepisosteus_oculatus|PANX|W5NEM0,cur|Abra_segmentum|OZ251786.1_2258616_2261215|p5,21.5,133,0.0003722,36.0
panx|Lepisosteus_oculatus|PANX|W5NEM0,cur|Abra_alba|OZ409527.1_48105670_48111459|p8,21.5,133,0.0003722,36.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Streblospio_benedicti|CM032660.1_38859841_38860992|p4,30.8,105,4.589e-09,53.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Acanthochitona_discrepans|CM108789.1_13668655_13669749|p2,31.4,100,7.983e-09,52.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Adineta_steineri|CAJNOI010000009.1_556245_558144|p4,30.7,104,7.983e-09,52.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Streblospio_benedicti|CM032660.1_38854181_38855281|p9,30.3,105,1.053e-08,51.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Adineta_ricciae|CAJNOJ010000009.1_407234_409021|p3,30.3,104,1.389e-08,51.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Adineta_ricciae|CAJNOJ010000030.1_78572_80153|p4,30.3,104,1.389e-08,51.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Adineta_vaga|CP075494.1_12494283_12495859|p4,30.3,104,1.389e-08,51.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Abra_alba|OZ409525.1_47319987_47324644|p7,29.5,106,3.185e-08,50.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Acanthocardia_echinata|OZ377328.1_18890103_18896398|p8,30.1,102,4.201e-08,49.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Abra_segmentum|OZ251777.1_32509668_32513297|p8,29.3,106,4.201e-08,49.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Acanthocardia_echinata|OZ377328.1_11251456_11255941|p4,26.0,130,4.201e-08,49.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Rotaria_macrura|OENT01000045.1_119094_122499|p2,29.7,104,4.201e-08,49.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Rotaria_macrura|OENT01000325.1_81075_83639|p1,30.3,100,5.54e-08,49.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Abra_alba|OZ409525.1_26978116_27031527|p5,29.2,104,9.635e-08,48.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Brachionus_koreanus|PJRA01000263.1_5378433_5381126|p5,27.1,118,9.635e-08,48.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Brachionus_manjavacas|JAHQIY010000004.1_8292265_8293444|p4,26.9,118,1.271e-07,48.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Streblospio_benedicti|CM032660.1_38866392_38867486|p10,28.9,105,1.271e-07,48.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Abra_segmentum|OZ251777.1_37626866_37628412|p9,29.2,102,1.676e-07,48.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Abra_segmentum|OZ251777.1_37619854_37628968|p2,29.2,102,1.676e-07,48.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Acanthocardia_echinata|OZ377328.1_21312057_21325945|p10,29.1,101,2.914e-07,47.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Streblospio_benedicti|CM032660.1_13839080_13840183|p6,29.6,98,2.914e-07,47.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Acanthocardia_echinata|OZ377328.1_21360257_21387081|p2,28.9,102,2.914e-07,47.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Acanthocardia_echinata|OZ377328.1_21341102_21387057|p11,28.9,102,2.914e-07,47.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Brachionus_calyciflorus|NTPY01000483.1_809096_811261|p5,28.7,103,2.914e-07,47.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Abra_alba|OZ409525.1_27026774_27031521|p3,28.7,102,3.843e-07,46.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,Caenorhabditis_elegans,29.1,99,5.068e-07,46.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Adineta_vaga|CP075494.1_12488368_12495862|p6,27.8,107,5.068e-07,46.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Streblospio_benedicti|CM032666.1_530575_537250|p2,28.6,101,6.683e-07,46.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Acanthocardia_echinata|OZ377328.1_23337154_23339399|p9,25.7,121,6.683e-07,46.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Streblospio_benedicti|CM032663.1_21744357_21747197|p5,24.4,132,8.812e-07,45.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Acanthocardia_echinata|OZ377328.1_11291981_11299363|p5,27.9,104,8.812e-07,45.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Acanthochitona_discrepans|CM108789.1_17930773_17931897|p3,27.6,105,1.162e-06,45.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Streblospio_benedicti|CM032663.1_51675706_51690919|p8,28.1,100,2.021e-06,44.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,Caenorhabditis_elegans,27.4,104,2.021e-06,44.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p7,28.1,99,2.664e-06,44.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Brachionus_calyciflorus|NTPY01000330.1_409940_411611|p1,28.1,99,2.664e-06,44.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Abra_alba|OZ409525.1_53154133_53163052|p4,27.6,102,2.664e-06,44.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Abra_segmentum|OZ251777.1_14113510_14127320|p6,27.6,102,2.664e-06,44.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Abra_segmentum|OZ251777.1_10571949_10575809|p3,25.3,119,2.664e-06,44.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,Caenorhabditis_elegans,30.5,86,3.513e-06,43.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Abra_alba|OZ409525.1_18330358_18348899|p2,26.8,105,4.633e-06,43.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Abra_segmentum|OZ251777.1_53450550_53469929|p1,26.8,105,4.633e-06,43.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Acanthocardia_echinata|OZ377328.1_23300040_23302999|p3,26.6,104,8.055e-06,42.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Streblospio_benedicti|CM032661.1_36454555_36461623|p1,26.5,104,1.062e-05,42.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Acanthocardia_echinata|OZ377325.1_14826690_14837377|p14,26.2,106,1.062e-05,42.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Abra_alba|OZ409525.1_26983439_26985168|p1,27.7,95,1.4e-05,41.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Acanthochitona_discrepans|JBLVQD010000009.1_6410532_6411647|p4,21.6,151,1.4e-05,41.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Acanthochitona_discrepans|CM108789.1_13572118_13573209|p1,26.2,104,1.847e-05,41.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Acanthocardia_echinata|OZ377328.1_2223730_2233660|p6,26.4,102,1.847e-05,41.0
panx|Xenopus_tropicalis|panx2|A0A8J0SJZ3,cur|Streblospio_benedicti|CM032660.1_56259174_56277458|p3,26.9,98,2.435e-05,40.0
