family,discovery_batch,species_dir,organism,candidate_id,seqid,strand,locus_start,locus_end,exon_count,protein_length,tm_helix_count,reference_identity,reference_coverage,best_reference_hit,rank_category,rank_score,validation_flags,results_dir
connexin,connexin_evolutionary_discovery,Antrozous_pallidus,Antrozous pallidus,candidate_inx_009,CM050508.1,-,190086847,190091570,2,92,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Antrozous_pallidus
connexin,connexin_evolutionary_discovery,Antrozous_pallidus,Antrozous pallidus,candidate_inx_021,CM050512.1,-,84535104,84535889,1,95,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Antrozous_pallidus
connexin,connexin_evolutionary_discovery,Antrozous_pallidus,Antrozous pallidus,candidate_inx_016,CM050513.1,+,13459355,13460050,1,94,0,0.0,0.0,,rejected_false_positive,-35.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Antrozous_pallidus
connexin,connexin_evolutionary_discovery,Babyrousa_celebensis,Babyrousa celebensis,candidate_inx_005,CM175272.1,-,744023,745265,1,185,0,0.0,0.0,,weak_manual_review,25.0,plausible_length;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Babyrousa_celebensis
connexin,connexin_evolutionary_discovery,Babyrousa_celebensis,Babyrousa celebensis,candidate_inx_021,CM175271.1,+,69578539,69602412,1,190,0,0.0,0.0,,weak_manual_review,25.0,plausible_length;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Babyrousa_celebensis
connexin,connexin_evolutionary_discovery,Babyrousa_celebensis,Babyrousa celebensis,candidate_inx_018,CM175269.1,+,75046981,75048528,1,153,0,0.0,0.0,,weak_manual_review,15.0,plausible_length;few_tm_helices;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Babyrousa_celebensis
connexin,connexin_evolutionary_discovery,Babyrousa_celebensis,Babyrousa celebensis,candidate_inx_017,CM175260.1,-,211676249,211785175,1,70,2,0.0,0.0,,rejected_false_positive,5.0,too_short;tm_helices_ok;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Babyrousa_celebensis
connexin,connexin_evolutionary_discovery,Babyrousa_celebensis,Babyrousa celebensis,candidate_inx_002,CM175260.1,+,50995196,50996344,1,95,1,0.0,0.0,,rejected_false_positive,-10.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Babyrousa_celebensis
connexin,connexin_evolutionary_discovery,Babyrousa_celebensis,Babyrousa celebensis,candidate_inx_006,CM175272.1,-,769344,770024,1,103,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Babyrousa_celebensis
connexin,connexin_evolutionary_discovery,Babyrousa_celebensis,Babyrousa celebensis,candidate_inx_008,CM175269.1,-,78764843,78765844,1,78,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Babyrousa_celebensis
connexin,connexin_evolutionary_discovery,Babyrousa_celebensis,Babyrousa celebensis,candidate_inx_019,CM175262.1,-,101374023,101375321,1,79,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Babyrousa_celebensis
connexin,connexin_evolutionary_discovery,Bombina_variegata,Bombina variegata,candidate_inx_028,OZ123733.1,-,396264355,396324379,1,346,3,0.0,0.0,,high_confidence_connexin_candidate,65.0,plausible_length;tm_helices_ok;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Bombina_variegata
connexin,connexin_evolutionary_discovery,Bombina_variegata,Bombina variegata,candidate_inx_027,OZ123732.1,+,205991823,205991894,1,515,1,0.0,0.0,,weak_manual_review,30.0,plausible_length;few_tm_helices;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Bombina_variegata
connexin,connexin_evolutionary_discovery,Bombina_variegata,Bombina variegata,candidate_inx_032,CAXNTK010000154.1,+,335556,335672,1,258,1,0.0,0.0,,weak_manual_review,30.0,plausible_length;few_tm_helices;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Bombina_variegata
connexin,connexin_evolutionary_discovery,Bombina_variegata,Bombina variegata,candidate_inx_029,OZ123733.1,-,416704783,416805744,1,182,0,0.0,0.0,,weak_manual_review,25.0,plausible_length;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Bombina_variegata
connexin,connexin_evolutionary_discovery,Bombina_variegata,Bombina variegata,candidate_inx_004,OZ123727.1,-,229204619,229211235,1,74,4,0.0,0.0,,weak_manual_review,15.0,too_short;tm_helices_ok;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Bombina_variegata
connexin,connexin_evolutionary_discovery,Bombina_variegata,Bombina variegata,candidate_inx_021,OZ123730.1,+,620479002,620479754,1,94,1,0.0,0.0,,rejected_false_positive,-10.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Bombina_variegata
connexin,connexin_evolutionary_discovery,Bombina_variegata,Bombina variegata,candidate_inx_005,OZ123727.1,-,559364696,559365430,1,102,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Bombina_variegata
connexin,connexin_evolutionary_discovery,Bombina_variegata,Bombina variegata,candidate_inx_030,OZ123734.1,+,14010886,14010978,1,117,0,0.0,0.0,,rejected_false_positive,-35.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Bombina_variegata
connexin,connexin_evolutionary_discovery,Boulenophrys_sangzhiensis,Boulenophrys sangzhiensis,candidate_inx_004,CM150592.1,+,28733958,28735055,1,99,3,0.0,0.0,,weak_manual_review,15.0,too_short;tm_helices_ok;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Boulenophrys_sangzhiensis
connexin,connexin_evolutionary_discovery,Boulenophrys_sangzhiensis,Boulenophrys sangzhiensis,candidate_inx_003,CM150594.1,-,260801599,260804293,1,70,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Boulenophrys_sangzhiensis
connexin,connexin_evolutionary_discovery,Boulenophrys_sangzhiensis,Boulenophrys sangzhiensis,candidate_inx_005,CM150592.1,+,197128070,197129125,1,84,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Boulenophrys_sangzhiensis
connexin,connexin_evolutionary_discovery,Boulenophrys_sangzhiensis,Boulenophrys sangzhiensis,candidate_inx_017,CM150602.1,-,25935076,25936254,1,76,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Boulenophrys_sangzhiensis
connexin,connexin_evolutionary_discovery,Boulenophrys_sangzhiensis,Boulenophrys sangzhiensis,candidate_inx_020,CM150595.1,-,277063826,277065052,1,71,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Boulenophrys_sangzhiensis
connexin,connexin_evolutionary_discovery,Boulenophrys_sangzhiensis,Boulenophrys sangzhiensis,candidate_inx_011,CM150592.1,-,191728187,191729167,1,71,0,0.0,0.0,,rejected_false_positive,-35.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Boulenophrys_sangzhiensis
connexin,connexin_evolutionary_discovery,Boulenophrys_sangzhiensis,Boulenophrys sangzhiensis,candidate_inx_022,CM150591.1,+,210890088,210994573,1,100,0,0.0,0.0,,rejected_false_positive,-35.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Boulenophrys_sangzhiensis
connexin,connexin_evolutionary_discovery,Bufotes_viridis,Bufotes viridis,candidate_inx_010,CM065591.1,+,467841503,467842246,1,120,1,0.0,0.0,,weak_manual_review,20.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Bufotes_viridis
connexin,connexin_evolutionary_discovery,Bufotes_viridis,Bufotes viridis,candidate_inx_001,CM065592.1,+,216872250,216873863,1,83,5,0.0,0.0,,weak_manual_review,15.0,too_short;tm_helices_ok;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Bufotes_viridis
connexin,connexin_evolutionary_discovery,Bufotes_viridis,Bufotes viridis,candidate_inx_004,CM065594.1,+,52348530,52349273,1,77,1,0.0,0.0,,rejected_false_positive,-10.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Bufotes_viridis
connexin,connexin_evolutionary_discovery,Bufotes_viridis,Bufotes viridis,candidate_inx_022,CM065597.1,-,86120937,86121731,1,93,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Bufotes_viridis
connexin,connexin_evolutionary_discovery,Bufotes_viridis,Bufotes viridis,candidate_inx_012,CM065591.1,+,468486887,468487561,1,93,0,0.0,0.0,,rejected_false_positive,-35.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Bufotes_viridis
connexin,connexin_evolutionary_discovery,Butorides_sundevalli,Butorides sundevalli,candidate_inx_017,CM174258.1,+,18158664,18218719,1,329,2,0.0,0.0,,high_confidence_connexin_candidate,65.0,plausible_length;tm_helices_ok;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Butorides_sundevalli
connexin,connexin_evolutionary_discovery,Butorides_sundevalli,Butorides sundevalli,candidate_inx_011,CM174255.1,-,13003035,13003871,1,511,1,0.0,0.0,,possible_connexin_candidate,40.0,plausible_length;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Butorides_sundevalli
connexin,connexin_evolutionary_discovery,Butorides_sundevalli,Butorides sundevalli,candidate_inx_008,CM174254.1,+,25467495,25468301,1,177,0,0.0,0.0,,weak_manual_review,25.0,plausible_length;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Butorides_sundevalli
connexin,connexin_evolutionary_discovery,Butorides_sundevalli,Butorides sundevalli,candidate_inx_009,CM174254.1,+,25476717,25482579,2,184,0,0.0,0.0,,weak_manual_review,25.0,plausible_length;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Butorides_sundevalli
connexin,connexin_evolutionary_discovery,Butorides_sundevalli,Butorides sundevalli,candidate_inx_018,CM174245.1,+,153481125,153485517,1,95,2,0.0,0.0,,weak_manual_review,15.0,too_short;tm_helices_ok;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Butorides_sundevalli
connexin,connexin_evolutionary_discovery,Butorides_sundevalli,Butorides sundevalli,candidate_inx_010,CM174244.1,+,115033968,115035095,1,129,0,0.0,0.0,,rejected_false_positive,5.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Butorides_sundevalli
connexin,connexin_evolutionary_discovery,Butorides_sundevalli,Butorides sundevalli,candidate_inx_019,CM174274.1,-,54180860,54230656,1,109,3,0.0,0.0,,rejected_false_positive,5.0,too_short;tm_helices_ok;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Butorides_sundevalli
connexin,connexin_evolutionary_discovery,Butorides_sundevalli,Butorides sundevalli,candidate_inx_014,CM174248.1,-,18855719,18856894,1,98,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Butorides_sundevalli
connexin,connexin_evolutionary_discovery,Carcharias_taurus,Carcharias taurus,candidate_inx_006,CM144539.1,+,109193278,109193973,1,89,5,0.0,0.0,,weak_manual_review,15.0,too_short;tm_helices_ok;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Carcharias_taurus
connexin,connexin_evolutionary_discovery,Carcharias_taurus,Carcharias taurus,candidate_inx_013,CM144560.1,+,51802835,51808559,1,70,1,0.0,0.0,,rejected_false_positive,-10.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Carcharias_taurus
connexin,connexin_evolutionary_discovery,Carcharias_taurus,Carcharias taurus,candidate_inx_008,CM144539.1,+,109427605,109428249,1,88,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Carcharias_taurus
connexin,connexin_evolutionary_discovery,Carcharias_taurus,Carcharias taurus,candidate_inx_015,CM144548.1,-,9758421,9759518,1,101,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Carcharias_taurus
connexin,connexin_evolutionary_discovery,Carcharias_taurus,Carcharias taurus,candidate_inx_017,CM144541.1,-,69486100,69486768,1,87,0,0.0,0.0,,rejected_false_positive,-35.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Carcharias_taurus
connexin,connexin_evolutionary_discovery,Carcharias_taurus,Carcharias taurus,candidate_inx_022,CM144540.1,-,184707871,184865944,1,92,0,0.0,0.0,,rejected_false_positive,-35.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Carcharias_taurus
connexin,connexin_evolutionary_discovery,Cecropis_daurica,Cecropis daurica,candidate_inx_015,CM170960.1,-,6091519,6093048,1,341,1,0.0,0.0,,weak_manual_review,30.0,plausible_length;few_tm_helices;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Cecropis_daurica
connexin,connexin_evolutionary_discovery,Cecropis_daurica,Cecropis daurica,candidate_inx_007,CM170956.1,-,4334239,4335078,1,372,0,0.0,0.0,,weak_manual_review,25.0,plausible_length;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Cecropis_daurica
connexin,connexin_evolutionary_discovery,Cecropis_daurica,Cecropis daurica,candidate_inx_008,CM170941.1,-,30313024,30314562,1,115,2,0.0,0.0,,weak_manual_review,15.0,too_short;tm_helices_ok;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Cecropis_daurica
connexin,connexin_evolutionary_discovery,Cecropis_daurica,Cecropis daurica,candidate_inx_006,CM170960.1,+,4742161,4754119,3,144,0,0.0,0.0,,rejected_false_positive,5.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Cecropis_daurica
connexin,connexin_evolutionary_discovery,Cecropis_daurica,Cecropis daurica,candidate_inx_003,CM170938.1,-,5419735,5420844,1,119,1,0.0,0.0,,rejected_false_positive,-10.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Cecropis_daurica
connexin,connexin_evolutionary_discovery,Cecropis_daurica,Cecropis daurica,candidate_inx_002,CM170937.1,-,80446459,80447820,1,86,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Cecropis_daurica
connexin,connexin_evolutionary_discovery,Cecropis_daurica,Cecropis daurica,candidate_inx_009,CM170963.1,+,1552543,1553724,1,101,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Cecropis_daurica
connexin,connexin_evolutionary_discovery,Cecropis_daurica,Cecropis daurica,candidate_inx_010,CM170963.1,+,3635938,3657784,1,95,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Cecropis_daurica
connexin,connexin_evolutionary_discovery,Cecropis_daurica,Cecropis daurica,candidate_inx_016,CM170936.1,-,155230026,155231273,1,116,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Cecropis_daurica
connexin,connexin_evolutionary_discovery,Cecropis_daurica,Cecropis daurica,candidate_inx_013,CM170942.1,-,16276292,16277455,1,97,0,0.0,0.0,,rejected_false_positive,-35.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Cecropis_daurica
connexin,connexin_evolutionary_discovery,Ceratotherium_simum_simum,Ceratotherium simum simum,candidate_inx_009,NW_004454160.1,+,532247,533323,1,139,1,0.0,0.0,,weak_manual_review,20.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Ceratotherium_simum_simum
connexin,connexin_evolutionary_discovery,Ceratotherium_simum_simum,Ceratotherium simum simum,candidate_inx_001,NW_004454162.1,+,14547890,14549522,1,79,3,0.0,0.0,,weak_manual_review,15.0,too_short;tm_helices_ok;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Ceratotherium_simum_simum
connexin,connexin_evolutionary_discovery,Ceratotherium_simum_simum,Ceratotherium simum simum,candidate_inx_007,NW_004454172.1,+,27520640,27521455,1,75,1,0.0,0.0,,rejected_false_positive,-10.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Ceratotherium_simum_simum
connexin,connexin_evolutionary_discovery,Ceratotherium_simum_simum,Ceratotherium simum simum,candidate_inx_003,NW_004454208.1,-,1153568,1154890,1,98,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Ceratotherium_simum_simum
connexin,connexin_evolutionary_discovery,Ceratotherium_simum_simum,Ceratotherium simum simum,candidate_inx_004,NW_004454208.1,-,1196418,1197098,1,74,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Ceratotherium_simum_simum
connexin,connexin_evolutionary_discovery,Ceratotherium_simum_simum,Ceratotherium simum simum,candidate_inx_006,NW_004454172.1,+,27494488,27499384,2,91,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Ceratotherium_simum_simum
connexin,connexin_evolutionary_discovery,Correlophus_ciliatus,Correlophus ciliatus,candidate_inx_008,CM173125.1,+,22740624,22741430,1,73,2,0.0,0.0,,weak_manual_review,15.0,too_short;tm_helices_ok;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Correlophus_ciliatus
connexin,connexin_evolutionary_discovery,Correlophus_ciliatus,Correlophus ciliatus,candidate_inx_019,CM173114.1,+,70854525,70909342,1,133,0,0.0,0.0,,rejected_false_positive,-5.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons,results/connexin_evolutionary_discovery/Correlophus_ciliatus
connexin,connexin_evolutionary_discovery,Correlophus_ciliatus,Correlophus ciliatus,candidate_inx_007,CM173125.1,+,22680042,22680821,1,91,1,0.0,0.0,,rejected_false_positive,-10.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Correlophus_ciliatus
connexin,connexin_evolutionary_discovery,Correlophus_ciliatus,Correlophus ciliatus,candidate_inx_009,CM173125.1,+,22764896,22765951,1,73,0,0.0,0.0,,rejected_false_positive,-25.0,too_short;few_tm_helices;low_reference_similarity;gene_like_exons;multiple_reference_hits,results/connexin_evolutionary_discovery/Correlophus_ciliatus
