gene,accession,source_species,locus,chrom,flanking_gene_count,goi_count,flanking_genes,goi_ids,bed_path
inx-2,Q9U3K5,Caenorhabditis_elegans,synteny_block_locus_10,NC_003284.9,29,2,gene-CELE_F09B12.7;gene-CELE_F09B12.3;gene-CELE_F09B12.2;gene-CELE_F09B12.1;gene-CELE_F09B12.8;gene-CELE_R07D5.2;gene-CELE_R07D5.9;gene-CELE_R07D5.7;gene-CELE_R07D5.6;gene-CELE_R07D5.4;gene-CELE_R07D5.5;gene-CELE_R07D5.3;gene-CELE_C11G10.4;gene-CELE_C11G10.13;gene-CELE_C11G10.3;gene-CELE_C11G10.T1;gene-CELE_C11G10.12;gene-CELE_C11G10.7;gene-CELE_C11G10.6;gene-CELE_C11G10.10,GOI_NC_003284.9_15124607;GOI_NC_003284.9_15122897,results/innexin_synvoy/cele_inx-2/plot_inputs_synteny_block_locus_10/synteny_block_locus_10.bed
inx-2,Q9U3K5,Caenorhabditis_elegans,synteny_block_locus_11,NC_003284.9,18,1,gene-CELE_F13B9.8;gene-CELE_F13B9.9;gene-CELE_F13B9.2;gene-CELE_F13B9.1;gene-CELE_R09F10.3;gene-CELE_R09F10.12;gene-CELE_R09F10.9;gene-CELE_R09F10.15;gene-CELE_R09F10.5;gene-CELE_R09F10.14;gene-CELE_R09F10.13;gene-CELE_R09F10.6;gene-CELE_R09F10.17;gene-CELE_R09F10.7;gene-CELE_R09F10.18;gene-CELE_R09F10.2;gene-CELE_R09F10.16;gene-CELE_R09F10.1,GOI_NC_003284.9_8300839,results/innexin_synvoy/cele_inx-2/plot_inputs_synteny_block_locus_11/synteny_block_locus_11.bed
inx-2,Q9U3K5,Caenorhabditis_elegans,synteny_block_locus_12,NC_003282.8,49,1,gene-CELE_H32C10.64;gene-CELE_H32C10.31;gene-CELE_H32C10.12;gene-CELE_H32C10.2;gene-CELE_H32C10.77;gene-CELE_H32C10.42;gene-CELE_H32C10.62;gene-CELE_H32C10.99;gene-CELE_H32C10.84;gene-CELE_H32C10.63;gene-CELE_H32C10.8;gene-CELE_H32C10.88;gene-CELE_H32C10.80;gene-CELE_H32C10.61;gene-CELE_H32C10.85;gene-CELE_H32C10.51;gene-CELE_H32C10.73;gene-CELE_H32C10.101;gene-CELE_H32C10.50;gene-CELE_H32C10.47,GOI_NC_003282.8_5945087,results/innexin_synvoy/cele_inx-2/plot_inputs_synteny_block_locus_12/synteny_block_locus_12.bed
inx-2,Q9U3K5,Caenorhabditis_elegans,synteny_block_locus_13,NC_003284.9,30,2,gene-CELE_F09A5.15;gene-CELE_F09A5.5;gene-CELE_F09A5.11;gene-CELE_F09A5.4;gene-CELE_F09A5.10;gene-CELE_F48C11.5;gene-CELE_F48C11.6;gene-CELE_F48C11.3;gene-CELE_F48C11.2;gene-CELE_F48C11.4;gene-CELE_F48C11.1;gene-CELE_F48C11.7;gene-CELE_F48C11.8;gene-CELE_F09D5.2;gene-CELE_F09D5.10;gene-CELE_F09D5.8;gene-CELE_F09D5.3;gene-CELE_F09D5.6;gene-CELE_F09D5.9;gene-CELE_F09D5.7,GOI_NC_003284.9_13214470;GOI_NC_003284.9_13213047,results/innexin_synvoy/cele_inx-2/plot_inputs_synteny_block_locus_13/synteny_block_locus_13.bed
inx-2,Q9U3K5,Caenorhabditis_elegans,synteny_block_locus_14,NC_003279.8,21,2,gene-CELE_F13G3.4;gene-CELE_F13G3.5;gene-CELE_F13G3.6;gene-CELE_F13G3.15;gene-CELE_F13G3.11;gene-CELE_F13G3.9;gene-CELE_F13G3.10;gene-CELE_F52A8.1;gene-CELE_F52A8.2;gene-CELE_F52A8.3;gene-CELE_F52A8.7;gene-CELE_F52A8.8;gene-CELE_F52A8.4;gene-CELE_F52A8.5;gene-CELE_F52A8.6;gene-CELE_F07A5.2;gene-CELE_F07A5.3;gene-CELE_F07A5.4;gene-CELE_F07A5.5;gene-CELE_F07A5.8,GOI_NC_003279.8_7310014;GOI_NC_003279.8_7350975,results/innexin_synvoy/cele_inx-2/plot_inputs_synteny_block_locus_14/synteny_block_locus_14.bed
inx-2,Q9U3K5,Caenorhabditis_elegans,synteny_block_locus_2,NC_003284.9,22,1,gene-CELE_R07E4.3;gene-CELE_R07E4.10;gene-CELE_R07E4.1;gene-CELE_R07E4.6;gene-CELE_R07E4.8;gene-CELE_R07E4.9;gene-CELE_R07E4.7;gene-CELE_F22F4.8;gene-CELE_F22F4.3;gene-CELE_F22F4.5;gene-CELE_F22F4.7;gene-CELE_F22F4.9;gene-CELE_F22F4.4;gene-CELE_F22F4.1;gene-CELE_F22F4.6;gene-CELE_C09B8.13;gene-CELE_C09B8.15;gene-CELE_C09B8.16;gene-CELE_C09B8.17;gene-CELE_C09B8.18,GOI_NC_003284.9_5996705,results/innexin_synvoy/cele_inx-2/plot_inputs_synteny_block_locus_2/synteny_block_locus_2.bed
inx-2,Q9U3K5,Caenorhabditis_elegans,synteny_block_locus_3,NC_003282.8,16,2,gene-CELE_ZK809.3;gene-CELE_ZK809.12;gene-CELE_ZK809.11;gene-CELE_ZK809.5;gene-CELE_ZK809.10;gene-CELE_ZK792.1;gene-CELE_ZK809.9;gene-CELE_ZK792.8;gene-CELE_ZK792.4;gene-CELE_ZK792.11;gene-CELE_ZK792.9;gene-CELE_ZK792.5;gene-CELE_ZK792.6;gene-CELE_ZK792.10;gene-CELE_ZK792.12;gene-CELE_ZK792.7,GOI_NC_003282.8_11674285;GOI_NC_003282.8_11677036,results/innexin_synvoy/cele_inx-2/plot_inputs_synteny_block_locus_3/synteny_block_locus_3.bed
inx-2,Q9U3K5,Caenorhabditis_elegans,synteny_block_locus_4,NC_003279.8,14,2,gene-CELE_R12E2.15;gene-CELE_R12E2.14;gene-CELE_R12E2.6;gene-CELE_R12E2.7;gene-CELE_R12E2.8;gene-CELE_R12E2.4;gene-CELE_R12E2.10;gene-CELE_R12E2.18;gene-CELE_R12E2.16;gene-CELE_R12E2.11;gene-CELE_R12E2.12;gene-CELE_R12E2.3;gene-CELE_R12E2.17;gene-CELE_R12E2.13,GOI_NC_003279.8_4159439;GOI_NC_003279.8_4162402,results/innexin_synvoy/cele_inx-2/plot_inputs_synteny_block_locus_4/synteny_block_locus_4.bed
inx-2,Q9U3K5,Caenorhabditis_elegans,synteny_block_locus_5,NC_003279.8,10,2,gene-CELE_F23C8.8;gene-CELE_F23C8.9;gene-CELE_F23C8.4;gene-CELE_F23C8.14;gene-CELE_F23C8.3;gene-CELE_Y74C10AL.2;gene-CELE_Y74C10AR.3;gene-CELE_Y74C10AR.2;gene-CELE_Y74C10AR.1;gene-CELE_Y23H5B.6,GOI_NC_003279.8_2456069;GOI_NC_003279.8_2453133,results/innexin_synvoy/cele_inx-2/plot_inputs_synteny_block_locus_5/synteny_block_locus_5.bed
inx-2,Q9U3K5,Caenorhabditis_elegans,synteny_block_locus_6,NC_003283.11,18,1,gene-CELE_F26D11.13;gene-CELE_F26D11.12;gene-CELE_F26D11.6;gene-CELE_F26D11.9;gene-CELE_F26D11.2;gene-CELE_F26D11.18;gene-CELE_F26D11.19;gene-CELE_F26D11.14;gene-CELE_F26D11.11;gene-CELE_F26D11.15;gene-CELE_F26D11.16;gene-CELE_F26D11.1;gene-CELE_F26D11.20;gene-CELE_Y97E10AL.3;gene-CELE_Y97E10AL.4;gene-CELE_Y97E10AL.2;gene-CELE_Y97E10AL.1;gene-CELE_F26D11.17,GOI_NC_003283.11_7962842,results/innexin_synvoy/cele_inx-2/plot_inputs_synteny_block_locus_6/synteny_block_locus_6.bed
inx-2,Q9U3K5,Caenorhabditis_elegans,synteny_block_locus_7,NC_003282.8,18,1,gene-CELE_C18H7.7;gene-CELE_C18H7.11;gene-CELE_C18H7.8;gene-CELE_C18H7.9;gene-CELE_C18H7.3;gene-CELE_C18H7.14;gene-CELE_C18H7.16;gene-CELE_C05G6.T1;gene-CELE_C05G6.5;gene-CELE_C05G6.4;gene-CELE_C05G6.1;gene-CELE_K11H12.9;gene-CELE_K11H12.14;gene-CELE_K11H12.1;gene-CELE_K11H12.2;gene-CELE_K11H12.12;gene-CELE_K11H12.13;gene-CELE_K11H12.8,GOI_NC_003282.8_610912,results/innexin_synvoy/cele_inx-2/plot_inputs_synteny_block_locus_7/synteny_block_locus_7.bed
inx-2,Q9U3K5,Caenorhabditis_elegans,synteny_block_locus_8,NC_003279.8,12,4,gene-CELE_T12F5.3;gene-CELE_T12F5.2;gene-CELE_T12F5.5;gene-CELE_T12F5.1;gene-CELE_T12F5.6;gene-CELE_Y8G1A.1;gene-CELE_Y8G1A.3;gene-CELE_ZK770.1;gene-CELE_C32E8.12;gene-CELE_C32E8.6;gene-CELE_C32E8.13;gene-CELE_C32E8.5,GOI_NC_003279.8_3756411;GOI_NC_003279.8_3757823;GOI_NC_003279.8_3753113;GOI_NC_003279.8_3750374,results/innexin_synvoy/cele_inx-2/plot_inputs_synteny_block_locus_8/synteny_block_locus_8.bed
inx-2,Q9U3K5,Caenorhabditis_elegans,synteny_block_locus_9,NC_003283.11,15,1,gene-CELE_C24B5.2;gene-CELE_C24B5.3;gene-CELE_C24B5.8;gene-CELE_C24B5.4;gene-CELE_T18H9.4;gene-CELE_T18H9.2;gene-CELE_T18H9.6;gene-CELE_T18H9.7;gene-CELE_T18H9.8;gene-CELE_T18H9.9;gene-CELE_T18H9.10;gene-CELE_T18H9.1;gene-CELE_F07C3.15;gene-CELE_F07C3.2;gene-CELE_F07C3.3,GOI_NC_003283.11_9205728,results/innexin_synvoy/cele_inx-2/plot_inputs_synteny_block_locus_9/synteny_block_locus_9.bed
